CFIHOS unique code,UNECE code,unit of measure name,unit of measure symbol,unit of measure dimension code CFIHOS unique code,unit of measure dimension code,unit of measure dimension name,measurement system code CFIHOS unique code,measurement system code,unit of measure synonym name
CFIHOS-65000141,,metre per cubic metre,m/m3,CFIHOS-45000113,LPVOL,length per volume,CFIHOS-60001649,SI,
CFIHOS-65000142,,foot per barrel,ft/bbl,CFIHOS-45000113,LPVOL,length per volume,,,
CFIHOS-65000143,,foot per cubic foot,ft/ft3,CFIHOS-45000113,LPVOL,length per volume,,,
CFIHOS-65000144,,foot per US gallon,ft/gal[US],CFIHOS-45000113,LPVOL,length per volume,,,
CFIHOS-65000145,,kilometre per cubic decimetre,km/dm3,CFIHOS-45000113,LPVOL,length per volume,CFIHOS-60001649,SI,
CFIHOS-65000146,,kilometre per litre,km/L,CFIHOS-45000113,LPVOL,length per volume,CFIHOS-60001649,SI,
CFIHOS-65000147,,mile per UK gallon,mi/gal[UK],CFIHOS-45000113,LPVOL,length per volume,,,
CFIHOS-65000148,,mile per US gallon,mi/gal[US],CFIHOS-45000113,LPVOL,length per volume,,,
CFIHOS-65000149,,per barrel,1/bbl,CFIHOS-45000161,RECVOL,reciprocal volume,,,
CFIHOS-65000150,,per cubic foot,1/ft3,CFIHOS-45000161,RECVOL,reciprocal volume,,,
CFIHOS-65000151,,per UK gallon,1/gal[UK],CFIHOS-45000161,RECVOL,reciprocal volume,,,
CFIHOS-65000152,,per US gallon,1/gal[US],CFIHOS-45000161,RECVOL,reciprocal volume,,,
CFIHOS-65000153,,per litre,1/L,CFIHOS-45000161,RECVOL,reciprocal volume,CFIHOS-60001649,SI,
CFIHOS-65000154,,per cubic metre,1/m3,CFIHOS-45000161,RECVOL,reciprocal volume,CFIHOS-60001649,SI,
CFIHOS-65000155,,per gram,1/g,CFIHOS-45000156,RECMAS,reciprocal mass,CFIHOS-60001649,SI,
CFIHOS-65000156,,per pound,1/lbm,CFIHOS-45000156,RECMAS,reciprocal mass,,,
CFIHOS-65000157,,per kilogram,1/kg,CFIHOS-45000156,RECMAS,reciprocal mass,CFIHOS-60001649,SI,
CFIHOS-65000158,,per (kilogram per second),1/(kg.s),CFIHOS-45000157,RECMT,reciprocal (mass time),CFIHOS-60001649,SI,
CFIHOS-65000159,,picocurie per gram,pCi/g,CFIHOS-45000157,RECMT,reciprocal (mass time),,,
CFIHOS-65000160,A18,becquerel per kilogram,Bq/kg,CFIHOS-45000157,RECMT,reciprocal (mass time),CFIHOS-60001649,SI,
CFIHOS-65000161,CUR,curie,Ci,CFIHOS-45000150,RADACT,activity [of radioactivity],CFIHOS-60001649,SI,
CFIHOS-65000162,J38,baud,Bd,CFIHOS-45000164,SIGPT,signaling event per time,CFIHOS-60001649,SI,
CFIHOS-65000163,BQL,becquerel,Bq,CFIHOS-45000150,RADACT,activity [of radioactivity],CFIHOS-60001649,SI,
CFIHOS-65000164,,per julian-year,1/a,CFIHOS-45000160,RECTIM,reciprocal time,,,
CFIHOS-65000165,,per day,1/d,CFIHOS-45000160,RECTIM,reciprocal time,CFIHOS-60001649,SI,
CFIHOS-65000166,,per hour,1/h,CFIHOS-45000160,RECTIM,reciprocal time,CFIHOS-60001649,SI,
CFIHOS-65000167,,per minute,1/min,CFIHOS-45000160,RECTIM,reciprocal time,CFIHOS-60001649,SI,
CFIHOS-65000168,,per millisecond,1/ms,CFIHOS-45000160,RECTIM,reciprocal time,CFIHOS-60001649,SI,
CFIHOS-65000169,,per microsecond,1/us,CFIHOS-45000160,RECTIM,reciprocal time,CFIHOS-60001649,SI,
CFIHOS-65000170,,per week,1/wk,CFIHOS-45000160,RECTIM,reciprocal time,,,
CFIHOS-65000171,P93,byte per second,byte/s,CFIHOS-45000067,DATATS,data transfer speed,,,
CFIHOS-65000172,,per second,1/s,CFIHOS-45000160,RECTIM,reciprocal time,CFIHOS-60001649,SI,
CFIHOS-65000173,B10,bit per second,bit/s,CFIHOS-45000067,DATATS,data transfer speed,CFIHOS-60001649,SI,
CFIHOS-65000174,,cubic metre per time cubic metre,m3/(s.m3),CFIHOS-45000188,VPTPV,(volume per time) per volume,CFIHOS-60001649,SI,
CFIHOS-65000175,,barrel per day acre foot,bbl/(d.acre.ft),CFIHOS-45000188,VPTPV,(volume per time) per volume,,,
CFIHOS-65000176,GBQ,gigabecquerel,GBq,CFIHOS-45000150,RADACT,activity [of radioactivity],CFIHOS-60001649,SI,
CFIHOS-65000177,4N,megabecquerel,MBq,CFIHOS-45000150,RADACT,activity [of radioactivity],CFIHOS-60001649,SI,
CFIHOS-65000178,,thousandth of curie,mCi,CFIHOS-45000150,RADACT,activity [of radioactivity],,,
CFIHOS-65000179,,nanocurie,nCi,CFIHOS-45000150,RADACT,activity [of radioactivity],,,
CFIHOS-65000180,,picocurie,pCi,CFIHOS-45000150,RADACT,activity [of radioactivity],,,
CFIHOS-65000181,,terabecquerel,TBq,CFIHOS-45000150,RADACT,activity [of radioactivity],CFIHOS-60001649,SI,
CFIHOS-65000182,,millionth of curie,uCi,CFIHOS-45000150,RADACT,activity [of radioactivity],,,
CFIHOS-65000183,,centihertz,cHz,CFIHOS-45000009,FREQU,frequency,CFIHOS-60001649,SI,
CFIHOS-65000184,,decihertz,dHz,CFIHOS-45000009,FREQU,frequency,CFIHOS-60001649,SI,
CFIHOS-65000185,,exahertz,EHz,CFIHOS-45000009,FREQU,frequency,CFIHOS-60001649,SI,
CFIHOS-65000186,,femtohertz,fHz,CFIHOS-45000009,FREQU,frequency,CFIHOS-60001649,SI,
CFIHOS-65000187,A86,gigahertz,GHz,CFIHOS-45000009,FREQU,frequency,CFIHOS-60001649,SI,
CFIHOS-65000188,KHZ,kilohertz,kHz,CFIHOS-45000009,FREQU,frequency,CFIHOS-60001649,SI,
CFIHOS-65000189,,millihertz,mHz,CFIHOS-45000009,FREQU,frequency,CFIHOS-60001649,SI,
CFIHOS-65000190,MHZ,megahertz,MHz,CFIHOS-45000009,FREQU,frequency,CFIHOS-60001649,SI,
CFIHOS-65000191,,nanohertz,nHz,CFIHOS-45000009,FREQU,frequency,CFIHOS-60001649,SI,
CFIHOS-65000192,,picohertz,pHz,CFIHOS-45000009,FREQU,frequency,CFIHOS-60001649,SI,
CFIHOS-65000193,D29,terahertz,THz,CFIHOS-45000009,FREQU,frequency,CFIHOS-60001649,SI,
CFIHOS-65000194,,microhertz,uHz,CFIHOS-45000009,FREQU,frequency,CFIHOS-60001649,SI,
CFIHOS-65000195,C81,radian,rad,CFIHOS-45000138,PLANG,plane angle,CFIHOS-60001649,SI,
CFIHOS-65000196,,centesimal-second,ccgr,CFIHOS-45000138,PLANG,plane angle,,,
CFIHOS-65000197,,centesimal-minute,cgr,CFIHOS-45000138,PLANG,plane angle,,,
CFIHOS-65000198,,angular degree,dega,CFIHOS-45000138,PLANG,plane angle,CFIHOS-60001649,SI,
CFIHOS-65000199,A91,gon,gon,CFIHOS-45000138,PLANG,plane angle,,,
CFIHOS-65000200,,angular mil,mila,CFIHOS-45000138,PLANG,plane angle,,,
CFIHOS-65000201,,angular minute,mina,CFIHOS-45000138,PLANG,plane angle,CFIHOS-60001649,SI,
CFIHOS-65000202,M44,revolution,rev,CFIHOS-45000138,PLANG,plane angle,,,
CFIHOS-65000203,,angular second,seca,CFIHOS-45000138,PLANG,plane angle,CFIHOS-60001649,SI,
CFIHOS-65000204,,angular millisecond,0.001 seca,CFIHOS-45000138,PLANG,plane angle,,,
CFIHOS-65000205,,kiloradian,krad,CFIHOS-45000138,PLANG,plane angle,CFIHOS-60001649,SI,
CFIHOS-65000206,C25,milliradian,mrad,CFIHOS-45000138,PLANG,plane angle,CFIHOS-60001649,SI,
CFIHOS-65000207,,megaradian,Mrad,CFIHOS-45000138,PLANG,plane angle,CFIHOS-60001649,SI,
CFIHOS-65000208,B97,microradian,urad,CFIHOS-45000138,PLANG,plane angle,CFIHOS-60001649,SI,
CFIHOS-65000209,C84,radian per metre,rad/m,CFIHOS-45000053,ANGPL,angle per length,CFIHOS-60001649,SI,
CFIHOS-65000210,,angular degree per hundred foot,0.01 dega/ft,CFIHOS-45000053,ANGPL,angle per length,,,
CFIHOS-65000211,,angular degree per thirty foot,1/30 dega/ft,CFIHOS-45000053,ANGPL,angle per length,,,
CFIHOS-65000212,,angular degree per thirty metre,1/30 dega/m,CFIHOS-45000053,ANGPL,angle per length,,,
CFIHOS-65000213,,angular degree per foot,dega/ft,CFIHOS-45000053,ANGPL,angle per length,,,
CFIHOS-65000214,,angular degree per metre,dega/m,CFIHOS-45000053,ANGPL,angle per length,CFIHOS-60001649,SI,
CFIHOS-65000215,,radian per foot,rad/ft,CFIHOS-45000053,ANGPL,angle per length,,,
CFIHOS-65000216,,revolution per foot,rev/ft,CFIHOS-45000053,ANGPL,angle per length,,,
CFIHOS-65000217,,revolution per metre,rev/m,CFIHOS-45000053,ANGPL,angle per length,,,
CFIHOS-65000218,,radian per cubic metre,rad/m3,CFIHOS-45000054,ANGPV,angle per volume,CFIHOS-60001649,SI,
CFIHOS-65000219,,radian per cubic foot,rad/ft3,CFIHOS-45000054,ANGPV,angle per volume,,,
CFIHOS-65000220,2A,radian per second,rad/s,CFIHOS-45000036,ANGVEL,angular velocity,CFIHOS-60001649,SI,
CFIHOS-65000221,,angular degree per hour,dega/h,CFIHOS-45000036,ANGVEL,angular velocity,CFIHOS-60001649,SI,
CFIHOS-65000222,,angular degree per minute,dega/min,CFIHOS-45000036,ANGVEL,angular velocity,CFIHOS-60001649,SI,
CFIHOS-65000223,,angular degree per second,dega/s,CFIHOS-45000036,ANGVEL,angular velocity,CFIHOS-60001649,SI,
CFIHOS-65000224,,revolution per second,rev/s,CFIHOS-45000036,ANGVEL,angular velocity,,,
CFIHOS-65000225,2B,radian per second squared,rad/s2,CFIHOS-45000052,ANGACC,angular acceleration,CFIHOS-60001649,SI,
CFIHOS-65000226,,(revolution per minute) per second,rpm/s,CFIHOS-45000052,ANGACC,angular acceleration,,,
CFIHOS-65000227,,delta Celsius,deltaC,CFIHOS-45000068,DELTAT,temperature interval,CFIHOS-60001649,SI,
CFIHOS-65000228,,delta Fahrenheit,deltaF,CFIHOS-45000068,DELTAT,temperature interval,,,
CFIHOS-65000229,,delta Rankine,deltaR,CFIHOS-45000068,DELTAT,temperature interval,,,
CFIHOS-65000230,,delta kelvin,deltaK,CFIHOS-45000068,DELTAT,temperature interval,CFIHOS-60001649,SI,
CFIHOS-65000231,,delta Fahrenheit per hundred foot,0.01 deltaF/ft,CFIHOS-45000069,DELTPL,temperature interval per length,,,
CFIHOS-65000232,,delta Celsius per foot,deltaC/ft,CFIHOS-45000069,DELTPL,temperature interval per length,,,
CFIHOS-65000233,,delta Celsius per hectometre,deltaC/hm,CFIHOS-45000069,DELTPL,temperature interval per length,CFIHOS-60001649,SI,
CFIHOS-65000234,,delta Celsius per kilometre,deltaC/km,CFIHOS-45000069,DELTPL,temperature interval per length,CFIHOS-60001649,SI,
CFIHOS-65000235,,delta Celsius per metre,deltaC/m,CFIHOS-45000069,DELTPL,temperature interval per length,CFIHOS-60001649,SI,
CFIHOS-65000236,,delta Fahrenheit per foot,deltaF/ft,CFIHOS-45000069,DELTPL,temperature interval per length,,,
CFIHOS-65000237,,delta Fahrenheit per metre,deltaF/m,CFIHOS-45000069,DELTPL,temperature interval per length,,,
CFIHOS-65000238,,delta kelvin per kilometre,deltaK/km,CFIHOS-45000069,DELTPL,temperature interval per length,CFIHOS-60001649,SI,
CFIHOS-65000239,,delta kelvin per metre,deltaK/m,CFIHOS-45000069,DELTPL,temperature interval per length,CFIHOS-60001649,SI,
CFIHOS-65000240,,delta Celsius per hour,deltaC/h,CFIHOS-45000071,DELTPT,temperature interval per time,CFIHOS-60001649,SI,
CFIHOS-65000241,,delta Celsius per minute,deltaC/min,CFIHOS-45000071,DELTPT,temperature interval per time,CFIHOS-60001649,SI,
CFIHOS-65000242,,delta Celsius per second,deltaC/s,CFIHOS-45000071,DELTPT,temperature interval per time,CFIHOS-60001649,SI,
CFIHOS-65000243,,delta Fahrenheit per hour,deltaF/h,CFIHOS-45000071,DELTPT,temperature interval per time,,,
CFIHOS-65000244,,delta Fahrenheit per minute,deltaF/min,CFIHOS-45000071,DELTPT,temperature interval per time,,,
CFIHOS-65000245,,delta Fahrenheit per second,deltaF/s,CFIHOS-45000071,DELTPT,temperature interval per time,,,
CFIHOS-65000246,,delta kelvin per second,deltaK/s,CFIHOS-45000071,DELTPT,temperature interval per time,CFIHOS-60001649,SI,
CFIHOS-65000247,,delta Celsius per kilopascal,deltaC/kPa,CFIHOS-45000070,DELTPP,temperature interval per pressure,CFIHOS-60001649,SI,
CFIHOS-65000248,,delta Fahrenheit per psi,deltaF/psi,CFIHOS-45000070,DELTPP,temperature interval per pressure,,,
CFIHOS-65000249,,delta kelvin per Pascal,deltaK/Pa,CFIHOS-45000070,DELTPP,temperature interval per pressure,CFIHOS-60001649,SI,
CFIHOS-65000250,,delta kelvin per watt,deltaK/W,CFIHOS-45000168,THMRES,thermal resistance,CFIHOS-60001649,SI,
CFIHOS-65000251,,delta Celsius square metre hour per thousand calory,deltaC.m2.h/kcal[th],CFIHOS-45000030,THINSU,thermal insulation,,,
CFIHOS-65000252,,delta Fahrenheit square foot hour per BTU,deltaF.ft2.h/Btu[IT],CFIHOS-45000030,THINSU,thermal insulation,,,
CFIHOS-65000253,,delta kelvin square metre per kilowatt,deltaK.m2/kW,CFIHOS-45000030,THINSU,thermal insulation,CFIHOS-60001649,SI,
CFIHOS-65000254,,delta kelvin square metre per watt,deltaK.m2/W,CFIHOS-45000030,THINSU,thermal insulation,CFIHOS-60001649,SI,
CFIHOS-65000255,,centiampere,cA,CFIHOS-45000007,ECURR,electrical current / amperage,CFIHOS-60001649,SI,
CFIHOS-65000256,,deciampere,dA,CFIHOS-45000007,ECURR,electrical current / amperage,CFIHOS-60001649,SI,
CFIHOS-65000257,,exaampere,EA,CFIHOS-45000007,ECURR,electrical current / amperage,CFIHOS-60001649,SI,
CFIHOS-65000258,,femtoampere,fA,CFIHOS-45000007,ECURR,electrical current / amperage,CFIHOS-60001649,SI,
CFIHOS-65000259,,gigaampere,GA,CFIHOS-45000007,ECURR,electrical current / amperage,CFIHOS-60001649,SI,
CFIHOS-65000260,4K,milliampere,mA,CFIHOS-45000007,ECURR,electrical current / amperage,CFIHOS-60001649,SI,
CFIHOS-65000261,H38,megaampere,MA,CFIHOS-45000007,ECURR,electrical current / amperage,CFIHOS-60001649,SI,
CFIHOS-65000262,C39,nanoampere,nA,CFIHOS-45000007,ECURR,electrical current / amperage,CFIHOS-60001649,SI,
CFIHOS-65000263,C70,picoampere,pA,CFIHOS-45000007,ECURR,electrical current / amperage,CFIHOS-60001649,SI,
CFIHOS-65000264,,teraampere,TA,CFIHOS-45000007,ECURR,electrical current / amperage,CFIHOS-60001649,SI,
CFIHOS-65000265,B84,microampere,uA,CFIHOS-45000007,ECURR,electrical current / amperage,CFIHOS-60001649,SI,
CFIHOS-65000266,66,oersted,Oe,CFIHOS-45000121,MAGSTR,magnetic field strength,,,
CFIHOS-65000267,A3,ampere per millimetre,A/mm,CFIHOS-45000121,MAGSTR,magnetic field strength,CFIHOS-60001649,SI,
CFIHOS-65000268,AE,ampere per metre,A/m,CFIHOS-45000121,MAGSTR,magnetic field strength,CFIHOS-60001649,SI,
CFIHOS-65000269,A4,ampere per square centimetre,A/cm2,CFIHOS-45000076,ECURD,electric current density,CFIHOS-60001649,SI,
CFIHOS-65000270,,ampere per square foot,A/ft2,CFIHOS-45000076,ECURD,electric current density,,,
CFIHOS-65000271,A7,ampere per square millimetre,A/mm2,CFIHOS-45000076,ECURD,electric current density,CFIHOS-60001649,SI,
CFIHOS-65000272,,milliampere per square centimetre,mA/cm2,CFIHOS-45000076,ECURD,electric current density,CFIHOS-60001649,SI,
CFIHOS-65000273,,milliampere per square foot,mA/ft2,CFIHOS-45000076,ECURD,electric current density,,,
CFIHOS-65000274,,microampere per square centimetre,uA/cm2,CFIHOS-45000076,ECURD,electric current density,CFIHOS-60001649,SI,
CFIHOS-65000275,,microampere per square inch,uA/in2,CFIHOS-45000076,ECURD,electric current density,,,
CFIHOS-65000276,A41,ampere per square metre,A/m2,CFIHOS-45000076,ECURD,electric current density,CFIHOS-60001649,SI,
CFIHOS-65000277,,per henry,1/H,CFIHOS-45000162,RELUCT,reluctance,CFIHOS-60001649,SI,
CFIHOS-65000278,SIE,siemens,S,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000279,,centisiemens,cS,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000280,,decisiemens,dS,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000281,,exasiemens,ES,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000282,,femtosiemens,fS,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000283,,gigasiemens,GS,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000284,B53,kilosiemens,kS,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000285,C27,millisiemens,mS,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000286,,megasiemens,MS,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000287,,nanosiemens,nS,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000288,N92,picosiemens,pS,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000289,,terasiemens,TS,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000290,B99,microsiemens,uS,CFIHOS-45000077,ELCOTA,electric conductance,CFIHOS-60001649,SI,
CFIHOS-65000291,D10,siemens per metre,S/m,CFIHOS-45000078,ELCOTI,electric conductivity,CFIHOS-60001649,SI,
CFIHOS-65000292,B54,kilosiemens per metre,kS/m,CFIHOS-45000078,ELCOTI,electric conductivity,CFIHOS-60001649,SI,
CFIHOS-65000293,H61,millisiemens per centimetre,mS/cm,CFIHOS-45000078,ELCOTI,electric conductivity,CFIHOS-60001649,SI,
CFIHOS-65000294,,millisiemens per metre,mS/m,CFIHOS-45000078,ELCOTI,electric conductivity,CFIHOS-60001649,SI,
CFIHOS-65000295,,centifarad,cF,CFIHOS-45000001,CAPACI,capacitance,CFIHOS-60001649,SI,
CFIHOS-65000296,,decifarad,dF,CFIHOS-45000001,CAPACI,capacitance,CFIHOS-60001649,SI,
CFIHOS-65000297,,exafarad,EF,CFIHOS-45000001,CAPACI,capacitance,CFIHOS-60001649,SI,
CFIHOS-65000298,,femtofarad,fF,CFIHOS-45000001,CAPACI,capacitance,CFIHOS-60001649,SI,
CFIHOS-65000299,,gigafarad,GF,CFIHOS-45000001,CAPACI,capacitance,CFIHOS-60001649,SI,
CFIHOS-65000300,N90,kilofarad,kF,CFIHOS-45000001,CAPACI,capacitance,CFIHOS-60001649,SI,
CFIHOS-65000301,C10,millifarad,mF,CFIHOS-45000001,CAPACI,capacitance,CFIHOS-60001649,SI,
CFIHOS-65000302,,megafarad,MF,CFIHOS-45000001,CAPACI,capacitance,CFIHOS-60001649,SI,
CFIHOS-65000303,C41,nanofarad,nF,CFIHOS-45000001,CAPACI,capacitance,CFIHOS-60001649,SI,
CFIHOS-65000304,4T,picofarad,pF,CFIHOS-45000001,CAPACI,capacitance,CFIHOS-60001649,SI,
CFIHOS-65000305,,terafarad,TF,CFIHOS-45000001,CAPACI,capacitance,CFIHOS-60001649,SI,
CFIHOS-65000306,4O,microfarad,uF,CFIHOS-45000001,CAPACI,capacitance,CFIHOS-60001649,SI,
CFIHOS-65000307,B89,microfarad per metre,uF/m,CFIHOS-45000137,PERMIT,permittivity,CFIHOS-60001649,SI,
CFIHOS-65000308,A69,farad per metre,F/m,CFIHOS-45000137,PERMIT,permittivity,CFIHOS-60001649,SI,
CFIHOS-65000309,A5,ampere square metre,A.m2,CFIHOS-45000080,ELMO,electromagnetic moment,CFIHOS-60001649,SI,
CFIHOS-65000310,A26,coulomb metre,C.m,CFIHOS-45000074,DIPMO,dipole moment,CFIHOS-60001649,SI,
CFIHOS-65000311,COU,coulomb,C,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000312,A8,ampere second,A.s,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000313,,centicoulomb,cC,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000314,,decicoulomb,dC,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000315,,exacoulomb,EC,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000316,,femtocoulomb,fC,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000317,,gigacoulomb,GC,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000318,B26,kilocoulomb,kC,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000319,D86,millicoulomb,mC,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000320,D77,megacoulomb,MC,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000321,C40,nanocoulomb,nC,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000322,C71,picocoulomb,pC,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000323,,teracoulomb,TC,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000324,B86,microcoulomb,uC,CFIHOS-45000005,CHARGE,electrical charge,CFIHOS-60001649,SI,
CFIHOS-65000325,A33,coulomb per square centimetre,C/cm2,CFIHOS-45000064,CHARPA,electric charge per area,CFIHOS-60001649,SI,
CFIHOS-65000326,A35,coulomb per square millimetre,C/mm2,CFIHOS-45000064,CHARPA,electric charge per area,CFIHOS-60001649,SI,
CFIHOS-65000327,D89,millicoulomb per square metre,mC/m2,CFIHOS-45000064,CHARPA,electric charge per area,CFIHOS-60001649,SI,
CFIHOS-65000328,A34,coulomb per square metre,C/m2,CFIHOS-45000064,CHARPA,electric charge per area,CFIHOS-60001649,SI,
CFIHOS-65000329,,ampere second per cubic metre,A.s/m3,CFIHOS-45000066,CHARPV,electric charge per volume,CFIHOS-60001649,SI,
CFIHOS-65000330,A28,coulomb per cubic centimetre,C/cm3,CFIHOS-45000066,CHARPV,electric charge per volume,CFIHOS-60001649,SI,
CFIHOS-65000331,A30,coulomb per cubic millimetre,C/mm3,CFIHOS-45000066,CHARPV,electric charge per volume,CFIHOS-60001649,SI,
CFIHOS-65000332,A29,coulomb per cubic metre,C/m3,CFIHOS-45000066,CHARPV,electric charge per volume,CFIHOS-60001649,SI,
CFIHOS-65000333,,ampere second per kilogram,A.s/kg,CFIHOS-45000065,CHARPM,electric charge per mass,CFIHOS-60001649,SI,
CFIHOS-65000334,,coulomb per gram,C/g,CFIHOS-45000065,CHARPM,electric charge per mass,CFIHOS-60001649,SI,
CFIHOS-65000335,CKG,coulomb per kilogram,C/kg,CFIHOS-45000065,CHARPM,electric charge per mass,CFIHOS-60001649,SI,
CFIHOS-65000336,,per microvolt,1/uV,CFIHOS-45000158,RECPD,reciprocal electric potential difference,CFIHOS-60001649,SI,
CFIHOS-65000337,,per volt,1/V,CFIHOS-45000158,RECPD,reciprocal electric potential difference,CFIHOS-60001649,SI,
CFIHOS-65000338,CDL,candela,cd,CFIHOS-45000116,LUMINT,luminous intensity,CFIHOS-60001649,SI,
CFIHOS-65000339,P33,kilocandela,kcd,CFIHOS-45000116,LUMINT,luminous intensity,CFIHOS-60001649,SI,
CFIHOS-65000340,A24,candela per square metre,cd/m2,CFIHOS-45000117,LUMPA,luminance,CFIHOS-60001649,SI,
CFIHOS-65000341,LUM,lumen,lm,CFIHOS-45000114,LUFLUX,luminous flux,CFIHOS-60001649,SI,
CFIHOS-65000342,,lux,lx,CFIHOS-45000102,ILLUCE,illuminance,CFIHOS-60001649,SI,
CFIHOS-65000343,P27,footcandle,footcandle,CFIHOS-45000102,ILLUCE,illuminance,,,
CFIHOS-65000344,B60,lumen per square metre,lm/m2,CFIHOS-45000102,ILLUCE,illuminance,CFIHOS-60001649,SI,
CFIHOS-65000345,KLX,kilolux,klx,CFIHOS-45000102,ILLUCE,illuminance,CFIHOS-60001649,SI,
CFIHOS-65000346,B62,lumen second,lm.s,CFIHOS-45000149,QUANL,quantity of light,CFIHOS-60001649,SI,
CFIHOS-65000347,B64,lux second,lx.s,CFIHOS-45000109,LIGHTX,light exposure,CFIHOS-60001649,SI,
CFIHOS-65000348,,footcandle second,footcandle.s,CFIHOS-45000109,LIGHTX,light exposure,,,
CFIHOS-65000349,B61,lumen per watt,lm/W,CFIHOS-45000115,LUMEFF,luminous efficacy,CFIHOS-60001649,SI,
CFIHOS-65000350,,degree kelvin,K,CFIHOS-45000028,TEMP,temperature,CFIHOS-60001649,SI,
CFIHOS-65000351,A48,degree Rankine,degR,CFIHOS-45000028,TEMP,temperature,,,
CFIHOS-65000352,,chain,chain,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000353,,British chain [Benoit 1895 A],chain[BnA],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000354,,British chain [Benoit 1895 B],chain[BnB],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000355,,Clarke chain,chain[Cla],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000356,,Indian Chain [1937],chain[Ind37],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000357,,British chain [Sears 1922],chain[Se],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000358,,British chain [Sears 1922 truncated],chain[SeT],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000359,,US survey chain,chain[US],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000360,,international fathom,fathom,CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000361,,British foot [Benoit 1895 A],ft[BnA],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000362,,British foot [Benoit 1895 B],ft[BnB],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000363,,British foot [1936],ft[Br36],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000364,,British foot [1865],ft[Br65],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000365,,Clarke foot,ft[Cla],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000366,,Gold Coast foot,ft[GC],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000367,,indian foot,ft[Ind],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000368,,indian foot [1937],ft[Ind37],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000369,,indian foot ]1962],ft[Ind62],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000370,,indian foot [1975],ft[Ind75],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000371,,British foot [Sears 1922],ft[Se],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000372,,British foot [Sears 1922 truncated],ft[SeT],CFIHOS-45000011,LENGTH,length,,,
CFIHOS-65000373,,US survey foot,ft[US],CFIHOS-45000011,LENGTH,length,,,
