CFIHOS unique code,property name,property definition,property data type,property data type length,unit of measure dimension code CFIHOS unique code,unit of measure dimension code,property picklist name CFIHOS unique code,property picklist name,property existence reason description,property synonym name
CFIHOS-40000051,cold side normal operating outlet pressure,The pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000052,cold side normal operating outlet temperature,Is a temperature that occurs during operation or under which an object is supposed to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000053,cold side number of passes,Is a number of items where each item is a tube pass.,Number,,CFIHOS-45000037,COUNT,,,,
CFIHOS-40000054,cold side test medium,The medium used for testing purpose.,Text,40,,,CFIHOS-50000100,test medium,,
CFIHOS-40000055,cold side test pressure,The pressure to which a functional or physical object should be subjected to test for leakage and structural integrity.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000056,cold side upper limit design pressure,The highest pressure at which a functional or physical object is designed for.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000057,cold side upper limit operating temperature,The temperature which is the highest temperature at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000058,component cooling requirement,Specify the component which require cooling.,Text,40,,,CFIHOS-50000015,cooling on,,
CFIHOS-40000059,component cooling type,Specify the preferred type of cooling.,Text,40,,,CFIHOS-50000016,cooling type,,
CFIHOS-40000060,compressibility factor Z at inlet,The compressibility (Z) factor for the process medium at inlet conditions,Number,,CFIHOS-45000044,VPROPO,,,,
CFIHOS-40000061,compressor capacity control type,Specify the type of capacity control.,Text,40,,,CFIHOS-50000012,capacity control,,
CFIHOS-40000062,connection symbol,A nomenclature provides important information about the way in which three phase windings are connected and any phase displacement that occurs,Text,40,,,,,,
CFIHOS-40000063,controlled property,"Provide a general description of the physical property that the instrument loop is measuring and controlling. For example pressure, flow, temperature etc",Text,40,,,CFIHOS-50000014,controlled property,,
CFIHOS-40000064,corrosive agents,Specify which corrosive agents are present in the process fluid.,Text,40,,,,,,
CFIHOS-40000065,corrosive gas,Specify if the gas is corrosive.,Boolean,3,,,,,,
CFIHOS-40000066,corrosive liquid,Specify if the liquid contains corrosive agents.,Boolean,3,,,,,,
CFIHOS-40000067,coupling type,"A general description of the type of coupling to the drive shaft of an equipment item. For example fixed, flexible, disconnected etc",Text,40,,,CFIHOS-50000018,coupling type,,
CFIHOS-40000068,crane type,"Give a general description of the type of crane. For example gantry crane, pedestal crane etc",Text,40,,,CFIHOS-50000019,crane type,,
CFIHOS-40000069,crankcase rapid pressure relief device,Specify if the crankcase shall have a pressure relief device.,Boolean,3,,,,,,
CFIHOS-40000070,critical line,Specifies if the design for the line requires some special attention.,Boolean,3,,,,,,
CFIHOS-40000071,critical pipeline,Pipelines where the linepipe is specified as ISO-3183 class 2 or 3.,Boolean,3,,,,,,
CFIHOS-40000072,cylinder head cooling method,The method of cooling of the cylinder head of the equipment item.,Text,40,,,CFIHOS-50000022,cylinder head cooling method type,,
CFIHOS-40000073,cylinder lubricator type,Specify the type of lubricator for the cylinder.,Text,40,,,,,,
CFIHOS-40000074,design tube metal temperature,Is a temperature for which an item is designed to withstand the design pressure. It is typically derived from various normal and possible abnormal operating conditions.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000075,direction of rotation,Specify the direction of rotation of the functional or physical object.,Text,40,,,CFIHOS-50000024,direction of rotation,,
CFIHOS-40000076,disc holder material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000077,disc material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000078,disc material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000079,downcomer corrosion allowance,Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000080,downcomer length,Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000081,downcomer material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000082,downcomer number of tubes,Is a number of items where each item is a tube.,Number,,CFIHOS-45000037,COUNT,,,,
CFIHOS-40000083,downcomer outside diameter,Is an outside diameter of an item that is the prime outside diameter in case the item has more than one outside diameter.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000084,downcomer wall thickness,Is a thickness according to a design.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000085,driven unit normal operating shaft power,The shaft power under rated conditions for the equipment which is driven by the functional or physical object.,Number,,CFIHOS-45000016,POWER,,,,
CFIHOS-40000086,driven unit normal speed,The rotational speed which is the normal operating speed for the equipment which is driven  by the functional or physical object.,Number,,CFIHOS-45000036,ANGVEL,,,,
CFIHOS-40000087,driver type,"A general description of the device that produces the mechanical or electrical power that runs the equipment. For example diesel engine, electric motor, gas turbine etc.",Text,40,,,CFIHOS-50000030,driver type,,
CFIHOS-40000088,duty of electronic power inverter,Specify the duty of the electronic power inverter.,Text,40,,,CFIHOS-50000077,operation continuous intermittent,,
CFIHOS-40000089,duty of synchronous AC machines,Specify the duty of the synchronous AC machine.,Text,40,,,CFIHOS-50000077,operation continuous intermittent,,
CFIHOS-40000090,economizer corrosion allowance,Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000091,economizer effective outside surface area,Is an area located on a surface.,Number,,CFIHOS-45000026,SURFAC,,,,
CFIHOS-40000092,economizer material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000093,economizer number of tubes,Is a number of items where each item is a tube.,Number,,CFIHOS-45000037,COUNT,,,,
CFIHOS-40000094,economizer tube length,Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000095,economizer tube outside diameter,Is an outside diameter of an item that is the prime outside diameter in case the item has more than one outside diameter.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000096,economizer wall thickness,Is a thickness according to a design.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000097,electric generator cooling method,The method of cooling used by a electrical synchronous machine.,Text,40,,,CFIHOS-50000031,electric generator cooling method,,
CFIHOS-40000098,bearing lubrication,The method of lubrication of the bearings.,Text,40,,,CFIHOS-50000032,electric motor bearing lubrication,,
CFIHOS-40000099,electric motor cooling method,The method of cooling used by a electric motor.,Text,40,,,CFIHOS-50000033,electric motor cooling method,,
CFIHOS-40000100,electrical plug type,Specify the type of electrical plug.,Text,40,,,CFIHOS-50000035,electrical plug type,,
CFIHOS-40000101,electrical transformer type,The insulation medium used inside the physical object.,Text,40,,,CFIHOS-50000036,electrical transformer type,,
CFIHOS-40000102,emergency upper limit design temperature,"The maximum temperature that can be reached under unintended, but possible, emergency conditions other than external fires.",Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000103,end connections,Is the fittings by means of which expansion joints are connected to the piping system or to equipment.,Text,40,,,CFIHOS-50000037,end connections,,
CFIHOS-40000104,erosive liquid,Specify if the liquid contains erosive agents.,Boolean,3,,,,,,
CFIHOS-40000105,estimated equivalent length,The virtual length of the functional or physical object that would produce the same pressure drop than the real object.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000106,estimated length,The estimated length of the functional or physical object. Can be used to estimate the weight of the object.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000107,expansion joint type,Is a subtype of expansion joint,Text,40,,,CFIHOS-50000040,expansion joint type,,
CFIHOS-40000108,explosion protection concept,Specify the identification of electrical equipment's explosion protection and type of ignition protection in accordance with IEC/EN 60079-0.,Text,40,,,,,,
CFIHOS-40000109,explosion protection examination certificate number,The examination certificate number for the physical object issued by a notified body.,Text,40,,,,,,
CFIHOS-40000110,explosion protection gas group,Specify the gas group classification of the physical object in accordance with IEC/EN 60079-20,Text,40,,,CFIHOS-50000043,explosion protection gas group,,
CFIHOS-40000111,explosion protection notified body,The name of the nationally accredited approval body that has issued the examination certificate for the physical object.,Text,40,,,,,,
CFIHOS-40000112,explosion protection temperature class,Specify the temperature classification of the physical object in accordance with CENELEC EN50014,Text,40,,,CFIHOS-50000045,explosion protection temperature class,,
CFIHOS-40000113,explosion protection zone,Specify the hazardous zone in which the functional or physical object is expected to operate.,Text,40,,,CFIHOS-50000116,zone,,
CFIHOS-40000114,external insulation type,The type of insulation of a functional or physical object.,Text,40,,,CFIHOS-50000060,insulation type,,
CFIHOS-40000115,external maximum allowable working pressure new and cold,Is an allowable operating pressure that is the maximum pressure to which a container is allowed to be exposed during operating conditions when the item is new and cold.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000116,external operating pressure,The pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000117,external operating temperature,Is a temperature that occurs during operation or under which an object is supposed to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000118,external test pressure,The pressure to which a functional or physical object should be subjected to test for leakage and structural integrity.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000119,external upper limit design pressure,The highest pressure at which a functional or physical object is designed for.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000120,extraction of steam controlled,"Specifies if the extraction of the steam is controlled with a valve, or left uncontrolled.",Boolean,3,,,,,,
CFIHOS-40000121,finned outside surface area,Is an area located on a surface.,Number,,CFIHOS-45000026,SURFAC,,,,
CFIHOS-40000122,flammable liquid,Specifies if the liquid is flammable.,Boolean,3,,,,,,
CFIHOS-40000123,flanges material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000124,floating roof seal type,Specify the type of seal for a floating roof for the functional or physical tank.,Text,40,,,CFIHOS-50000049,floating roof seal type,,
CFIHOS-40000125,floor material,The material from which the floor is constructed or an additional covering to strengthen or protect the surface of the floor structure.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000126,flowline type,"The purpose of a flow line. For example 'gas production', oil production', 'water injection', 'gas injection' etc.",Text,40,,,CFIHOS-50000050,flowline type,,
CFIHOS-40000127,flue gas duct height,The maximum height of a functional or physical object above its base when installed.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000128,flue gas duct lining material,Is a material of construction of which a lining is made.,Text,100,,,CFIHOS-50000067,lining material,,
CFIHOS-40000129,flue gas ducting material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000130,flue gas ducting material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000131,flue gas ducting thickness,Is a thickness according to a design.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000132,fluid name,The name of the product in liquid or gas phase.,Text,100,,,CFIHOS-50000051,fluid,,
CFIHOS-40000133,fluid phase,"Specify if the fluid is in liquid, gas or both phases.",Text,40,,,CFIHOS-50000052,fluid phase,,
CFIHOS-40000134,frame size,Dimensions and output series for rotating electrical machines in conformity with IEC 60072,Text,40,,,,,,
CFIHOS-40000135,fuel type,"The type of fuel required by an equipment item. For example 'fuel gas, diesel etc.",Text,40,,,CFIHOS-50000053,fuel type,,
CFIHOS-40000136,full vacuum,Specifies if the internal of the functional or physical object can have an extremely low gas pressure relative to the surrounding pressure.,Boolean,3,,,,,,
CFIHOS-40000137,gas analysed,The chemical symbols of the gases/chemicals that the detector/analyser is capable of detecting. Chemical symbols are preferred to actual names.,Text,40,,,,,,
CFIHOS-40000138,gas turbine type,Specify whether the turbine is an aero derivative turbine or an industrial turbine type.,Text,40,,,CFIHOS-50000105,turbine type,,
CFIHOS-40000139,gas turbine waste heat utilization,Specify if the functional or physical object is equipped with an exhaust heat recovery system.,Boolean,3,,,,,,
CFIHOS-40000140,gear box type,"Specify whether the gearbox is intended to increase or decrease the speed, or both.",Text,40,,,CFIHOS-50000055,gearbox type,,
CFIHOS-40000141,gearwheel type,A general description of the construction of the gear wheels in an equipment item.,Text,40,,,CFIHOS-50000054,gear wheel type,,
CFIHOS-40000142,H2S concentration,Specifies the level of H2S in the fluid.,Number,,CFIHOS-45000015,MPROPO,,,,
CFIHOS-40000144,head corrosion allowance,Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000145,head external corrosion allowance,Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000146,head internal corrosion allowance,Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000147,head lining material,Is a material of construction of which a lining is made.,Text,100,,,CFIHOS-50000067,lining material,,
CFIHOS-40000148,head material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000149,head material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000150,head number of passes,Is a number of items where each item is a tube pass.,Number,,CFIHOS-45000037,COUNT,,,,
CFIHOS-40000151,head wall thickness,Is a thickness according to a design.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000152,head weld joint efficiency,Is a joint efficiency factor that is a correction factor for the strength of a weld dependent on the type and percentage examination. Its value is 1 in case of 100% radiographic examination.,Number,,CFIHOS-45000019,RATIO,,,,
CFIHOS-40000153,heat regulation method,Is the heater self-regulating or non-self regulating?,Text,40,,,CFIHOS-50000056,heat regulation method,,
CFIHOS-40000154,heat tracing method,Is a subtype of tracing,Text,40,,,CFIHOS-50000101,tracing type,,
CFIHOS-40000155,heating coil number of tubes,Is a number of items where each item is a tube.,Number,,CFIHOS-45000037,COUNT,,,,
CFIHOS-40000156,helper drive,"Specify if the functional or physical object is equipped with a helper driver, to accelerate the functional or physical object into self sustaining speed and remain coupled during operation to provide supplementary shaft power.",Boolean,3,,,,,,
CFIHOS-40000157,high frequency capacitance,"The capacitance presented to sources such as: harmonics, switching surges and transients.",Number,,CFIHOS-45000001,CAPACI,,,,
CFIHOS-40000158,hot oil flushing,Specify if the functional or physical object has hot oil flushing functionality.,Boolean,3,,,,,,
CFIHOS-40000159,hot side fluid name,The name of the product in liquid or gas phase.,Text,100,,,CFIHOS-50000051,fluid,,
CFIHOS-40000160,hot side maximum allowable working pressure new and cold,Is an allowable operating pressure that is the maximum pressure to which a container is allowed to be exposed during operating conditions when the item is new and cold.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000161,hot side minimum design metal temperature,"Is a temperature that is the lowest at which a significant load can be applied. Typically applied to a pressure vessel. Defined by the ASME Code, Section VIII, Division 1, paragraph UG-20 (see Section 3).",Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000162,hot side normal operating inlet pressure,The pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000163,hot side normal operating outlet pressure,The pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000164,hot side number of passes,Is a number of items where each item is a tube pass.,Number,,CFIHOS-45000037,COUNT,,,,
CFIHOS-40000165,hot side test medium,The medium used for testing purpose.,Text,40,,,CFIHOS-50000100,test medium,,
CFIHOS-40000166,hot side test pressure,The pressure to which a functional or physical object should be subjected to test for leakage and structural integrity.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000167,hot side upper limit design pressure,The highest pressure at which a functional or physical object is designed for.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000168,hot side upper limit operating inlet temperature,Is a temperature that occurs during operation or under which an object is supposed to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000169,hot side upper limit operating temperature,The temperature which is the highest temperature at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000170,hot side upper limit operating outlet temperature,Is a temperature that occurs during operation or under which an object is supposed to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000171,hydraulic oil type,The type of hydraulic oil in an equipment item.,Text,40,,,,,,
CFIHOS-40000172,immersed,Specify if the functional or physical object can be immersed or not.,Boolean,3,,,,,,
CFIHOS-40000173,ingress protection,"Specify the degree of ingress protection for the physical object in accordance with IEC/EN 50629 or NEMA, UL and CSA type rating.",Text,40,,,CFIHOS-50000058,ingress protection,,
CFIHOS-40000174,inlet flange rating,Is a possessed aspect being a design pressure of a flange.,Text,40,,,CFIHOS-50000048,flange rating,,
CFIHOS-40000175,inspection,"A structured review and examination of the current status of a process, procedure or condition of plant equipment.",Text,40,,,CFIHOS-50000059,inspection,,
CFIHOS-40000176,Inspection authority,Is a agency that is intended to issue or verify adherence to regulations.,Text,40,,,,,,
CFIHOS-40000177,thermal insulation class,The class of electrical insulation used by a  physical object.,Text,40,,,CFIHOS-50000034,electrical insulation class,,
CFIHOS-40000178,insulation code,"Specify insulation code, handbook or industry practice.",Text,40,,,,,,
CFIHOS-40000179,insulation type,The type of insulation of a functional or physical object.,Text,40,,,CFIHOS-50000060,insulation type,,
CFIHOS-40000180,intermediate section inside diameter,Is an inside diameter of an item that is the prime inside diameter in case the item has more than one inside diameter.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000181,intermediate section length,Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.,Number,,CFIHOS-45000011,LENGTH,,,,
CFIHOS-40000182,intermediate section lower limit operating pressure,Is a pressure that is a minimum possible or allowed or occurring or required.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000183,intermediate section lower limit operating temperature,The temperature which is the lowest temperature at  which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000184,intermediate section normal operating pressure,The pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000185,intermediate section normal operating temperature,The temperature at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000186,intermediate section upper limit operating temperature,The temperature which is the highest temperature at which a functional or physical object is expected to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000187,internal insulation type,The type of insulation of a functional or physical object.,Text,40,,,CFIHOS-50000060,insulation type,,
CFIHOS-40000188,internal maximum allowable working pressure new and cold,Is an allowable operating pressure that is the maximum pressure to which a container is allowed to be exposed during operating conditions when the item is new and cold.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000189,internal operating pressure,The pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000190,internal operating temperature,Is a temperature that occurs during operation or under which an object is supposed to operate.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000191,internal test pressure,The pressure to which a functional or physical object should be subjected to test for leakage and structural integrity.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000192,internal upper limit design pressure,The highest pressure at which a functional or physical object is designed for.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000193,internals material,Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.,Text,100,,,CFIHOS-50000070,material,,
CFIHOS-40000194,internals material specification,Is a specification which describes the applicable materials for one or more items.,Text,100,,,CFIHOS-50000073,material specification,,
CFIHOS-40000195,interrupting medium,"The medium which helps in extinguishing the arc created during operation of a physical object. For example air, vacuum, gas, oil.",Text,40,,,CFIHOS-50000061,interrupting medium,,
CFIHOS-40000196,jacket normal operating pressure,The pressure at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000017,PRESS,,,,
CFIHOS-40000197,jacket normal operating temperature,The temperature at which a functional or physical object is expected to operate normally.,Number,,CFIHOS-45000028,TEMP,,,,
CFIHOS-40000198,junction box construction material,Material used in construction of the junction box.,Text,100,,,CFIHOS-50000062,junction box construction material,,
CFIHOS-40000199,lamp type,Specify the type of lamp used as light source in a physical object.,Text,40,,,CFIHOS-50000063,lamp type,,
