tag or equipment class CFIHOS unique code,tag or equipment class,source standard CFIHOS unique code,source standard code
CFIHOS-30000382,air conditioner,CFIHOS-90000177,CFIHOS
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-90000177,CFIHOS
CFIHOS-30000104,air handling unit,CFIHOS-90000177,CFIHOS
CFIHOS-30000316,amplifier,CFIHOS-90000177,CFIHOS
CFIHOS-30000105,analyser element,CFIHOS-90000177,CFIHOS
CFIHOS-30000510,anchor,CFIHOS-90000177,CFIHOS
CFIHOS-30000286,anemometer,CFIHOS-90000177,CFIHOS
CFIHOS-30000317,anode,CFIHOS-90000177,CFIHOS
CFIHOS-30000397,antenna,CFIHOS-90000177,CFIHOS
CFIHOS-30000108,attenuator,CFIHOS-90000177,CFIHOS
CFIHOS-30000109,axial displacement transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000110,balancing damper,CFIHOS-90000177,CFIHOS
CFIHOS-30000298,basket,CFIHOS-90000177,CFIHOS
CFIHOS-30000319,battery charger,CFIHOS-90000177,CFIHOS
CFIHOS-30000001,beam clamp,CFIHOS-90000177,CFIHOS
CFIHOS-30000517,bearing,CFIHOS-90000177,CFIHOS
CFIHOS-30000399,bell,CFIHOS-90000177,CFIHOS
CFIHOS-30000562,belt conveyor,CFIHOS-90000177,CFIHOS
CFIHOS-30000002,bicycle,CFIHOS-90000177,CFIHOS
CFIHOS-30000003,blow out preventer,CFIHOS-90000177,CFIHOS
CFIHOS-30000518,blower,CFIHOS-90000177,CFIHOS
CFIHOS-30000384,boiler,CFIHOS-90000177,CFIHOS
CFIHOS-30000519,brake,CFIHOS-90000177,CFIHOS
CFIHOS-30000004,break glass unit,CFIHOS-90000177,CFIHOS
CFIHOS-30000005,breathing apparatus,CFIHOS-90000177,CFIHOS
CFIHOS-30000595,buoy,CFIHOS-90000177,CFIHOS
CFIHOS-30000320,busbar,CFIHOS-90000177,CFIHOS
CFIHOS-30000007,cabinet,CFIHOS-90000177,CFIHOS
CFIHOS-30000322,capacitor bank,CFIHOS-90000177,CFIHOS
CFIHOS-30000011,car,CFIHOS-90000177,CFIHOS
CFIHOS-30000012,cctv camera,CFIHOS-90000177,CFIHOS
CFIHOS-30000522,centrifuge,CFIHOS-90000177,CFIHOS
CFIHOS-30000596,chain,CFIHOS-90000177,CFIHOS
CFIHOS-30000563,chain conveyor,CFIHOS-90000177,CFIHOS
CFIHOS-30000013,chain hoist,CFIHOS-90000177,CFIHOS
CFIHOS-30000300,chamber,CFIHOS-90000177,CFIHOS
CFIHOS-30000494,christmas tree,CFIHOS-90000177,CFIHOS
CFIHOS-30000323,circuit-breaker,CFIHOS-90000177,CFIHOS
CFIHOS-30000017,cleaning machine,CFIHOS-90000177,CFIHOS
CFIHOS-30000018,climbing net,CFIHOS-90000177,CFIHOS
CFIHOS-30000324,clock,CFIHOS-90000177,CFIHOS
CFIHOS-30000523,clutch,CFIHOS-90000177,CFIHOS
CFIHOS-30000572,coalescer,CFIHOS-90000177,CFIHOS
CFIHOS-30000402,computer,CFIHOS-90000177,CFIHOS
CFIHOS-30000021,concentration transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000385,condenser,CFIHOS-90000177,CFIHOS
CFIHOS-30000403,conductivity cell,CFIHOS-90000177,CFIHOS
CFIHOS-30000325,conductivity transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000326,contactor,CFIHOS-90000177,CFIHOS
CFIHOS-30000405,control box,CFIHOS-90000177,CFIHOS
CFIHOS-30000022,control module,CFIHOS-90000177,CFIHOS
CFIHOS-30000327,control panel,CFIHOS-90000177,CFIHOS
CFIHOS-30000564,conveyor,CFIHOS-90000177,CFIHOS
CFIHOS-30000386,cooler,CFIHOS-90000177,CFIHOS
CFIHOS-30000387,cooling tower,CFIHOS-90000177,CFIHOS
CFIHOS-30000408,corrosion element,CFIHOS-90000177,CFIHOS
CFIHOS-30000409,counter,CFIHOS-90000177,CFIHOS
CFIHOS-30000419,coupling,CFIHOS-90000177,CFIHOS
CFIHOS-30000597,crane,CFIHOS-90000177,CFIHOS
CFIHOS-30000024,crane hook block,CFIHOS-90000177,CFIHOS
CFIHOS-30000329,current transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000565,cutter,CFIHOS-90000177,CFIHOS
CFIHOS-30000291,damper,CFIHOS-90000177,CFIHOS
CFIHOS-30000026,degasser,CFIHOS-90000177,CFIHOS
CFIHOS-30000028,deionizer,CFIHOS-90000177,CFIHOS
CFIHOS-30000573,demister,CFIHOS-90000177,CFIHOS
CFIHOS-30000029,dew point transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000030,diaphragm seal,CFIHOS-90000177,CFIHOS
CFIHOS-30000415,differential pressure gauge,CFIHOS-90000177,CFIHOS
CFIHOS-30000417,differential pressure switch,CFIHOS-90000177,CFIHOS
CFIHOS-30000418,differential pressure transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000330,distribution board,CFIHOS-90000177,CFIHOS
CFIHOS-30000036,document scanner,CFIHOS-90000177,CFIHOS
CFIHOS-30000388,drier,CFIHOS-90000177,CFIHOS
CFIHOS-30000037,drilling machine,CFIHOS-90000177,CFIHOS
CFIHOS-30000332,earth electrode,CFIHOS-90000177,CFIHOS
CFIHOS-30000508,earthing resistor,CFIHOS-90000177,CFIHOS
CFIHOS-30000038,eductor,CFIHOS-90000177,CFIHOS
CFIHOS-30000338,electric generator,CFIHOS-90000177,CFIHOS
CFIHOS-30000339,electric heater,CFIHOS-90000177,CFIHOS
CFIHOS-30000340,electric motor,CFIHOS-90000177,CFIHOS
CFIHOS-30000343,electrical motor starter,CFIHOS-90000177,CFIHOS
CFIHOS-30000344,electrical socket,CFIHOS-90000177,CFIHOS
CFIHOS-30000345,electronic frequency converter,CFIHOS-90000177,CFIHOS
CFIHOS-30000346,electronic power inverter,CFIHOS-90000177,CFIHOS
CFIHOS-30000574,electrostatic precipitator,CFIHOS-90000177,CFIHOS
CFIHOS-30000598,elevator,CFIHOS-90000177,CFIHOS
CFIHOS-30000042,exhaust,CFIHOS-90000177,CFIHOS
CFIHOS-30000043,expansion joint,CFIHOS-90000177,CFIHOS
CFIHOS-30000531,extruder,CFIHOS-90000177,CFIHOS
CFIHOS-30000044,eye bath,CFIHOS-90000177,CFIHOS
CFIHOS-30000045,fall arrestor block,CFIHOS-90000177,CFIHOS
CFIHOS-30000532,fan,CFIHOS-90000177,CFIHOS
CFIHOS-30000046,fax machine,CFIHOS-90000177,CFIHOS
CFIHOS-30000566,feeder,CFIHOS-90000177,CFIHOS
CFIHOS-30000575,filter,CFIHOS-90000177,CFIHOS
CFIHOS-30000576,filter cartridge,CFIHOS-90000177,CFIHOS
CFIHOS-30000048,fire blanket,CFIHOS-90000177,CFIHOS
CFIHOS-30000049,fire damper,CFIHOS-90000177,CFIHOS
CFIHOS-30000050,fire door,CFIHOS-90000177,CFIHOS
CFIHOS-30000512,fire extinguisher,CFIHOS-90000177,CFIHOS
CFIHOS-30000051,fire fighting vehicle,CFIHOS-90000177,CFIHOS
CFIHOS-30000052,fire hydrant,CFIHOS-90000177,CFIHOS
CFIHOS-30000053,fired heater,CFIHOS-90000177,CFIHOS
CFIHOS-30000054,firewater monitor,CFIHOS-90000177,CFIHOS
CFIHOS-30000055,first aid kit,CFIHOS-90000177,CFIHOS
CFIHOS-30000056,flame arrestor,CFIHOS-90000177,CFIHOS
CFIHOS-30000425,flame detector,CFIHOS-90000177,CFIHOS
CFIHOS-30000057,flame switch,CFIHOS-90000177,CFIHOS
CFIHOS-30000304,flange,CFIHOS-90000177,CFIHOS
CFIHOS-30000058,flare,CFIHOS-90000177,CFIHOS
CFIHOS-30000389,flare tip,CFIHOS-90000177,CFIHOS
CFIHOS-30000059,flash drum,CFIHOS-90000177,CFIHOS
CFIHOS-30000347,floodlight,CFIHOS-90000177,CFIHOS
CFIHOS-30000428,flow gauge,CFIHOS-90000177,CFIHOS
CFIHOS-30000063,flow orifice plate,CFIHOS-90000177,CFIHOS
CFIHOS-30000430,flow switch,CFIHOS-90000177,CFIHOS
CFIHOS-30000065,fog detector,CFIHOS-90000177,CFIHOS
CFIHOS-30000567,forklift truck,CFIHOS-90000177,CFIHOS
CFIHOS-30000305,frame,CFIHOS-90000177,CFIHOS
CFIHOS-30000070,funnel,CFIHOS-90000177,CFIHOS
CFIHOS-30000348,fuse,CFIHOS-90000177,CFIHOS
CFIHOS-30000072,fusible plug,CFIHOS-90000177,CFIHOS
CFIHOS-30000432,gas detector,CFIHOS-90000177,CFIHOS
CFIHOS-30000306,gasket,CFIHOS-90000177,CFIHOS
CFIHOS-30000535,gear box,CFIHOS-90000177,CFIHOS
CFIHOS-30000077,grease injection unit,CFIHOS-90000177,CFIHOS
CFIHOS-30000078,grille,CFIHOS-90000177,CFIHOS
CFIHOS-30000079,grinding machine,CFIHOS-90000177,CFIHOS
CFIHOS-30000080,guide post,CFIHOS-90000177,CFIHOS
CFIHOS-30000081,hard disk,CFIHOS-90000177,CFIHOS
CFIHOS-30000313,"health, safety and environment equipment class",CFIHOS-90000177,CFIHOS
CFIHOS-30000082,heat and smoke detector,CFIHOS-90000177,CFIHOS
CFIHOS-30000390,heat exchanger,CFIHOS-90000177,CFIHOS
CFIHOS-30000350,high-pass filter,CFIHOS-90000177,CFIHOS
CFIHOS-30000537,hood,CFIHOS-90000177,CFIHOS
CFIHOS-30000084,horn,CFIHOS-90000177,CFIHOS
CFIHOS-30000085,hose,CFIHOS-90000177,CFIHOS
CFIHOS-30000086,hose reel,CFIHOS-90000177,CFIHOS
CFIHOS-30000087,humidifier,CFIHOS-90000177,CFIHOS
CFIHOS-30000089,hydraulic connector,CFIHOS-90000177,CFIHOS
CFIHOS-30000538,hydraulic cylinder,CFIHOS-90000177,CFIHOS
CFIHOS-30000539,hydraulic motor,CFIHOS-90000177,CFIHOS
CFIHOS-30000090,hydraulic power supply,CFIHOS-90000177,CFIHOS
CFIHOS-30000568,hydraulic press,CFIHOS-90000177,CFIHOS
CFIHOS-30000094,ignitor,CFIHOS-90000177,CFIHOS
CFIHOS-30000391,incinerator,CFIHOS-90000177,CFIHOS
CFIHOS-30000292,indicating instrument,CFIHOS-90000177,CFIHOS
CFIHOS-30000100,intercom,CFIHOS-90000177,CFIHOS
CFIHOS-30000351,interlocking device,CFIHOS-90000177,CFIHOS
CFIHOS-30000352,isolator,CFIHOS-90000177,CFIHOS
CFIHOS-30000353,junction box,CFIHOS-90000177,CFIHOS
CFIHOS-30000435,keyboard,CFIHOS-90000177,CFIHOS
CFIHOS-30000354,lamp,CFIHOS-90000177,CFIHOS
CFIHOS-30000112,lathe,CFIHOS-90000177,CFIHOS
CFIHOS-30000601,life boat,CFIHOS-90000177,CFIHOS
CFIHOS-30000114,life buoy,CFIHOS-90000177,CFIHOS
CFIHOS-30000115,life buoy light,CFIHOS-90000177,CFIHOS
CFIHOS-30000116,life raft,CFIHOS-90000177,CFIHOS
CFIHOS-30000121,liquid detector,CFIHOS-90000177,CFIHOS
CFIHOS-30000123,load cell,CFIHOS-90000177,CFIHOS
CFIHOS-30000602,loading arm,CFIHOS-90000177,CFIHOS
CFIHOS-30000124,logic cap,CFIHOS-90000177,CFIHOS
CFIHOS-30000436,loudspeaker,CFIHOS-90000177,CFIHOS
CFIHOS-30000125,louvre,CFIHOS-90000177,CFIHOS
CFIHOS-30000356,low-pass filter,CFIHOS-90000177,CFIHOS
CFIHOS-30000357,luminaire,CFIHOS-90000177,CFIHOS
CFIHOS-30000308,manifold,CFIHOS-90000177,CFIHOS
CFIHOS-30000127,manual call point,CFIHOS-90000177,CFIHOS
CFIHOS-30000128,manual control switch,CFIHOS-90000177,CFIHOS
CFIHOS-30000130,mast,CFIHOS-90000177,CFIHOS
CFIHOS-30000131,mechanical connector,CFIHOS-90000177,CFIHOS
CFIHOS-30000542,mechanical seal,CFIHOS-90000177,CFIHOS
CFIHOS-30000132,meter prover,CFIHOS-90000177,CFIHOS
CFIHOS-30000133,microphone,CFIHOS-90000177,CFIHOS
CFIHOS-30000543,mixer,CFIHOS-90000177,CFIHOS
CFIHOS-30000135,modem,CFIHOS-90000177,CFIHOS
CFIHOS-30000136,mounting bracket,CFIHOS-90000177,CFIHOS
CFIHOS-30000138,multiplexer,CFIHOS-90000177,CFIHOS
CFIHOS-30000139,net oil computer,CFIHOS-90000177,CFIHOS
CFIHOS-30000495,nozzle,CFIHOS-90000177,CFIHOS
CFIHOS-30000164,optical beacon,CFIHOS-90000177,CFIHOS
CFIHOS-30000165,overhead projector,CFIHOS-90000177,CFIHOS
CFIHOS-30000168,package,CFIHOS-90000177,CFIHOS
CFIHOS-30000170,pager,CFIHOS-90000177,CFIHOS
CFIHOS-30000171,paging system,CFIHOS-90000177,CFIHOS
CFIHOS-30000172,personnel basket,CFIHOS-90000177,CFIHOS
CFIHOS-30000441,pig detector,CFIHOS-90000177,CFIHOS
CFIHOS-30000175,pig launcher,CFIHOS-90000177,CFIHOS
CFIHOS-30000177,pig receiver,CFIHOS-90000177,CFIHOS
CFIHOS-30000178,pig transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000179,pig trap,CFIHOS-90000177,CFIHOS
CFIHOS-30000180,pipe bending machine,CFIHOS-90000177,CFIHOS
CFIHOS-30000442,pitot tube,CFIHOS-90000177,CFIHOS
CFIHOS-30000752,plate heat exchanger,CFIHOS-90000177,CFIHOS
CFIHOS-30000548,pneumatic motor,CFIHOS-90000177,CFIHOS
CFIHOS-30000449,position transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000184,positioning system,CFIHOS-90000177,CFIHOS
CFIHOS-30000186,power stabiliser,CFIHOS-90000177,CFIHOS
CFIHOS-30000361,power supply unit,CFIHOS-90000177,CFIHOS
CFIHOS-30000452,pressure gauge,CFIHOS-90000177,CFIHOS
CFIHOS-30000454,pressure switch,CFIHOS-90000177,CFIHOS
CFIHOS-30000754,printed circuit heat exchanger,CFIHOS-90000177,CFIHOS
CFIHOS-30000586,process column,CFIHOS-90000177,CFIHOS
CFIHOS-30000189,process data acquisition and control,CFIHOS-90000177,CFIHOS
CFIHOS-30000457,proximity element,CFIHOS-90000177,CFIHOS
CFIHOS-30000191,public address and alarm system,CFIHOS-90000177,CFIHOS
CFIHOS-30000549,pulsation damper,CFIHOS-90000177,CFIHOS
CFIHOS-30000199,rack,CFIHOS-90000177,CFIHOS
CFIHOS-30000201,radiator,CFIHOS-90000177,CFIHOS
CFIHOS-30000202,radio caravan,CFIHOS-90000177,CFIHOS
CFIHOS-30000203,radio transceiver,CFIHOS-90000177,CFIHOS
CFIHOS-30000205,reader,CFIHOS-90000177,CFIHOS
CFIHOS-30000363,rectifier,CFIHOS-90000177,CFIHOS
CFIHOS-30000364,relay,CFIHOS-90000177,CFIHOS
CFIHOS-30000295,relief valve,CFIHOS-90000177,CFIHOS
CFIHOS-30000209,remote terminal unit,CFIHOS-90000177,CFIHOS
CFIHOS-30000464,restriction orifice plate,CFIHOS-90000177,CFIHOS
CFIHOS-30000569,roller conveyor,CFIHOS-90000177,CFIHOS
CFIHOS-30000221,router,CFIHOS-90000177,CFIHOS
CFIHOS-30000466,rupture disc,CFIHOS-90000177,CFIHOS
CFIHOS-30000513,safety shower,CFIHOS-90000177,CFIHOS
CFIHOS-30000467,sampler,CFIHOS-90000177,CFIHOS
CFIHOS-30000243,sand detector,CFIHOS-90000177,CFIHOS
CFIHOS-30000225,satellite communications terminal,CFIHOS-90000177,CFIHOS
CFIHOS-30000587,scraper,CFIHOS-90000177,CFIHOS
CFIHOS-30000226,screw conveyor,CFIHOS-90000177,CFIHOS
CFIHOS-30000309,seal,CFIHOS-90000177,CFIHOS
CFIHOS-30000228,shale shaker,CFIHOS-90000177,CFIHOS
CFIHOS-30000231,sheave,CFIHOS-90000177,CFIHOS
CFIHOS-30000590,shell,CFIHOS-90000177,CFIHOS
CFIHOS-30000755,shell and tube heat exchanger,CFIHOS-90000177,CFIHOS
CFIHOS-30000232,shut off damper,CFIHOS-90000177,CFIHOS
CFIHOS-30000233,side pocket mandrel,CFIHOS-90000177,CFIHOS
CFIHOS-30000235,signal splitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000514,silencer,CFIHOS-90000177,CFIHOS
CFIHOS-30000236,single buoy mooring,CFIHOS-90000177,CFIHOS
CFIHOS-30000237,sink,CFIHOS-90000177,CFIHOS
CFIHOS-30000239,skimmer,CFIHOS-90000177,CFIHOS
CFIHOS-30000570,slat conveyor,CFIHOS-90000177,CFIHOS
CFIHOS-30000591,slug catcher,CFIHOS-90000177,CFIHOS
CFIHOS-30000470,smoke detector,CFIHOS-90000177,CFIHOS
CFIHOS-30000240,snatch block,CFIHOS-90000177,CFIHOS
CFIHOS-30000368,solenoid,CFIHOS-90000177,CFIHOS
CFIHOS-30000244,sound attenuator,CFIHOS-90000177,CFIHOS
CFIHOS-30000246,spark arrestor,CFIHOS-90000177,CFIHOS
CFIHOS-30000247,special tool,CFIHOS-90000177,CFIHOS
CFIHOS-30000503,spectacle blind,CFIHOS-90000177,CFIHOS
CFIHOS-30000472,speed transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000249,spreader bar,CFIHOS-90000177,CFIHOS
CFIHOS-30000251,stack,CFIHOS-90000177,CFIHOS
CFIHOS-30000505,steam trap,CFIHOS-90000177,CFIHOS
CFIHOS-30000506,strainer,CFIHOS-90000177,CFIHOS
CFIHOS-30000592,stripper,CFIHOS-90000177,CFIHOS
CFIHOS-30000253,stroke length adjuster,CFIHOS-90000177,CFIHOS
CFIHOS-30000254,sump,CFIHOS-90000177,CFIHOS
CFIHOS-30000369,switchboard,CFIHOS-90000177,CFIHOS
CFIHOS-30000255,swivel joint,CFIHOS-90000177,CFIHOS
CFIHOS-30000593,tank,CFIHOS-90000177,CFIHOS
CFIHOS-30000257,tape drive,CFIHOS-90000177,CFIHOS
CFIHOS-30000371,telephone,CFIHOS-90000177,CFIHOS
CFIHOS-30000372,temperature detector,CFIHOS-90000177,CFIHOS
CFIHOS-30000473,temperature gauge,CFIHOS-90000177,CFIHOS
CFIHOS-30000475,temperature switch,CFIHOS-90000177,CFIHOS
CFIHOS-30000476,temperature transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000373,thermostatic switch,CFIHOS-90000177,CFIHOS
CFIHOS-30000374,thyristor,CFIHOS-90000177,CFIHOS
CFIHOS-30000480,timer,CFIHOS-90000177,CFIHOS
CFIHOS-30000557,torque converter,CFIHOS-90000177,CFIHOS
CFIHOS-30000263,trailer,CFIHOS-90000177,CFIHOS
CFIHOS-30000362,transformer,CFIHOS-90000177,CFIHOS
CFIHOS-30000481,transponder,CFIHOS-90000177,CFIHOS
CFIHOS-30000375,trip amplifier,CFIHOS-90000177,CFIHOS
CFIHOS-30000604,trolley,CFIHOS-90000177,CFIHOS
CFIHOS-30000605,truck,CFIHOS-90000177,CFIHOS
CFIHOS-30000507,tubing hanger,CFIHOS-90000177,CFIHOS
CFIHOS-30000558,turbo expander,CFIHOS-90000177,CFIHOS
CFIHOS-30000267,umbilical,CFIHOS-90000177,CFIHOS
CFIHOS-30000268,UV sterilizer,CFIHOS-90000177,CFIHOS
CFIHOS-30000594,vessel,CFIHOS-90000177,CFIHOS
CFIHOS-30000487,vibration element,CFIHOS-90000177,CFIHOS
CFIHOS-30000273,vibration switch,CFIHOS-90000177,CFIHOS
CFIHOS-30000378,vibration transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000274,video converter,CFIHOS-90000177,CFIHOS
CFIHOS-30000275,video monitor,CFIHOS-90000177,CFIHOS
CFIHOS-30000488,video recorder,CFIHOS-90000177,CFIHOS
CFIHOS-30000276,voltage transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000278,waste compactor,CFIHOS-90000177,CFIHOS
CFIHOS-30000279,water cooler,CFIHOS-90000177,CFIHOS
CFIHOS-30000280,water desalination system,CFIHOS-90000177,CFIHOS
CFIHOS-30000281,water maker,CFIHOS-90000177,CFIHOS
CFIHOS-30000380,weight transmitter,CFIHOS-90000177,CFIHOS
CFIHOS-30000381,welding set,CFIHOS-90000177,CFIHOS
CFIHOS-30000283,well,CFIHOS-90000177,CFIHOS
CFIHOS-30000284,wellhead,CFIHOS-90000177,CFIHOS
CFIHOS-30000285,winch,CFIHOS-90000177,CFIHOS
CFIHOS-30000492,wind sensor,CFIHOS-90000177,CFIHOS
CFIHOS-30000287,wire hoist,CFIHOS-90000177,CFIHOS
CFIHOS-30000288,wire line unit,CFIHOS-90000177,CFIHOS
CFIHOS-30000289,wire sling,CFIHOS-90000177,CFIHOS
CFIHOS-30000290,wireless access point,CFIHOS-90000177,CFIHOS
CFIHOS-30000561,yoke,CFIHOS-90000177,CFIHOS
CFIHOS-30000593,tank,CFIHOS-90000038,EN 14015:2004
CFIHOS-30000960,buffers,CFIHOS-90000161,GCRT5033 Iss 2
CFIHOS-30000986,rail key token station,CFIHOS-90000162,GIRT7002 Iss 1
CFIHOS-30000987,rail track,CFIHOS-90000162,GIRT7002 Iss 1
CFIHOS-30001034,windsock,CFIHOS-90000208,ICAO Annex 14 Vol I:2022
CFIHOS-30001034,windsock,CFIHOS-90000209,ICAO Annex 14 Vol II:2020
CFIHOS-30000805,alternating current motor,CFIHOS-90000040,IEC 60034-1:2017
CFIHOS-30000318,battery back-up power supply unit,CFIHOS-90000041,IEC 60269-1:2014
CFIHOS-30000348,fuse,CFIHOS-90000041,IEC 60269-1:2014
CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000041,IEC 60269-1:2014
CFIHOS-30000376,ups unit,CFIHOS-90000041,IEC 60269-1:2014
CFIHOS-30000348,fuse,CFIHOS-90000043,IEC 60282-1:2020
CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000043,IEC 60282-1:2020
CFIHOS-30000318,battery back-up power supply unit,CFIHOS-90000048,IEC 60947-2:2006
CFIHOS-30000323,circuit-breaker,CFIHOS-90000048,IEC 60947-2:2006
CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000048,IEC 60947-2:2006
CFIHOS-30000376,ups unit,CFIHOS-90000048,IEC 60947-2:2006
CFIHOS-30001035,wind turbine,CFIHOS-90000211,IEC 61400-1:2019
CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000049,IEC 61439-1:2020
CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000050,IEC 61439-2:2020
CFIHOS-30000323,circuit-breaker,CFIHOS-90000051,IEC 62271-100:2017
CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000051,IEC 62271-100:2017
CFIHOS-30001010,automatic circuit recloser,CFIHOS-90000184,IEC 62271-111:2019
CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000052,IEC 62271-200:2011
CFIHOS-30001028,thermoelectric generator,CFIHOS-90000201,IEC 62282-3-1:2007
CFIHOS-30001028,thermoelectric generator,CFIHOS-90000215,IEC 62830-5:2021
CFIHOS-30001018,harmonic filter,CFIHOS-90000191,IEEE 1531-2020
CFIHOS-30000340,electric motor,CFIHOS-90000218,IEEE 841:2021
CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016
CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000240,IOGP S-560:2022
CFIHOS-30000494,christmas tree,CFIHOS-90000054,IOGP S-561:2018
CFIHOS-30000494,christmas tree,CFIHOS-90000241,IOGP S-561:2023
CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019
CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019
CFIHOS-30000837,gate control valve,CFIHOS-90000057,IOGP S-611:2019
CFIHOS-30000838,gate valve,CFIHOS-90000057,IOGP S-611:2019
CFIHOS-30000520,centrifugal compressor,CFIHOS-90000058,IOGP S-612:2018
CFIHOS-30000755,shell and tube heat exchanger,CFIHOS-90000060,IOGP S-614:2018
CFIHOS-30000521,centrifugal pump,CFIHOS-90000061,IOGP S-615:2019
CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023
CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000066,IOGP S-620:2018
CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022
CFIHOS-30000419,coupling,CFIHOS-90000067,IOGP S-700:2020
CFIHOS-30000805,alternating current motor,CFIHOS-90000068,IOGP S-703:2020
