equipment class CFIHOS unique code,equipment class name,property CFIHOS unique code,property name,property relevant for equipment indicator,property relevant for model / part indicator,SI unit of measure CFIHOS unique code,SI unit of measure name,imperial unit of measure CFIHOS unique code,imperial unit of measure name
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000331,rated short circuit current,Yes,,CFIHOS-60001448,kiloampere,CFIHOS-60001448,kiloampere
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000528,rated voltage,Yes,,CFIHOS-60001423,volt,CFIHOS-60001423,volt
CFIHOS-30000382,air conditioner,CFIHOS-40000521,rated current,Yes,,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000382,air conditioner,CFIHOS-40000528,rated voltage,Yes,,CFIHOS-60001423,volt,CFIHOS-60001423,volt
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000699,cold side temperature rise,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000494,dry weight,Yes,,CFIHOS-60001449,kilogram,CFIHOS-60001413,pound-mass
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000121,finned outside surface area,Yes,,CFIHOS-60001466,square metre,CFIHOS-60001442,square foot
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000627,header internal corrosion allowance,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000697,heat transfer area,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000496,height,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000698,hot side temperature drop,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000497,hydrostatic test pressure,Yes,,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000176,Inspection authority,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000200,legal registration number,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000201,length,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000633,lined surface,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000516,operating weight,Yes,,CFIHOS-60001449,kilogram,CFIHOS-60001413,pound-mass
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000318,post weld heat treatment,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000411,TEMA type,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000432,tube material,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000434,tube outside diameter,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000443,tube wall thickness,Yes,,CFIHOS-60001469,millimetre,CFIHOS-60001446,inch
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000570,upper limit allowable pressure,Yes,,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000571,upper limit allowable temperature,Yes,,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000098,bearing lubrication,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000494,dry weight,Yes,,CFIHOS-60001449,kilogram,CFIHOS-60001413,pound-mass
CFIHOS-30000804,alternating current generator,CFIHOS-40000495,efficiency,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000302,number of electrical phases,Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000521,rated current,Yes,,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000804,alternating current generator,CFIHOS-40000522,rated frequency,Yes,,CFIHOS-60001443,hertz,CFIHOS-60001443,hertz
CFIHOS-30000804,alternating current generator,CFIHOS-40000523,rated output power,Yes,,CFIHOS-60001458,kilowatt,CFIHOS-65000001,electric-horsepower
CFIHOS-30000804,alternating current generator,CFIHOS-40000329,rated power factor (lagging),Yes,,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000332,rated speed,Yes,,CFIHOS-60001480,revolution per minute,CFIHOS-60001480,revolution per minute
CFIHOS-30000804,alternating current generator,CFIHOS-40000528,rated voltage,Yes,,CFIHOS-60001423,volt,CFIHOS-60001423,volt
CFIHOS-30000805,alternating current motor,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000098,bearing lubrication,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001372,bearing operating life,Yes,,CFIHOS-60001445,hour,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001364,bearing type,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000906,cold air temperature at rated power,Yes,,CFIHOS-60001435,degree celsius,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,Yes,,CFIHOS-60001470,square millimetre,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000916,current at lower limit continuous operating speed at maximum torque,Yes,,CFIHOS-60001427,ampere,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000915,current at upper limit continuous operating speed at maximum torque,Yes,,CFIHOS-60001427,ampere,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000870,declared locked-rotor current at 100% rated voltage,Yes,,CFIHOS-60001427,ampere,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000871,declared locked-rotor current at 80% rated voltage,Yes,,CFIHOS-60001427,ampere,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000872,declared locked-rotor torque at 100% rated voltage,Yes,,CFIHOS-65000671,newton metre,CFIHOS-65000684,foot pound-force
CFIHOS-30000805,alternating current motor,CFIHOS-40000873,declared locked-rotor torque at 80% rated voltage,Yes,,CFIHOS-65000671,newton metre,CFIHOS-65000684,foot pound-force
CFIHOS-30000805,alternating current motor,CFIHOS-40000487,design specification,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000643,driven equipment,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000494,dry weight,Yes,,CFIHOS-60001449,kilogram,CFIHOS-60001413,pound-mass
CFIHOS-30000805,alternating current motor,CFIHOS-40000495,efficiency,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000880,efficiency at 100% rated output,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000882,efficiency at 50% rated output,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000881,efficiency at 75% rated output,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000918,efficiency at lower limit continuous operating speed,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000926,efficiency at maximum continuous operating speed at maximum torque,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000917,efficiency at upper limit continuous operating speed at upper torque value,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000862,external axial loading on the motor shaft end,Yes,,CFIHOS-60001474,newton,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000861,external radial loading on the motor shaft end,Yes,,CFIHOS-60001474,newton,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001390,fan impeller material,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000901,first lateral critical speed,Yes,,CFIHOS-60001480,revolution per minute,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000134,frame size,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000864,full load current,Yes,,CFIHOS-60001427,ampere,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001384,grease specification,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001349,heat exchanger tubing material specification,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000907,hot air temperature at rated power,Yes,,CFIHOS-60001435,degree celsius,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001362,impulse voltage insulation class,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000173,ingress protection,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001326,internal bearing clearance,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000890,junction box cable entry size,Yes,,CFIHOS-60001469,millimetre,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001339,junction box cable entry type,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000874,locked-rotor power factor at 100% rated voltage,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000892,locked-rotor torque in % of full load torque at 100% of rated voltage,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000893,locked-rotor torque in % of full load torque at 80% of rated voltage,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000894,locked-rotor withstand time (hot/cold) at 100 % rated voltage,Yes,,CFIHOS-60001481,second,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000895,locked-rotor withstand time (hot/cold) at 80 % rated voltage,Yes,,CFIHOS-60001481,second,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000551,lower limit design pressure,Yes,,CFIHOS-65001148,bar,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000503,lower limit design temperature,Yes,,CFIHOS-60001435,degree celsius,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000875,moment of inertia of the motor,Yes,,CFIHOS-65001056,kilogram per square metre,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000302,number of electrical phases,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000889,number of junction box cable gland entries,Yes,,CFIHOS-60000932,piece,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000904,oil quantity for self-lubricated sleeve bearings,Yes,,CFIHOS-60001459,litre,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000883,power factor at 100% rated output,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000885,power factor at 50% rated output,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000884,power factor at 75% rated output,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000920,power factor at lower limit continuous operating speed,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000919,power factor at upper limit continuous operating speed,Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000869,pull-up torque,Yes,,CFIHOS-65000671,newton metre,CFIHOS-65000684,foot pound-force
CFIHOS-30000805,alternating current motor,CFIHOS-40000923,ramp-up time to minimum speed,Yes,,CFIHOS-60001481,second,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000879,rated breakdown torque,Yes,,CFIHOS-65000671,newton metre,CFIHOS-65000684,foot pound-force
CFIHOS-30000805,alternating current motor,CFIHOS-40000521,rated current,Yes,,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000805,alternating current motor,CFIHOS-40000522,rated frequency,Yes,,CFIHOS-60001443,hertz,CFIHOS-60001443,hertz
CFIHOS-30000805,alternating current motor,CFIHOS-40000523,rated output power,Yes,,CFIHOS-60001458,kilowatt,CFIHOS-65000001,electric-horsepower
CFIHOS-30000805,alternating current motor,CFIHOS-40000524,rated power consumption,Yes,,CFIHOS-65000727,watt,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000329,rated power factor (lagging),Yes,,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000332,rated speed,Yes,,CFIHOS-60001480,revolution per minute,CFIHOS-60001480,revolution per minute
CFIHOS-30000805,alternating current motor,CFIHOS-40000527,rated speed at 1/1 load,Yes,,CFIHOS-60001480,revolution per minute,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000896,rated torque,Yes,,CFIHOS-65000671,newton metre,CFIHOS-65000684,foot pound-force
CFIHOS-30000805,alternating current motor,CFIHOS-40000878,rated torque at 1/1 load,Yes,,CFIHOS-65000671,newton metre,CFIHOS-65000684,foot pound-force
CFIHOS-30000805,alternating current motor,CFIHOS-40000528,rated voltage,Yes,,CFIHOS-60001423,volt,CFIHOS-60001423,volt
CFIHOS-30000805,alternating current motor,CFIHOS-40000900,re-greasing interval,Yes,,CFIHOS-65000606,henry,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000568,service factor,Yes,,CFIHOS-60000932,piece,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000531,starting current,Yes,,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000805,alternating current motor,CFIHOS-40000903,tE time at 80 % voltage,Yes,,CFIHOS-60001481,second,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000902,tE time at rated voltage,Yes,,CFIHOS-60001481,second,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000659,temperature rise class,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000177,thermal insulation class,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000533,total weight,Yes,,CFIHOS-60001449,kilogram,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000448,type of electric motor,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001359,upper limit allowable vibration on load at rated output,Yes,,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000925,upper limit cooling water flow rate,Yes,,CFIHOS-60001460,litre per second,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000888,upper limit declared motor sound power level at full load,Yes,,CFIHOS-60001434,decibel,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000887,upper limit declared motor sound power level at no-load,Yes,,CFIHOS-60001434,decibel,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000535,upper limit design pressure,Yes,,CFIHOS-65001148,bar,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000536,upper limit design temperature,Yes,,CFIHOS-60001435,degree celsius,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000876,upper limit permissible starting time at 100% rated voltage,Yes,,CFIHOS-60001481,second,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000877,upper limit permissible starting time at 80% rated voltage,Yes,,CFIHOS-60001481,second,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000898,upper limit sound pressure level at no load,Yes,,CFIHOS-60001434,decibel,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000921,upper limit sound pressure level at no load at maximum continuous speed,Yes,,CFIHOS-60001434,decibel,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000899,upper limit sound pressure level at rated load,Yes,,CFIHOS-60001434,decibel,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000922,upper limit sound pressure level within the load envelope,Yes,,CFIHOS-60001434,decibel,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000914,voltage at lower limit continuous operating speed,Yes,,CFIHOS-60001456,kilovolt,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000913,voltage at upper limit continuous operating speed at maximum torque,Yes,,CFIHOS-60001456,kilovolt,,
CFIHOS-30000316,amplifier,CFIHOS-40000009,ATEX category,Yes,,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000010,ATEX explosive atmosphere,Yes,,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000011,ATEX group,Yes,,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000108,explosion protection concept,Yes,,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000109,explosion protection examination certificate number,Yes,,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000110,explosion protection gas group,Yes,,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000612,explosion protection material group,Yes,,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000111,explosion protection notified body,Yes,,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000112,explosion protection temperature class,Yes,,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000113,explosion protection zone,Yes,,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000173,ingress protection,Yes,,,,,
