CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,property CFIHOS unique code,property name,source standard code CFIHOS unique code,source standard code,source standard section,property name in source standard,property sequence number
CFIHOS-95000014,CFIHOS-30000805,alternating current motor,CFIHOS-40001372,bearing operating life,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-104,L10 life,
CFIHOS-95000015,CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-583,Bearing temperature detection,
CFIHOS-95000016,CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-548,Bearing temperature detection,
CFIHOS-95000017,CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-150,Bearing temperature detectors,
CFIHOS-95000018,CFIHOS-30000805,alternating current motor,CFIHOS-40001364,bearing type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-543,Required bearing type,
CFIHOS-95000019,CFIHOS-30000805,alternating current motor,CFIHOS-40001364,bearing type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-509,Required bearing type,
CFIHOS-95000020,CFIHOS-30000805,alternating current motor,CFIHOS-40000032,cable cross sectional area,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-533(a),cable cross sectional area,
CFIHOS-95000021,CFIHOS-30000805,alternating current motor,CFIHOS-40000032,cable cross sectional area,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-500(a),cable cross sectional area,
CFIHOS-95000022,CFIHOS-30000805,alternating current motor,CFIHOS-40000906,cold air temperature at rated power,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-615,Cold air temperature at rated power,
CFIHOS-95000023,CFIHOS-30000805,alternating current motor,CFIHOS-40000906,cold air temperature at rated power,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-577,Cold air temperature at rated power,
CFIHOS-95000024,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-105,Conformity Assessment System (CAS) level,
CFIHOS-95000025,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-105,Conformity Assessment System (CAS) level,
CFIHOS-95000026,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-434,Conformity assessment system (CAS) level,
CFIHOS-95000027,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-429,Conformity assessment system (CAS) level,
CFIHOS-95000028,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-326,Conformity assessment system (CAS) level,
CFIHOS-95000029,CFIHOS-30000805,alternating current motor,CFIHOS-40001348,cooling water specification,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-565,Cooling water specification,
CFIHOS-95000030,CFIHOS-30000805,alternating current motor,CFIHOS-40001348,cooling water specification,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-530,Cooling water specification,
CFIHOS-95000031,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-184,Surface protection corrosivity category,
CFIHOS-95000032,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-184,Surface protection corrosivity category,
CFIHOS-95000033,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-578,Surface protection corrosivity category,
CFIHOS-95000034,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-543,Surface protection corrosivity category,
CFIHOS-95000035,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-86,Atmospheric corrosivity category,
CFIHOS-95000036,CFIHOS-30000805,alternating current motor,CFIHOS-40000929,country region,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-328,Project region,
CFIHOS-95000037,CFIHOS-30000805,alternating current motor,CFIHOS-40001358,coupling hub fit,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-609,Coupling hub fit,
CFIHOS-95000038,CFIHOS-30000805,alternating current motor,CFIHOS-40001358,coupling hub fit,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-571,Coupling hub fit,
CFIHOS-95000039,CFIHOS-30000805,alternating current motor,CFIHOS-40001346,coupling insulation,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-549,Insulated coupling,
CFIHOS-95000040,CFIHOS-30000805,alternating current motor,CFIHOS-40001346,coupling insulation,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-515,Insulated coupling,
CFIHOS-95000041,CFIHOS-30000805,alternating current motor,CFIHOS-40000067,coupling type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-608,Coupling hub type,
CFIHOS-95000042,CFIHOS-30000805,alternating current motor,CFIHOS-40000067,coupling type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-584,Coupling hub type,
CFIHOS-95000043,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-169,Line conductor cross-section area,
CFIHOS-95000044,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-169,Line conductor cross-section area,
CFIHOS-95000045,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-538,Space heater supply cable cross-section area,
CFIHOS-95000046,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-504,Space heater supply cable cross-section area,
CFIHOS-95000047,CFIHOS-30000805,alternating current motor,CFIHOS-40000916,current at lower limit continuous operating speed at maximum torque,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-472,Current at minimum continuous operating speed,
CFIHOS-95000048,CFIHOS-30000805,alternating current motor,CFIHOS-40000915,current at upper limit continuous operating speed at maximum torque,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-471,Current at maximum continuous operating speed,
CFIHOS-95000049,CFIHOS-30000805,alternating current motor,CFIHOS-40000915,current at upper limit continuous operating speed at maximum torque,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-473,Current at maximum continuous operating speed at maximum torque,
CFIHOS-95000050,CFIHOS-30000805,alternating current motor,CFIHOS-40001368,current transformer class,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-607(b),Current transformer ratio and class,
CFIHOS-95000051,CFIHOS-30000805,alternating current motor,CFIHOS-40001368,current transformer class,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-569(b),Current transformer ratio and class,
CFIHOS-95000052,CFIHOS-30000805,alternating current motor,CFIHOS-40001357,current transformer construction type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-606,Current transformer construction type,
CFIHOS-95000053,CFIHOS-30000805,alternating current motor,CFIHOS-40001357,current transformer construction type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-568,Current transformer construction type,
CFIHOS-95000054,CFIHOS-30000805,alternating current motor,CFIHOS-40001356,current transformer location,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-605,Current transformer location,
CFIHOS-95000055,CFIHOS-30000805,alternating current motor,CFIHOS-40001356,current transformer location,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-567,Current transformer location,
CFIHOS-95000056,CFIHOS-30000805,alternating current motor,CFIHOS-40001367,current transformer ratio,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-607(a),Current transformer ratio and class,
CFIHOS-95000057,CFIHOS-30000805,alternating current motor,CFIHOS-40001367,current transformer ratio,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-569(a),Current transformer ratio and class,
CFIHOS-95000058,CFIHOS-30000805,alternating current motor,CFIHOS-40001321,data for protection setting/power modelling requirements,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-146,Data for protection setting/power modelling,
CFIHOS-95000059,CFIHOS-30000805,alternating current motor,CFIHOS-40001321,data for protection setting/power modelling requirements,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-146,Data for protection setting/power modelling,
CFIHOS-95000060,CFIHOS-30000805,alternating current motor,CFIHOS-40001320,declared locked rotor current tolerance,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-137,Declared locked rotor current tolerance,
CFIHOS-95000061,CFIHOS-30000805,alternating current motor,CFIHOS-40001320,declared locked rotor current tolerance,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-478,Declared locked rotor current tolerance,
CFIHOS-95000062,CFIHOS-30000805,alternating current motor,CFIHOS-40000870,declared locked-rotor current at 100% rated voltage,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-138,Declared locked-rotor current at 100% rated voltage,
CFIHOS-95000063,CFIHOS-30000805,alternating current motor,CFIHOS-40000870,declared locked-rotor current at 100% rated voltage,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-480,Declared locked-rotor current at 100 % rated voltage,
CFIHOS-95000064,CFIHOS-30000805,alternating current motor,CFIHOS-40000871,declared locked-rotor current at 80% rated voltage,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-139,Declared locked-rotor current at 80% rated voltage,
CFIHOS-95000065,CFIHOS-30000805,alternating current motor,CFIHOS-40000871,declared locked-rotor current at 80% rated voltage,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-481,Declared locked-rotor current at 80 % rated voltage,
CFIHOS-95000066,CFIHOS-30000805,alternating current motor,CFIHOS-40000872,declared locked-rotor torque at 100% rated voltage,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-140,Declared locked-rotor torque at 100% rated voltage,
CFIHOS-95000067,CFIHOS-30000805,alternating current motor,CFIHOS-40000873,declared locked-rotor torque at 80% rated voltage,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-141,Declared locked-rotor torque at 80% rated voltage,
CFIHOS-95000068,CFIHOS-30000805,alternating current motor,CFIHOS-40000487,design specification,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-564,Heat exchanger design code,
CFIHOS-95000069,CFIHOS-30000805,alternating current motor,CFIHOS-40000487,design specification,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-529,Heat exchanger design code,
CFIHOS-95000070,CFIHOS-30000805,alternating current motor,CFIHOS-40001344,differential protection,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-542,Differential protection,
CFIHOS-95000071,CFIHOS-30000805,alternating current motor,CFIHOS-40001344,differential protection,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-508,Differential protection,
CFIHOS-95000072,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-110,Direction of rotation,
CFIHOS-95000073,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-165,Fan direction of rotation,
CFIHOS-95000074,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-110,Direction of rotation,
CFIHOS-95000075,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-165,Fan direction of rotation,
CFIHOS-95000076,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-439,Direction of rotation,
CFIHOS-95000077,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-434,Direction of rotation,
CFIHOS-95000078,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-12,Direction of rotation,
CFIHOS-95000079,CFIHOS-30000805,alternating current motor,CFIHOS-40001375,drip cover requirement,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-110,Drip cover,
CFIHOS-95000080,CFIHOS-30000805,alternating current motor,CFIHOS-40001345,drive-end bearing insulation,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-547,D-end insulated bearing,
CFIHOS-95000081,CFIHOS-30000805,alternating current motor,CFIHOS-40001345,drive-end bearing insulation,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-513,D-end insulated bearing,
CFIHOS-95000082,CFIHOS-30000805,alternating current motor,CFIHOS-40001365,driven equipment bearing type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-548,Driven equipment bearing type,
CFIHOS-95000083,CFIHOS-30000805,alternating current motor,CFIHOS-40001365,driven equipment bearing type,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-514,Driven equipment bearing type,
CFIHOS-95000084,CFIHOS-30000805,alternating current motor,CFIHOS-40000494,dry weight,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-527,Rotor weight,
CFIHOS-95000085,CFIHOS-30000805,alternating current motor,CFIHOS-40000494,dry weight,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-494,Rotor weight,
CFIHOS-95000086,CFIHOS-30000805,alternating current motor,CFIHOS-40000860,duty point shaft power,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-109,Duty point shaft power,
CFIHOS-95000087,CFIHOS-30000805,alternating current motor,CFIHOS-40000860,duty point shaft power,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-109,Duty point shaft power,
CFIHOS-95000088,CFIHOS-30000805,alternating current motor,CFIHOS-40000860,duty point shaft power,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-438,Duty point shaft power,
CFIHOS-95000089,CFIHOS-30000805,alternating current motor,CFIHOS-40000860,duty point shaft power,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-433,Duty point shaft power,
CFIHOS-95000090,CFIHOS-30000805,alternating current motor,CFIHOS-40000495,efficiency,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-150,Efficiency,
CFIHOS-95000091,CFIHOS-30000805,alternating current motor,CFIHOS-40000495,efficiency,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-150,Efficiency,
CFIHOS-95000092,CFIHOS-30000805,alternating current motor,CFIHOS-40000495,efficiency,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-499,Efficiency at rated output,
CFIHOS-95000093,CFIHOS-30000805,alternating current motor,CFIHOS-40000880,efficiency at 100% rated output,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-151,Efficiency at 100% rated output,
CFIHOS-95000094,CFIHOS-30000805,alternating current motor,CFIHOS-40000880,efficiency at 100% rated output,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-151,Efficiency at 100% rated output,
CFIHOS-95000095,CFIHOS-30000805,alternating current motor,CFIHOS-40000880,efficiency at 100% rated output,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-53,Efficiency at 100% rated output,
CFIHOS-95000096,CFIHOS-30000805,alternating current motor,CFIHOS-40000882,efficiency at 50% rated output,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-153,Efficiency at 50% rated output,
CFIHOS-95000097,CFIHOS-30000805,alternating current motor,CFIHOS-40000882,efficiency at 50% rated output,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-501,Efficiency at 50 % of rated output,
CFIHOS-95000098,CFIHOS-30000805,alternating current motor,CFIHOS-40000882,efficiency at 50% rated output,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-55,Efficiency at 50% rated output,
CFIHOS-95000099,CFIHOS-30000805,alternating current motor,CFIHOS-40000881,efficiency at 75% rated output,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-152,Efficiency at 75% rated output,
CFIHOS-95000100,CFIHOS-30000805,alternating current motor,CFIHOS-40000881,efficiency at 75% rated output,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-500,Efficiency at 75 % of rated output,
CFIHOS-95000101,CFIHOS-30000805,alternating current motor,CFIHOS-40000881,efficiency at 75% rated output,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-54,Efficiency at 75% rated output,
CFIHOS-95000102,CFIHOS-30000805,alternating current motor,CFIHOS-40000918,efficiency at lower limit continuous operating speed,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-475,Efficiency at minimum continuous operating speed,
CFIHOS-95000103,CFIHOS-30000805,alternating current motor,CFIHOS-40000926,efficiency at maximum continuous operating speed at maximum torque,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-476,Efficiency at maximum continuous operating speed at maximum torque,
CFIHOS-95000104,CFIHOS-30000805,alternating current motor,CFIHOS-40000917,efficiency at upper limit continuous operating speed at upper torque value,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-474,Efficiency at maximum continuous operating speed,
CFIHOS-95000105,CFIHOS-30000805,alternating current motor,CFIHOS-40000099,electric motor cooling method,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-180,Cooling method,
CFIHOS-95000106,CFIHOS-30000805,alternating current motor,CFIHOS-40000099,electric motor cooling method,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-180,Cooling method,
CFIHOS-95000107,CFIHOS-30000805,alternating current motor,CFIHOS-40000099,electric motor cooling method,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-563,Cooling method,
CFIHOS-95000108,CFIHOS-30000805,alternating current motor,CFIHOS-40000099,electric motor cooling method,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-528,Cooling method,
CFIHOS-95000109,CFIHOS-30000805,alternating current motor,CFIHOS-40000739,elevation over mean sea level,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-118,Altitude,
CFIHOS-95000110,CFIHOS-30000805,alternating current motor,CFIHOS-40000739,elevation over mean sea level,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-118,Altitude,
CFIHOS-95000111,CFIHOS-30000805,alternating current motor,CFIHOS-40000739,elevation over mean sea level,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-450,Altitude,
CFIHOS-95000112,CFIHOS-30000805,alternating current motor,CFIHOS-40000739,elevation over mean sea level,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-445,Altitude,
CFIHOS-95000113,CFIHOS-30000805,alternating current motor,CFIHOS-40000739,elevation over mean sea level,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-20,Altitude,
CFIHOS-95000114,CFIHOS-30000805,alternating current motor,CFIHOS-40001376,environmental corrosiveness,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-111,Chemicals or corrosives,
CFIHOS-95000115,CFIHOS-30000805,alternating current motor,CFIHOS-40000944,environmental location,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-117,Location environment,
CFIHOS-95000116,CFIHOS-30000805,alternating current motor,CFIHOS-40000944,environmental location,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-117,Location environment,
CFIHOS-95000117,CFIHOS-30000805,alternating current motor,CFIHOS-40000944,environmental location,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-449,Location environment,
CFIHOS-95000118,CFIHOS-30000805,alternating current motor,CFIHOS-40000944,environmental location,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-444,Location environment,
CFIHOS-95000119,CFIHOS-30000805,alternating current motor,CFIHOS-40000944,environmental location,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-158,Floating/marine/shipboard,
CFIHOS-95000120,CFIHOS-30000805,alternating current motor,CFIHOS-40001333,explosion protected atmosphere,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-194,Motor to be rated for use in potentially explosive atmosphere,
CFIHOS-95000121,CFIHOS-30000805,alternating current motor,CFIHOS-40001333,explosion protected atmosphere,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-194,Motor to be rated for use in potentially explosive atmosphere,
CFIHOS-95000122,CFIHOS-30000805,alternating current motor,CFIHOS-40001333,explosion protected atmosphere,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-587,Explosion protected motor,
CFIHOS-95000123,CFIHOS-30000805,alternating current motor,CFIHOS-40001333,explosion protected atmosphere,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-552,Explosion protected motor,
CFIHOS-95000124,CFIHOS-30000805,alternating current motor,CFIHOS-40000108,explosion protection concept,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-199,Motor classification,
CFIHOS-95000125,CFIHOS-30000805,alternating current motor,CFIHOS-40000108,explosion protection concept,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-199,Motor classification,
CFIHOS-95000126,CFIHOS-30000805,alternating current motor,CFIHOS-40000108,explosion protection concept,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-592,Type of protection,
CFIHOS-95000127,CFIHOS-30000805,alternating current motor,CFIHOS-40000108,explosion protection concept,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-557,Type of protection,
CFIHOS-95000128,CFIHOS-30000805,alternating current motor,CFIHOS-40001361,explosion protection dust group,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-619,Dust group,
CFIHOS-95000129,CFIHOS-30000805,alternating current motor,CFIHOS-40001361,explosion protection dust group,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-581,Dust group,
CFIHOS-95000130,CFIHOS-30000805,alternating current motor,CFIHOS-40001361,explosion protection dust group,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-99(b),explosion protection dust group,
CFIHOS-95000131,CFIHOS-30000805,alternating current motor,CFIHOS-40000110,explosion protection gas group,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-197,Gas group,
CFIHOS-95000132,CFIHOS-30000805,alternating current motor,CFIHOS-40000110,explosion protection gas group,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-197,Gas group,
CFIHOS-95000133,CFIHOS-30000805,alternating current motor,CFIHOS-40000110,explosion protection gas group,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-590,Gas group,
CFIHOS-95000134,CFIHOS-30000805,alternating current motor,CFIHOS-40000110,explosion protection gas group,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-555,Gas group,
CFIHOS-95000135,CFIHOS-30000805,alternating current motor,CFIHOS-40000110,explosion protection gas group,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-99(a),explosion protection gas group,
CFIHOS-95000136,CFIHOS-30000805,alternating current motor,CFIHOS-40000111,explosion protection notified body,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-195,Hazardous area equipment certifying body,
CFIHOS-95000137,CFIHOS-30000805,alternating current motor,CFIHOS-40000111,explosion protection notified body,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-195,Hazardous area equipment certifying body,
CFIHOS-95000138,CFIHOS-30000805,alternating current motor,CFIHOS-40000111,explosion protection notified body,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-588,Hazardous area equipment certifying/notified body,
CFIHOS-95000139,CFIHOS-30000805,alternating current motor,CFIHOS-40000111,explosion protection notified body,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-553,Hazardous area equipment certifying/notified body,
CFIHOS-95000140,CFIHOS-30000805,alternating current motor,CFIHOS-40000112,explosion protection temperature class,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-196,Temperature group,
CFIHOS-95000141,CFIHOS-30000805,alternating current motor,CFIHOS-40000112,explosion protection temperature class,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-196,Temperature group,
CFIHOS-95000142,CFIHOS-30000805,alternating current motor,CFIHOS-40000112,explosion protection temperature class,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-589,Temperature class,
CFIHOS-95000143,CFIHOS-30000805,alternating current motor,CFIHOS-40000112,explosion protection temperature class,CFIHOS-90000111,IOGP S-704:2021,S704-DSE2-554,Temperature class,
CFIHOS-95000144,CFIHOS-30000805,alternating current motor,CFIHOS-40000112,explosion protection temperature class,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-98,Temperature group,
CFIHOS-95000145,CFIHOS-30000805,alternating current motor,CFIHOS-40000113,explosion protection zone,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-109,Hazardous area classification,
CFIHOS-95000146,CFIHOS-30000805,alternating current motor,CFIHOS-40000113,explosion protection zone,CFIHOS-90000318,IOGP S-733:2022,S733-DSE-165,UL 674 listing,
CFIHOS-95000147,CFIHOS-30000805,alternating current motor,CFIHOS-40000862,external axial loading on the motor shaft end,CFIHOS-90000068,IOGP S-703:2020,S703-DSE1-113,External axial loading on the motor shaft end,
CFIHOS-95000148,CFIHOS-30000805,alternating current motor,CFIHOS-40000862,external axial loading on the motor shaft end,CFIHOS-90000068,IOGP S-703:2020,S703-DSE2-113,External axial loading on the motor shaft end,
CFIHOS-95000149,CFIHOS-30000805,alternating current motor,CFIHOS-40000862,external axial loading on the motor shaft end,CFIHOS-90000111,IOGP S-704:2021,S704-DSE1-443,External axial loading on the motor shaft end,
