source standard document and data requirement CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,asset type reference,source standard CFIHOS unique code,source standard code,document type CFIHOS unique code,document type name
CFIHOS-68000531,CFIHOS-30000562,belt conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000532,CFIHOS-30000562,belt conveyor,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000533,CFIHOS-30000562,belt conveyor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000534,CFIHOS-30000562,belt conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000535,CFIHOS-30000518,blower,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000536,CFIHOS-30000522,centrifuge,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000537,CFIHOS-30000522,centrifuge,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual
CFIHOS-68000538,CFIHOS-30000522,centrifuge,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000539,CFIHOS-30000522,centrifuge,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000540,CFIHOS-30000522,centrifuge,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000541,CFIHOS-30000522,centrifuge,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000408,welding procedure specification
CFIHOS-68000542,CFIHOS-30000522,centrifuge,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000543,CFIHOS-30000385,condenser,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000544,CFIHOS-30000385,condenser,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000545,CFIHOS-30000385,condenser,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000287,pressure test report
CFIHOS-68000546,CFIHOS-30000385,condenser,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000547,CFIHOS-30000403,conductivity cell,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000548,CFIHOS-30000403,conductivity cell,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000549,CFIHOS-30000403,conductivity cell,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000550,CFIHOS-30000403,conductivity cell,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000551,CFIHOS-30000325,conductivity transmitter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000552,CFIHOS-30000325,conductivity transmitter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000553,CFIHOS-30000325,conductivity transmitter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000554,CFIHOS-30000564,conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000555,CFIHOS-30000564,conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000556,CFIHOS-30000564,conveyor,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000557,CFIHOS-30000564,conveyor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000558,CFIHOS-30000564,conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000559,CFIHOS-30000387,cooling tower,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000560,CFIHOS-30000387,cooling tower,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000181,installation manual
CFIHOS-68000561,CFIHOS-30000387,cooling tower,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual
CFIHOS-68000562,CFIHOS-30000387,cooling tower,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000563,CFIHOS-30000387,cooling tower,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000564,CFIHOS-30000387,cooling tower,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000565,CFIHOS-30000291,damper,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000566,CFIHOS-30000028,deionizer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000567,CFIHOS-30000028,deionizer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual
CFIHOS-68000568,CFIHOS-30000028,deionizer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000569,CFIHOS-30000028,deionizer,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000287,pressure test report
CFIHOS-68000570,CFIHOS-30000028,deionizer,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000571,CFIHOS-30000028,deionizer,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000572,CFIHOS-30000028,deionizer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000408,welding procedure specification
CFIHOS-68000573,CFIHOS-30000028,deionizer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000574,CFIHOS-30000573,demister,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000575,CFIHOS-30000418,differential pressure transmitter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000576,CFIHOS-30000418,differential pressure transmitter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000577,CFIHOS-30000418,differential pressure transmitter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000578,CFIHOS-30000388,drier,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000579,CFIHOS-30000388,drier,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual
CFIHOS-68000580,CFIHOS-30000388,drier,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000581,CFIHOS-30000388,drier,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000287,pressure test report
CFIHOS-68000582,CFIHOS-30000388,drier,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000583,CFIHOS-30000388,drier,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000211,safety datasheet
CFIHOS-68000584,CFIHOS-30000388,drier,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000585,CFIHOS-30000388,drier,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000408,welding procedure specification
CFIHOS-68000586,CFIHOS-30000388,drier,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000587,CFIHOS-30000038,eductor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000588,CFIHOS-30000038,eductor,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000589,CFIHOS-30000339,electric heater,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000590,CFIHOS-30000339,electric heater,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000591,CFIHOS-30000340,electric motor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000592,CFIHOS-30000343,electrical motor starter,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000017,assembly diagram
CFIHOS-68000593,CFIHOS-30000343,electrical motor starter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000594,CFIHOS-30000343,electrical motor starter,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000595,CFIHOS-30000343,electrical motor starter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000596,CFIHOS-30000574,electrostatic precipitator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000597,CFIHOS-30000574,electrostatic precipitator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000598,CFIHOS-30000574,electrostatic precipitator,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000599,CFIHOS-30000574,electrostatic precipitator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000408,welding procedure specification
CFIHOS-68000600,CFIHOS-30000042,exhaust,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000601,CFIHOS-30000042,exhaust,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000602,CFIHOS-30000043,expansion joint,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000603,CFIHOS-30000043,expansion joint,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000604,CFIHOS-30000044,eye bath,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000605,CFIHOS-30000044,eye bath,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000606,CFIHOS-30000532,fan,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000607,CFIHOS-30000575,filter,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000608,CFIHOS-30000575,filter,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000609,CFIHOS-30000049,fire damper,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000610,CFIHOS-30000053,fired heater,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000611,CFIHOS-30000053,fired heater,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000181,installation manual
CFIHOS-68000612,CFIHOS-30000053,fired heater,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual
CFIHOS-68000613,CFIHOS-30000053,fired heater,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000614,CFIHOS-30000053,fired heater,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000615,CFIHOS-30000053,fired heater,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000616,CFIHOS-30000428,flow gauge,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000617,CFIHOS-30000428,flow gauge,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000618,CFIHOS-30000428,flow gauge,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000619,CFIHOS-30000430,flow switch,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000620,CFIHOS-30000430,flow switch,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000621,CFIHOS-30000430,flow switch,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000622,CFIHOS-30000567,forklift truck,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000623,CFIHOS-30000567,forklift truck,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000624,CFIHOS-30000070,funnel,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000625,CFIHOS-30000070,funnel,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000626,CFIHOS-30000432,gas detector,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000627,CFIHOS-30000432,gas detector,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000628,CFIHOS-30000432,gas detector,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000629,CFIHOS-30000313,"health, safety and environment equipment class",Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000630,CFIHOS-30000313,"health, safety and environment equipment class",Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000631,CFIHOS-30000313,"health, safety and environment equipment class",Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000632,CFIHOS-30000313,"health, safety and environment equipment class",Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000633,CFIHOS-30000313,"health, safety and environment equipment class",Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000634,CFIHOS-30000390,heat exchanger,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000635,CFIHOS-30000390,heat exchanger,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000636,CFIHOS-30000390,heat exchanger,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000287,pressure test report
CFIHOS-68000637,CFIHOS-30000390,heat exchanger,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000638,CFIHOS-30000086,hose reel,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000639,CFIHOS-30000086,hose reel,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000640,CFIHOS-30000087,humidifier,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000641,CFIHOS-30000123,load cell,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000642,CFIHOS-30000123,load cell,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000643,CFIHOS-30000123,load cell,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000644,CFIHOS-30000127,manual call point,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000645,CFIHOS-30000127,manual call point,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000646,CFIHOS-30000128,manual control switch,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000647,CFIHOS-30000128,manual control switch,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000648,CFIHOS-30000543,mixer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000649,CFIHOS-30000543,mixer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000197,lessons learned report
CFIHOS-68000650,CFIHOS-30000543,mixer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000651,CFIHOS-30000543,mixer,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000652,CFIHOS-30000543,mixer,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000653,CFIHOS-30000543,mixer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000408,welding procedure specification
CFIHOS-68000654,CFIHOS-30000543,mixer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000655,CFIHOS-30000752,plate heat exchanger,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000656,CFIHOS-30000752,plate heat exchanger,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000657,CFIHOS-30000752,plate heat exchanger,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000287,pressure test report
CFIHOS-68000658,CFIHOS-30000752,plate heat exchanger,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000659,CFIHOS-30000454,pressure switch,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000660,CFIHOS-30000454,pressure switch,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000661,CFIHOS-30000454,pressure switch,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000662,CFIHOS-30000454,pressure switch,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000663,CFIHOS-30000586,process column,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000664,CFIHOS-30000586,process column,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000665,CFIHOS-30000586,process column,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000666,CFIHOS-30000586,process column,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000667,CFIHOS-30000586,process column,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000408,welding procedure specification
CFIHOS-68000668,CFIHOS-30000191,public address and alarm system,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000669,CFIHOS-30000191,public address and alarm system,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000670,CFIHOS-30000201,radiator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000671,CFIHOS-30000201,radiator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000672,CFIHOS-30000364,relay,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000673,CFIHOS-30000364,relay,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000674,CFIHOS-30000569,roller conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000675,CFIHOS-30000569,roller conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000676,CFIHOS-30000569,roller conveyor,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000677,CFIHOS-30000569,roller conveyor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000678,CFIHOS-30000569,roller conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000679,CFIHOS-30000466,rupture disc,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000680,CFIHOS-30000466,rupture disc,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000681,CFIHOS-30000513,safety shower,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000682,CFIHOS-30000513,safety shower,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000683,CFIHOS-30000226,screw conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000684,CFIHOS-30000226,screw conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000685,CFIHOS-30000226,screw conveyor,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000686,CFIHOS-30000226,screw conveyor,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000687,CFIHOS-30000226,screw conveyor,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000688,CFIHOS-30000755,shell and tube heat exchanger,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000689,CFIHOS-30000755,shell and tube heat exchanger,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000690,CFIHOS-30000755,shell and tube heat exchanger,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000287,pressure test report
CFIHOS-68000691,CFIHOS-30000755,shell and tube heat exchanger,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000692,CFIHOS-30000514,silencer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000693,CFIHOS-30000514,silencer,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000694,CFIHOS-30000470,smoke detector,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000695,CFIHOS-30000470,smoke detector,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000696,CFIHOS-30000244,sound attenuator,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000697,CFIHOS-30000505,steam trap,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000153,general arrangement diagram
CFIHOS-68000698,CFIHOS-30000505,steam trap,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000206,maintenance manual
CFIHOS-68000699,CFIHOS-30000505,steam trap,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000700,CFIHOS-30000505,steam trap,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000287,pressure test report
CFIHOS-68000701,CFIHOS-30000505,steam trap,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
CFIHOS-68000702,CFIHOS-30000505,steam trap,Model_Part,CFIHOS-90000177,CFIHOS,CFIHOS-70000374,spare part list
CFIHOS-68000703,CFIHOS-30000505,steam trap,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000408,welding procedure specification
CFIHOS-68000704,CFIHOS-30000505,steam trap,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000268,wiring diagram
CFIHOS-68000705,CFIHOS-30000506,strainer,Tag,CFIHOS-90000177,CFIHOS,CFIHOS-70000228,operating manual
CFIHOS-68000706,CFIHOS-30000506,strainer,Equipment,CFIHOS-90000177,CFIHOS,CFIHOS-70000079,regulatory compliance certificate
