CFIHOS unique code,coding source code,CFIHOS code equivalent value
CFIHOS-30000349,STEPLIB,251013
CFIHOS-30000349,ISO 15926 part4,2919
CFIHOS-30000349,POSC CAESAR,RDS14069935
CFIHOS-30000350,STEPLIB,251532
CFIHOS-30000350,ISO 15926 part4,2927
CFIHOS-30000350,POSC CAESAR,RDS987029
CFIHOS-30000351,STEPLIB,251185
CFIHOS-30000351,ISO 15926 part4,2992
CFIHOS-30000351,ISO 14224:2016,ER
CFIHOS-30000351,POSC CAESAR,RDS955664
CFIHOS-30000352,STEPLIB,250825
CFIHOS-30000352,ISO 15926 part4,2997
CFIHOS-30000352,POSC CAESAR,RDS7210603
CFIHOS-30000353,STEPLIB,250235
CFIHOS-30000353,ISO 15926 part4,3000
CFIHOS-30000353,POSC CAESAR,RDS869219
CFIHOS-30000354,STEPLIB,251310
CFIHOS-30000354,ISO 15926 part4,3007
CFIHOS-30000354,POSC CAESAR,RDS959759
CFIHOS-30000356,STEPLIB,251531
CFIHOS-30000356,ISO 15926 part4,3034
CFIHOS-30000356,POSC CAESAR,RDS986984
CFIHOS-30000357,STEPLIB,250243
CFIHOS-30000357,ISO 15926 part4,3035
CFIHOS-30000357,POSC CAESAR,RDS961244
CFIHOS-30000360,STEPLIB,250689
CFIHOS-30000360,ISO 15926 part4,3215
CFIHOS-30000360,ISO 14224:2016,PC
CFIHOS-30000360,POSC CAESAR,RDS5757040
CFIHOS-30000361,STEPLIB,250591
CFIHOS-30000361,ISO 15926 part4,3220
CFIHOS-30000361,POSC CAESAR,RDS860129
CFIHOS-30000362,STEPLIB,250334
CFIHOS-30000362,ISO 15926 part4,3221
CFIHOS-30000362,ISO 14224:2016,PT
CFIHOS-30000362,POSC CAESAR,RDS643994
CFIHOS-30000363,STEPLIB,251064
CFIHOS-30000363,ISO 15926 part4,3257
CFIHOS-30000363,POSC CAESAR,RDS478034
CFIHOS-30000364,ISO 15926 part4,3264
CFIHOS-30000364,STEPLIB,70359
CFIHOS-30000364,POSC CAESAR,RDS876194
CFIHOS-30000365,ISO 15926 part4,3366
CFIHOS-30000365,STEPLIB,71166
CFIHOS-30000365,POSC CAESAR,RDS5757130
CFIHOS-30000368,STEPLIB,251489
CFIHOS-30000368,ISO 15926 part4,3403
CFIHOS-30000368,POSC CAESAR,RDS965654
CFIHOS-30000369,STEPLIB,250417
CFIHOS-30000369,ISO 15926 part4,3466
CFIHOS-30000369,POSC CAESAR,RDS464129
CFIHOS-30000369,ISO 14224:2016,SG
CFIHOS-30000370,STEPLIB,251089
CFIHOS-30000370,ISO 15926 part4,3470
CFIHOS-30000370,POSC CAESAR,RDS464084
CFIHOS-30000370,ISO 14224:2016,SG
CFIHOS-30000371,ISO 15926 part4,3488
CFIHOS-30000371,POSC CAESAR,RDS5779644
CFIHOS-30000371,ISO 14224:2016,TC
CFIHOS-30000372,ISO 15926 part4,3491
CFIHOS-30000372,STEPLIB,70939
CFIHOS-30000373,ISO 15926 part4,3517
CFIHOS-30000373,POSC CAESAR,RDS964664
CFIHOS-30000374,STEPLIB,250714
CFIHOS-30000374,ISO 15926 part4,3528
CFIHOS-30000374,POSC CAESAR,RDS876014
CFIHOS-30000375,ISO 15926 part4,3556
CFIHOS-30000375,STEPLIB,70702
CFIHOS-30000375,POSC CAESAR,RDS6452934
CFIHOS-30000376,STEPLIB,252311
CFIHOS-30000376,ISO 15926 part4,3589
CFIHOS-30000376,POSC CAESAR,RDS874754
CFIHOS-30000376,ISO 14224:2016,UP
CFIHOS-30000377,STEPLIB,250481
CFIHOS-30000377,ISO 15926 part4,3599
CFIHOS-30000377,POSC CAESAR,RDS860444
CFIHOS-30000378,ISO 15926 part4,3607
CFIHOS-30000378,STEPLIB,70988
CFIHOS-30000378,POSC CAESAR,RDS6501999
CFIHOS-30000380,ISO 15926 part4,3629
CFIHOS-30000380,STEPLIB,70989
CFIHOS-30000380,POSC CAESAR,RDS6502104
CFIHOS-30000381,STEPLIB,250634
CFIHOS-30000381,ISO 15926 part4,3630
CFIHOS-30000381,POSC CAESAR,RDS873674
CFIHOS-30000382,STEPLIB,100355
CFIHOS-30000382,ISO 15926 part4,3688
CFIHOS-30000382,POSC CAESAR,RDS780950441
CFIHOS-30000383,STEPLIB,100006
CFIHOS-30000383,ISO 15926 part4,3689
CFIHOS-30000383,ISO 14224:2016,HEAC
CFIHOS-30000383,POSC CAESAR,RDS14072296
CFIHOS-30000384,STEPLIB,100012
CFIHOS-30000384,ISO 15926 part4,3703
CFIHOS-30000384,ISO 14224:2016,HBNF
CFIHOS-30000384,POSC CAESAR,RDS14058190
CFIHOS-30000385,ISO 15926 part4,3715
CFIHOS-30000385,POSC CAESAR,RDS297314
CFIHOS-30000386,STEPLIB,100028
CFIHOS-30000386,ISO 15926 part4,3716
CFIHOS-30000386,POSC CAESAR,RDS278774
CFIHOS-30000387,STEPLIB,100029
CFIHOS-30000387,ISO 15926 part4,3717
CFIHOS-30000387,POSC CAESAR,RDS14072341
CFIHOS-30000388,STEPLIB,100040
CFIHOS-30000388,ISO 15926 part4,3739
CFIHOS-30000388,POSC CAESAR,RDS1066939451
CFIHOS-30000389,ISO 15926 part4,3757
CFIHOS-30000389,STEPLIB,520970
CFIHOS-30000389,ISO 14224:2016,FI
CFIHOS-30000389,POSC CAESAR,RDS446129
CFIHOS-30000390,STEPLIB,100081
CFIHOS-30000390,ISO 15926 part4,3789
CFIHOS-30000390,ISO 14224:2016,HE
CFIHOS-30000390,POSC CAESAR,RDS304199
CFIHOS-30000391,STEPLIB,100268
CFIHOS-30000391,ISO 15926 part4,3800
CFIHOS-30000391,POSC CAESAR,RDS11016395
CFIHOS-30000395,ISO 15926 part4,4215
CFIHOS-30000395,POSC CAESAR,RDS819044
