parent equipment class name,equipment class CFIHOS unique code,equipment class name,equipment class definition,abstract class indicator,spare part information required indicator,equipment class existence reason description,equipment class synonym name
"health, safety and environment equipment class",CFIHOS-30000044,eye bath,A device used for cleaning your eyes.,no,yes,,
"health, safety and environment equipment class",CFIHOS-30000045,fall arrestor block,"A block fitted with a steel rope or web line, with an emergency locking retractor and an automatic retrieval mechanism  that is designed to offer protection to workers at heights.",no,yes,,
IT and telecom equipment,CFIHOS-30000046,fax machine,Machine capable of transmitting written input via telephone lines.,no,yes,,
infrastructure,CFIHOS-30000047,fence,Is an artefact intended to act as a barrier and boundary or means of protection or confinement.,no,no,,
"health, safety and environment equipment class",CFIHOS-30000048,fire blanket,"A type of cover made of a material which does not burn very easily, which you throw over a fire to put it out or stop it from spreading.",no,yes,,
damper,CFIHOS-30000049,fire damper,A closure intended for sealing off a duct in case of fire.,no,yes,,
other mechanical equipment,CFIHOS-30000050,fire door,A door capable of withstanding fire for a certain period of time and preventing fire from diverging.,no,yes,,
vehicle,CFIHOS-30000051,fire fighting vehicle,A fire fighting vehicle.,no,yes,,
"health, safety and environment equipment class",CFIHOS-30000052,fire hydrant,A device where hoses can be connected for drawing water for fire fighting.,no,yes,,
fired heat transfer equipment class,CFIHOS-30000053,fired heater,Is a fired heat transfer equipment intended to burn fuel and to transfer the heat of combustion to a liquid without vaporising the liquid.,no,yes,,
"health, safety and environment equipment class",CFIHOS-30000054,firewater monitor,The firewater discharge controller.,no,yes,,
"health, safety and environment equipment class",CFIHOS-30000055,first aid kit,A collection of functional equipment intended to be used for first aid service in case of emergency.,no,yes,,
piping and pipeline equipment,CFIHOS-30000056,flame arrestor,"An arrestor which is a trap over an opening, e.g. of a ventilation system or a pipe, to prevent flames from entering the system.",no,yes,,
control switch,CFIHOS-30000057,flame switch,A specially designed switch with connections for inputs from multiple flame detectors. The switch has a built in logic to determine the presence of a flame based on these inputs.,no,yes,,
fired heat transfer equipment class,CFIHOS-30000058,flare,A system that burns waste in an elevated flame in the open air.,no,yes,,
vessel,CFIHOS-30000059,flash drum,A tank or vessel in which a process stream is charged or pumped and where lighter products flash off or vaporize and are drawn off at the top. The remainder heavier fractions are drawn off at the bottom of the vessel.,no,yes,,
orifice plate,CFIHOS-30000063,flow orifice plate,An orifice plate which restrict the flow and thus develops the differential pressure that is proportional to the square of the flow rate.,no,yes,,
detector,CFIHOS-30000065,fog detector,A device capable of detecting droplets of water vapour suspended in the air near the ground.,no,yes,,meteorological sensor (visibility)
infrastructure,CFIHOS-30000067,foundation,Materials used to transfer loads to the ground and maintain structural stability.,no,no,,
analysing instrument,CFIHOS-30000068,freezing point analyser,An analyser intended to determine the freezing point of a liquid.,no,yes,,
piping and pipeline equipment,CFIHOS-30000070,funnel,A hollow cone with a tube extending from the smaller end and that is designed to catch and direct a downward flow.,no,yes,,
infrastructure,CFIHOS-30000071,furniture,"Is an artefact which is necessary, useful or desirable, especially for living or working but is not a tool for production.",no,no,,
other mechanical equipment,CFIHOS-30000072,fusible plug,A plug capable of being melted and fused.,no,yes,,
electrical isolator,CFIHOS-30000073,galvanic isolator,Galvanic isolation is the principle of isolating functional sections of electric systems so that charge-carrying particles cannot move from one section to another.,no,yes,,
analysing instrument,CFIHOS-30000074,gas composition analyser,An analyser which analyses the composition of gaseous mixture with two or more components.,no,yes,,
separator,CFIHOS-30000075,gas cyclone separator,A static device generating centrifugal force from an incoming flow which separates solid or liquids from a gas of a different density.,no,yes,,gascyclone separator
instrument equipment,CFIHOS-30000076,general instrument,A process instrument that records values represented by the input signal(s).,yes,no,,
other mechanical equipment,CFIHOS-30000077,grease injection unit,A system that injects grease for lubrication or sealing.,no,yes,,
heat exchanger,CFIHOS-30000078,grille,Is a framework of metal bars or wire which is placed in front of something. Often a terminal unit for delivering supply air to a room or for collecting extract air from a room.,no,yes,,
tool,CFIHOS-30000079,grinding machine,"An artefact which is intended to wear down, polish, or sharpen by the abrasive action of a high-speed grinding wheel or disc.",no,yes,,
piping and pipeline equipment,CFIHOS-30000080,guide post,An artefact which is an upstanding tapered shaft or rod fixed to a permanent guide base and intended to be used to guide equipment to the seabed.,no,yes,,
IT and telecom equipment,CFIHOS-30000081,hard disk,"An electromagnetic storage device, continuously available within a computer system.",no,yes,,
detector,CFIHOS-30000082,heat and smoke detector,A detector capable of detecting both heat and smoke.,no,yes,,
general instrument,CFIHOS-30000084,horn,An alarm device that makes a loud warning sound.,no,yes,,
other mechanical equipment,CFIHOS-30000085,hose,A tubular which is flexible and capable of conveying liquids under pressure.,no,yes,,
other mechanical equipment,CFIHOS-30000086,hose reel,A reel capable of holding a hose.,no,yes,,
electrical equipment class,CFIHOS-30000087,humidifier,Device used to increase the humidity in air by adding water under pressure as a spray into the air.,no,yes,,
analysing instrument,CFIHOS-30000088,humidity analyser,A meter intended to measure and indicate and/or produce a signal which represents the measured humidity.,no,yes,,
other mechanical equipment,CFIHOS-30000089,hydraulic connector,"An artefact for releasably connecting hydraulic fluid lines, having means for closing the fluid path when the connector is released.",no,yes,,
other mechanical equipment,CFIHOS-30000090,hydraulic power supply,An arrangement to supply hydraulic power according to specified levels and tolerances.,no,yes,,
piping and pipeline equipment,CFIHOS-30000094,ignitor,A device which is intended to initiate a spark that ignites a combustible mixture.,no,yes,,
infrastructure,CFIHOS-30000096,industrial building,"A building or area within a building that is used for activities associated with manufacturing, engineering works and maintenance and is not an office building.",no,no,,
class,CFIHOS-30000097,infrastructure,A basic physical and organizational structure or facilities (e.g. buildings and roads) needed for the operation of a site.,yes,no,,
class,CFIHOS-30000098,instrument equipment,"A physical object that detects an aspect of something; records, modifies and/or displays such an aspect or performs a combination of these activities.",yes,no,,instrumentation
IT and telecom equipment,CFIHOS-30000100,intercom,Is a communication system.,no,yes,,
class,CFIHOS-30000101,IT and telecom equipment,Technology and Infrastructure to manage electronic information handling.,yes,no,,
mixer,CFIHOS-30000102,agitator,A propeller like device with agitational or rotational movement located in a tank to prevent the content of the tank to build component segments.,no,yes,,
other mechanical equipment,CFIHOS-30000103,air balancing unit,An air balancing unit on a nodding donkey.,no,yes,,
other mechanical equipment,CFIHOS-30000104,air handling unit,An artefact intended for central conditioning and pressure increase of ventilation air.,no,yes,,
detecting element,CFIHOS-30000105,analyser element,Is an artefact intended to retrieve a material at a particular location and inserted into something so as to test its conditions.,no,yes,,
instrument equipment,CFIHOS-30000106,analysing instrument,A detecting instrument that is intended to analyse a substance for its composition and/or properties.,yes,no,,analyser instrument; analyser
IT and telecom equipment,CFIHOS-30000108,attenuator,"An attenuator is a telecommunication device that reduces the amplitude of a signal without appreciably distorting its waveform. Attenuators are usually passive devices. The degree of attenuation may be fixed, continuously adjustable, or incrementally adjustable.",no,yes,,
transmitter,CFIHOS-30000109,axial displacement transmitter,A transmitter measuring an axial displacement and generating a standardized output signal representing the axial measured displacement.,no,yes,,
damper,CFIHOS-30000110,balancing damper,Is a gas flow damper intended to adjust an air flow rate through a duct.,no,yes,,
infrastructure,CFIHOS-30000111,jetty,A loading and/or unloading system which is located in water deep enough for a ship to moor.,no,no,,wharf
tool,CFIHOS-30000112,lathe,"In woodturning, metalworking, metalspinning, and glassworking, a lathe is a machine tool which spins a block of material so that when abrasive, cutting, or deformation tools are applied to the block, it can be shaped to produce an object which has rotational symmetry about an axis of rotation.",no,yes,,
"health, safety and environment equipment class",CFIHOS-30000114,life buoy,An artefact for the rescue of personnel from an installation in the case of an emergency situation.,no,yes,,
"health, safety and environment equipment class",CFIHOS-30000115,life buoy light,A facility to give light when the life buoy is in the water.,no,yes,,
marine,CFIHOS-30000116,life raft,An artefact which is a raft for emergency situations.,no,yes,,
lifting device,CFIHOS-30000117,lifting beam,"Is a solid or fabricated metal or wooden beam, suspended from a hoist/crane or from a forklift, designed to provide multiple lifting points.",no,no,,
lifting device,CFIHOS-30000118,lifting cap,A lifting device also serving as a cover or protection.,no,no,,
piping and pipeline equipment,CFIHOS-30000119,line blind,A functional unit used to blind off a process stream.,no,no,,
analysing instrument,CFIHOS-30000120,liquid composition analyser,An analyser for liquid.,no,yes,,
detector,CFIHOS-30000121,liquid detector,A detector which is capable of detecting selected types of liquids.,no,yes,,
detecting element,CFIHOS-30000123,load cell,A transducer which produces a signal with a defined relationship to the force applied to it.,no,yes,,
other mechanical equipment,CFIHOS-30000124,logic cap,A retrievable and configurable device to route and re-route flow true the cap.,no,yes,,
mechanical equipment class,CFIHOS-30000125,louvre,An artefact which contains fins or vanes intended to control a flow of air. Typically also to separate water droplets from an air stream.,no,yes,,
level transmitter,CFIHOS-30000126,magnetic level transmitter,A level transmitter which uses a floater and magnetic contacts to measure and transmit level.,no,yes,,
"health, safety and environment equipment class",CFIHOS-30000127,manual call point,A manual call point is a device which enables personnel to raise an alarm in the event of a fire incident by pressing a frangible element to activate the alarm system.,no,yes,,
control switch,CFIHOS-30000128,manual control switch,A control switch that is operated by a person.,no,yes,Owner Operator RDL Alignment,hand switch
mechanical equipment class,CFIHOS-30000129,marine,A physical object that is related to the sea or sea transport.,yes,no,,
other mechanical equipment,CFIHOS-30000130,mast,Is a support (item).,no,yes,,
other mechanical equipment,CFIHOS-30000131,mechanical connector,An artefact which is a pipeline fitting used to create a rigid pressure containing joint in a pipeline or flowline.,no,yes,,
tool,CFIHOS-30000132,meter prover,An artefact for the calibration of flow meters.,no,yes,,
IT and telecom equipment,CFIHOS-30000133,microphone,"A microphone, sometimes called a mic (pronounced mike), is a device that converts sound into an electrical signal.",no,yes,,
class,CFIHOS-30000134,miscellaneous equipment,An equipment class that contains classes that not covered by any other parent class.,yes,no,,
IT and telecom equipment,CFIHOS-30000135,modem,"Short for modulator/demodulator. A communications device that converts one form of a signal to another that is suitable for transmission over communication circuits, typically from digital to analogue and then from analogue to digital.",no,yes,,
other mechanical equipment,CFIHOS-30000136,mounting bracket,Is a bracket intended to attach an item to another item.,no,yes,,
analysing instrument,CFIHOS-30000137,multi property analyser,An analyser giving as output a signal that represents more than one physical properties of the analysed substance.,no,yes,,
IT and telecom equipment,CFIHOS-30000138,multiplexer,Is an artefact intended for a number of input channels to share one output channel.,no,yes,,
IT and telecom equipment,CFIHOS-30000139,net oil computer,A very accurate flow meter used to record oil exports.,no,yes,,
infrastructure,CFIHOS-30000163,office building,Is a building intended to provide a working space for people and their resources.,no,no,,
IT and telecom equipment,CFIHOS-30000164,optical beacon,"A post or buoy placed over a shoal or bank to warn vessels, also a signal mark on land.",no,yes,,
IT and telecom equipment,CFIHOS-30000165,overhead projector,Equipment which projects an image on a screen by passing light through a transparent slide or other transparency.,no,yes,,
lifting device,CFIHOS-30000166,overhead runway beam,"Is a fixed assembly of rails or beams, girders, brackets and framework on which a movable or fixed hoisting mechanism travels.",no,no,,
other mechanical equipment,CFIHOS-30000168,package,An artefact which is a collection of artefacts to be managed as one for some purpose.,no,yes,,
other mechanical equipment,CFIHOS-30000169,padeye,A facility used to fasten lifting or movement equipment to the structure. A padeye have hole for a shackle.,no,no,,
IT and telecom equipment,CFIHOS-30000170,pager,One-way communications device in which the intended receiver is alerted to receive a message or return a phone call.,no,yes,,
IT and telecom equipment,CFIHOS-30000171,paging system,A system intended to contact people through a pager. It is pre-date mobile phone technology.,no,yes,,
lifting device,CFIHOS-30000172,personnel basket,A container that can be attached to a hook for lifting one or more people.,no,yes,,
corrosion element,CFIHOS-30000173,pH element,An element designed to measure pH (potential of Hydrogen).,no,yes,,
piping and pipeline equipment,CFIHOS-30000175,pig launcher,A pressure vessel intended for sending a pig into a pipeline.,no,yes,,
piping and pipeline equipment,CFIHOS-30000176,pig loop,A flowloop that allows a pipeline pig to move from one pipe to another.,no,no,,
piping and pipeline equipment,CFIHOS-30000177,pig receiver,A pressure vessel intended for receiving a pig from a pipeline.,no,yes,,
piping and pipeline equipment,CFIHOS-30000178,pig transmitter,A transmitter intended to detect a pig passage and transmit a signal representing the measured value.,no,yes,,
piping and pipeline equipment,CFIHOS-30000179,pig trap,A facility on a pipeline for inserting and retrieving a scraper or pig.,no,yes,,
tool,CFIHOS-30000180,pipe bending machine,An artefact which is intended for bending pipes.,no,yes,,
mechanical equipment class,CFIHOS-30000181,piping and pipeline equipment,A physical object used in or in connection with a piping system.,yes,no,,
piping and pipeline equipment,CFIHOS-30000182,piping spool,Is a piping assembly of piping components to be pre-fabricated as one item.,no,no,,
IT and telecom equipment,CFIHOS-30000184,positioning system,"A handheld or fixed device designed to identify and record the location of an object on the earth's surface. GPS, GALILEO, SYLEDIS, HYPERFIX, LORAN-C, DECCA etc. are all brands and working on different networks.",no,yes,,
flow element,CFIHOS-30000185,positive displacement flow element,Elements like impellers rotating by the pressure of the fluid  in a closed conduit to measure the flow of a liquid.,no,yes,,
electrical equipment class,CFIHOS-30000186,power stabiliser,A device that removes voltage spikes from an AC or DC electrical supply.,no,yes,,voltage regulator
IT and telecom equipment,CFIHOS-30000189,process data acquisition and control,"Is a facilty for measure & control, including the main plant computerized operational system, where all process, utility and off site activities are monitored. The system may be located in the main control room. (e.g. PLC Programmable logic controller, DCS distributed control system, ENMC Electrical Network Monitoring and Control system).",no,yes,,programmable logic controller; plc
IT and telecom equipment,CFIHOS-30000191,public address and alarm system,Is an alarm system.,no,yes,,
other mechanical equipment,CFIHOS-30000199,rack,A mechanical structure intended to receive a number of pieces of basically standardized modular equipment.,no,yes,,
level element,CFIHOS-30000200,radar level element,An element intended to determine a level based on high frequency electromagnetic waves.,no,yes,,
heat exchanger,CFIHOS-30000201,radiator,Is a heat exchanger which cools a fluid and heats the surrounding environment.,no,yes,,
vehicle,CFIHOS-30000202,radio caravan,A mobile radio communications centre.,no,yes,,
IT and telecom equipment,CFIHOS-30000203,radio transceiver,"A transceiver which has the methods of signalling through space, without connecting wires.",no,yes,,
IT and telecom equipment,CFIHOS-30000205,reader,Is a piece of hardware intended to read and decode information encoded on a carrier.,no,yes,,computer peripheral
analysing instrument,CFIHOS-30000206,redox analyser,An analyser intended to determine the oxidation and reduction capability of material.,no,yes,,
pressure transmitter,CFIHOS-30000208,relative pressure transmitter,A pressure transmitter where pressure is applied to one side of the sensor while the other side is open to atmosphere. The transmitter generate standardized output signal representing the measured value.,no,yes,,
electrical equipment class,CFIHOS-30000209,remote terminal unit,"A RTU, or Remote Terminal Unit is a device which interfaces objects in the physical world to a DCS or SCADA system by transmitting telemetry data to the system and/or altering the state of connected objects based on control messages received from the system.",no,yes,,rtu
infrastructure,CFIHOS-30000210,residential building,Assigned for living and accommodation.,no,no,,
infrastructure,CFIHOS-30000218,road,Is a civil item intended for vehicle traffic.,no,no,,
IT and telecom equipment,CFIHOS-30000221,router,A router is a computer networking device that forwards data packets toward their destinations through a process known as routing. Routing occurs at layer 3 (Network layer) of the OSI seven-layer model.,no,yes,,
electrical equipment class,CFIHOS-30000222,safety barrier,"Safety barriers are devices that limit the current, voltage, and total energy delivered to a sensor in a hazardous area or flammable environment in order to prevent an explosion.",no,no,,
analysing instrument,CFIHOS-30000224,sample loop component,A sample loop adds a predetermined volume to the process.,no,yes,,
IT and telecom equipment,CFIHOS-30000225,satellite communications terminal,A system that provides voice and telefax communication via satellites.,no,yes,,
conveyor,CFIHOS-30000226,screw conveyor,"Is a conveyer intended to move dry, solid material from one location to another by means of a helix or screw rotating in a cylindrical conduit.",no,yes,,
control switch,CFIHOS-30000227,selector switch,A manual control switch which has more then two possible positioning states.,no,yes,,
other mechanical equipment,CFIHOS-30000228,shale shaker,A vibrating screen for sifting out rock cuttings from drilling mud.,no,yes,,
mechanical equipment class,CFIHOS-30000230,other mechanical equipment,An equipment class that contains classes that normally are the responsibility of a department for mechanical engineering that are not covered by the mechanical equipment class.,yes,no,,
other mechanical equipment,CFIHOS-30000231,sheave,"A wheel which is grooved for use with vee-belts, ropes, round belts, wire or pipe.",no,yes,,
damper,CFIHOS-30000232,shut off damper,A damper intended for closing off parts of a ventilation system.,no,yes,,
miscellaneous equipment,CFIHOS-30000233,side pocket mandrel,A completion component that is used to house gas-lift valves and similar devices that require communication with the annulus.,no,yes,,
IT and telecom equipment,CFIHOS-30000235,signal splitter,"A device with one input and at least two outputs used for dividing a detectable transmitted energy (as a voltage, current, or  magnetic field strength) by which information can be transmitted.",no,yes,,
marine,CFIHOS-30000236,single buoy mooring,"A Single buoy mooring (SBM) or Single point mooring (SPM) is a loading buoy anchored offshore that serves as a mooring point and interconnect for tankers loading or offloading gas or fluid products. SBMs are the link between the geostatic subsea manifold connections and the weathervaning tanker. They are capable of handling any size ship, even very large crude carriers (VLCC) where no alternative facility is available.",no,yes,,
"health, safety and environment equipment class",CFIHOS-30000237,sink,A large basin with taps that supplies water.,no,yes,,
other mechanical equipment,CFIHOS-30000239,skimmer,Device which separates oil from water by mechanically wipe the oil of the water surface.,no,yes,,
lifting device,CFIHOS-30000240,snatch block,A block through which a rope can be reeved without access to an end.,no,yes,,
analysing instrument,CFIHOS-30000242,solid composition analyser,An analyser intended to determine a mixture of solid particles in liquids or solid or liquid droplets in air.,no,yes,,
detector,CFIHOS-30000243,sand detector,A detector intended to detect sand in a fluid.,no,yes,,
damper,CFIHOS-30000244,sound attenuator,A device decreasing noise in a HVAC system.,no,yes,,
analysing instrument,CFIHOS-30000245,sound pressure level analyser,A meter intended to measure a sound pressure level.,no,yes,,
piping and pipeline equipment,CFIHOS-30000246,spark arrestor,A device which removes incandescent particles from a gas stream. Spark arrestors are fitted to vehicles and stationary engines which are operated in potentially flammable atmospheres.,no,yes,,
tool,CFIHOS-30000247,special tool,A device that is made as a tool to be used for a special purpose.,no,yes,,
analysing instrument,CFIHOS-30000248,specific gravity analyser,An analyser intended to determine specific gravity's of materials. Typically of liquids.,no,yes,,
other mechanical equipment,CFIHOS-30000249,spreader bar,A beam that is used to spread ropes or slings when lifting.,no,yes,,
piping and pipeline equipment,CFIHOS-30000250,spring support,Is a support (item) intended to carry the load of piping components.,no,no,,
other mechanical equipment,CFIHOS-30000251,stack,Is a support structure intended to support a flare or vent pipe.,no,yes,,
other mechanical equipment,CFIHOS-30000253,stroke length adjuster,A mechanical device capable of reducing the stroke length of a pump.,no,yes,,
mechanical equipment class,CFIHOS-30000254,sump,Is an artefact intended to collect a heavy phase by making use of gravity.,no,yes,,pit
other mechanical equipment,CFIHOS-30000255,swivel joint,An artefact joining two parts so that one or both can pivot freely (as on a bolt or pin).,no,yes,,
IT and telecom equipment,CFIHOS-30000257,tape drive,A device that transfer data between a computer and a magnetic tape.,no,yes,,
instrument equipment,CFIHOS-30000258,temperature instrument,"A physical object that detects temperatures; records, modifies and/or displays or performs a combination of these activities.",no,yes,,
flow element,CFIHOS-30000259,thermal flow element,An element which uses the principle of thermal conductivity to measure volume flow rate.,no,yes,,
flow transmitter,CFIHOS-30000260,thermal flow transmitter,A velocity flow meter which uses the principle of thermal conductivity to measure volume flow rate.,no,yes,,
class,CFIHOS-30000261,tool,"A device that is a mechanical implement for working upon something, as by cutting, striking, rubbing or other processes, in any manual art or industry; usually, one held in and operated by the hand (or fixed in position, as in a lath), but also including certain simple machines, as the lathe; sometimes extended to simple instruments of other kinds.",yes,no,,
vehicle,CFIHOS-30000263,trailer,Is a vehicle which is nonautomotive and is designed to be hauled by road.,no,yes,,
flow transmitter,CFIHOS-30000264,turbine flow transmitter,A transmitter specially designed to convert the signal in a turbine meter into a standardized output signal.,no,yes,,
flow transmitter,CFIHOS-30000265,ultrasonic flow transmitter,A flow transmitter providing electrical outputs that are proportional to the flow inputs from an ultrasonic flow meter.,no,yes,,
level element,CFIHOS-30000266,ultrasonic level element,An element intended to determine a level based on  ultrasonic sound waves.,no,yes,,
miscellaneous equipment,CFIHOS-30000267,umbilical,"An assembly of hydraulic hoses which can also include electrical cables or optic fibres, used to control a sub sea structure or remote operated vehicle from a platform or a vessel.",no,yes,,
electrical equipment class,CFIHOS-30000268,UV sterilizer,Is a sterilizer intended to make use of ultraviolet light.,no,yes,,
analysing instrument,CFIHOS-30000271,vapour pressure analyser,An analyser intended to determine a vapor pressure.,no,yes,,
control switch,CFIHOS-30000273,vibration switch,A switch intended to give a on/off signal when vibration level have reached a pre-set value.,no,yes,,vibrating fork level switch
IT and telecom equipment,CFIHOS-30000274,video converter,A signal converter intended to convert one video signal type to another video signal type.,no,yes,,
IT and telecom equipment,CFIHOS-30000275,video monitor,A facility with the capability of receiving  video signals and displaying pictures.,no,yes,,
transmitter,CFIHOS-30000276,voltage transmitter,A transmitter which output is relative to a measured voltage.,no,yes,,
flow transmitter,CFIHOS-30000277,vortex flow transmitter,A transmitter specially designed to convert the signal in a vortex flow meter into a standardized output signal.,no,yes,,
other mechanical equipment,CFIHOS-30000278,waste compactor,A compactor is a machine or mechanism used to reduce the size of waste material.,no,yes,,
heat exchanger,CFIHOS-30000279,water cooler,A water cooler is a device that cools and dispenses water.,no,yes,,
other mechanical equipment,CFIHOS-30000280,water desalination system,Is a fresh water system.,no,yes,,
other mechanical equipment,CFIHOS-30000281,water maker,"A device for producing drinking water, but not necessarily by reverse osmosis.",no,yes,,
miscellaneous equipment,CFIHOS-30000283,well,A well is a collection of (zero or more) holes drilled into the Earth for the purpose of either (1) finding or producing underground resources; or (2) providing services related to the production of underground resources.,no,yes,,
miscellaneous equipment,CFIHOS-30000284,wellhead,"The wellhead is assembled from, or incorporates facilities for, the upper casing and tubing hangers. This effectively provides the upper termination of the wellbore and provides a mounting position for the surface flow-control equipment or Christmas tree.",no,yes,,
lifting device,CFIHOS-30000285,winch,"A powerful machine with one or more drums on which to coil a rope, cable, or chain for hauling or hoisting.",no,yes,,
detector,CFIHOS-30000286,anemometer,"A detecting instrument for recording wind speed, and possibly wind direction.",no,yes,,wind meter
lifting device,CFIHOS-30000287,wire hoist,"A hoist utilizing a wire-rope for suspending load. Wire hoists are normally electrically powered, but also (hand) lever types exists.",no,yes,,
other mechanical equipment,CFIHOS-30000288,wire line unit,Is a well services facility intended to handle wire lines.,no,yes,,
lifting device,CFIHOS-30000289,wire sling,A sling for enclosing material to be hoisted by a tackle or crane made by wire.,no,yes,,
IT and telecom equipment,CFIHOS-30000290,wireless access point,"A wireless access point (WAP) is a device that allows wired communication devices to connect to a wireless network using Wi-Fi, Bluetooth or related standards. The WAP usually connects to a router, and can relay data between the wireless devices (such as computers or printers) and wired devices on the network.",no,yes,,
mechanical equipment class,CFIHOS-30000291,damper,"A device that damps, typically a valve or plate (as in the flue of a furnace) for regulating the draft, or a device to stop vibration, typically a shock absorber or snubber.",yes,no,,
instrument equipment,CFIHOS-30000292,indicating instrument,A device which gives a visual indication of a measured value.,no,yes,,indicator
control valve,CFIHOS-30000294,down hole safety valve,A valve that is intended for subsurface control/check operation.,no,no,"BP, Chevron & Shell Tagging Specification",subsurface safety valve
pressure relief device,CFIHOS-30000295,relief valve,A self operating valve that is set to open at a certain pressure level to prevent the pressure in a container or system from reaching unsafe levels.,no,yes,,
infrastructure,CFIHOS-30000297,basin,A container intended to store liquid or solid material partly or totally below grade and that is typically open.,no,no,,
lifting device,CFIHOS-30000298,basket,A container that has a characteristic shape and that is made of material with an open structure.,no,yes,,
other mechanical equipment,CFIHOS-30000299,cap,A physical object that is a hood or covering for the top or end of something.,no,no,,
