tag class CFIHOS unique code,tag class name,equipment class CFIHOS unique code,equipment class name,tag or equipment class relationship reason for mapping
CFIHOS-30000008,caisson,CFIHOS-30000008,caisson,
CFIHOS-30000742,calorimeter,CFIHOS-30000742,calorimeter,
CFIHOS-30000961,camera port,CFIHOS-30000961,camera port,
CFIHOS-30000299,cap,CFIHOS-30000299,cap,
CFIHOS-30000010,capacitance level transmitter,CFIHOS-30000010,capacitance level transmitter,
CFIHOS-30000400,capacitance probe,CFIHOS-30000400,capacitance probe,
CFIHOS-30000733,capacitor,CFIHOS-30000733,capacitor,
CFIHOS-30000322,capacitor bank,CFIHOS-30000322,capacitor bank,
CFIHOS-30000011,car,CFIHOS-30000011,car,
CFIHOS-30000730,cathodic protection system,CFIHOS-30000317,anode,
CFIHOS-30000012,cctv camera,CFIHOS-30000012,cctv camera,
CFIHOS-30000962,ceiling,CFIHOS-30000962,ceiling,
CFIHOS-30000963,cell,CFIHOS-30000963,cell,
CFIHOS-30000520,centrifugal compressor,CFIHOS-30000520,centrifugal compressor,
CFIHOS-30000521,centrifugal pump,CFIHOS-30000521,centrifugal pump,
CFIHOS-30000522,centrifuge,CFIHOS-30000522,centrifuge,
CFIHOS-30000596,chain,CFIHOS-30000596,chain,
CFIHOS-30000563,chain conveyor,CFIHOS-30000563,chain conveyor,
CFIHOS-30000013,chain hoist,CFIHOS-30000013,chain hoist,
CFIHOS-30000300,chamber,CFIHOS-30000300,chamber,
CFIHOS-30000636,check valve,CFIHOS-30000857,piston check valve,
CFIHOS-30000636,check valve,CFIHOS-30000873,swing check valve,
CFIHOS-30000636,check valve,CFIHOS-30000876,wafer check valve,
CFIHOS-30000706,chemical injection unit,CFIHOS-30000706,chemical injection unit,
CFIHOS-30000014,chimney,CFIHOS-30000014,chimney,
CFIHOS-30000811,choke control valve,CFIHOS-30000811,choke control valve,
CFIHOS-30000812,choke valve,CFIHOS-30000812,choke valve,
CFIHOS-30000494,christmas tree,CFIHOS-30000494,christmas tree,
CFIHOS-30000323,circuit-breaker,CFIHOS-30000803,air circuit-breaker,
CFIHOS-30000323,circuit-breaker,CFIHOS-30000836,gas-blast circuit-breaker,
CFIHOS-30000323,circuit-breaker,CFIHOS-30000854,oil circuit-breaker,
CFIHOS-30000323,circuit-breaker,CFIHOS-30000874,vacuum circuit-breaker,
CFIHOS-30000964,cladding,CFIHOS-30000964,cladding,
CFIHOS-30000016,clamp,CFIHOS-30000016,clamp,
CFIHOS-30000017,cleaning machine,CFIHOS-30000017,cleaning machine,
CFIHOS-30000018,climbing net,CFIHOS-30000018,climbing net,
CFIHOS-30000324,clock,CFIHOS-30000324,clock,
CFIHOS-30000401,cloud point analyser,CFIHOS-30000401,cloud point analyser,
CFIHOS-30000523,clutch,CFIHOS-30000523,clutch,
CFIHOS-30000572,coalescer,CFIHOS-30000572,coalescer,
CFIHOS-30000019,cold filter plugging point analyser,CFIHOS-30000019,cold filter plugging point analyser,
CFIHOS-30000741,cold storage unit,CFIHOS-30000741,cold storage unit,
CFIHOS-30000965,column,CFIHOS-30000965,column,
CFIHOS-30000613,compass,CFIHOS-30000613,compass,
CFIHOS-30000637,compensator,CFIHOS-30000637,compensator,
CFIHOS-30000524,compressor,CFIHOS-30000516,axial compressor,
CFIHOS-30000524,compressor,CFIHOS-30000520,centrifugal compressor,
CFIHOS-30000524,compressor,CFIHOS-30000551,reciprocating compressor,
CFIHOS-30000524,compressor,CFIHOS-30000552,rotary compressor,
CFIHOS-30000402,computer,CFIHOS-30000402,computer,
CFIHOS-30000021,concentration transmitter,CFIHOS-30000021,concentration transmitter,
CFIHOS-30000385,condenser,CFIHOS-30000385,condenser,
CFIHOS-30000403,conductivity cell,CFIHOS-30000403,conductivity cell,
CFIHOS-30000404,conductivity level transmitter,CFIHOS-30000404,conductivity level transmitter,
CFIHOS-30000325,conductivity transmitter,CFIHOS-30000325,conductivity transmitter,
CFIHOS-30000882,constant volume regulator,CFIHOS-30000882,constant volume regulator,
CFIHOS-30000326,contactor,CFIHOS-30000326,contactor,
CFIHOS-30000814,contactor column,CFIHOS-30000814,contactor column,
CFIHOS-30000939,container,CFIHOS-30000939,container,
CFIHOS-30000405,control box,CFIHOS-30000405,control box,
CFIHOS-30000022,control module,CFIHOS-30000022,control module,
CFIHOS-30000327,control panel,CFIHOS-30000327,control panel,
CFIHOS-30000638,control valve,CFIHOS-30000806,ball control valve,
CFIHOS-30000638,control valve,CFIHOS-30000809,butterfly control valve,
CFIHOS-30000638,control valve,CFIHOS-30000811,choke control valve,
CFIHOS-30000638,control valve,CFIHOS-30000817,diaphragm control valve,
CFIHOS-30000638,control valve,CFIHOS-30000824,eccentric rotating disc control valve,
CFIHOS-30000638,control valve,CFIHOS-30000837,gate control valve,
CFIHOS-30000638,control valve,CFIHOS-30000839,globe control valve,
CFIHOS-30000638,control valve,CFIHOS-30000851,needle control valve,
CFIHOS-30000638,control valve,CFIHOS-30000859,plug control valve,
CFIHOS-30000638,control valve,CFIHOS-30000865,slide control valve,
CFIHOS-30000666,controller,CFIHOS-30000434,hydraulic controller,
CFIHOS-30000666,controller,CFIHOS-30000444,pneumatic controller,
CFIHOS-30000815,conventional relief valve,CFIHOS-30000815,conventional relief valve,
CFIHOS-30000386,cooler,CFIHOS-30000386,cooler,
CFIHOS-30000883,cooling coil,CFIHOS-30000883,cooling coil,
CFIHOS-30000387,cooling tower,CFIHOS-30000387,cooling tower,
CFIHOS-30000023,coriolis mass flow element,CFIHOS-30000023,coriolis mass flow element,
CFIHOS-30000406,coriolis mass flow meter,CFIHOS-30000406,coriolis mass flow meter,
CFIHOS-30000966,corridor,CFIHOS-30000966,corridor,
CFIHOS-30000408,corrosion element,CFIHOS-30000844,linear polarization resistance element,
CFIHOS-30000408,corrosion element,CFIHOS-30000855,oxidation reduction potential element,
CFIHOS-30000407,corrosion meter,CFIHOS-30000407,corrosion meter,
CFIHOS-30000751,corrosion transmitter,CFIHOS-30000751,corrosion transmitter,
CFIHOS-30000409,counter,CFIHOS-30000409,counter,
CFIHOS-30000419,coupling,CFIHOS-30000419,coupling,
CFIHOS-30000597,crane,CFIHOS-30000597,crane,
CFIHOS-30000024,crane hook block,CFIHOS-30000024,crane hook block,
CFIHOS-30000940,crusher,CFIHOS-30000940,crusher,
CFIHOS-30000884,culvert,CFIHOS-30000907,outfall,
CFIHOS-30000410,current to current converter,CFIHOS-30000410,current to current converter,
CFIHOS-30000411,current to pressure converter,CFIHOS-30000411,current to pressure converter,
CFIHOS-30000412,current to voltage converter,CFIHOS-30000412,current to voltage converter,
CFIHOS-30000745,current transformer,CFIHOS-30000745,current transformer,
CFIHOS-30000329,current transmitter,CFIHOS-30000329,current transmitter,
CFIHOS-30000565,cutter,CFIHOS-30000565,cutter,
CFIHOS-30000885,davit,CFIHOS-30000885,davit,
CFIHOS-30000614,defibrillator,CFIHOS-30000614,defibrillator,
CFIHOS-30000026,degasser,CFIHOS-30000026,degasser,
CFIHOS-30000027,dehumidifier,CFIHOS-30000382,air conditioner,
CFIHOS-30000028,deionizer,CFIHOS-30000028,deionizer,
CFIHOS-30000639,deluge valve,CFIHOS-30000639,deluge valve,
CFIHOS-30000573,demister,CFIHOS-30000573,demister,
CFIHOS-30000413,density analyser,CFIHOS-30000413,density analyser,
CFIHOS-30000886,descent device,CFIHOS-30000886,descent device,
CFIHOS-30000414,dew point analyser,CFIHOS-30000414,dew point analyser,
CFIHOS-30000029,dew point transmitter,CFIHOS-30000029,dew point transmitter,
CFIHOS-30000817,diaphragm control valve,CFIHOS-30000817,diaphragm control valve,
CFIHOS-30000030,diaphragm seal,CFIHOS-30000030,diaphragm seal,
CFIHOS-30001015,diaphragm tank,CFIHOS-30001015,diaphragm tank,Required by owner-operators
CFIHOS-30000818,diaphragm valve,CFIHOS-30000818,diaphragm valve,
CFIHOS-30000527,diesel engine,CFIHOS-30000527,diesel engine,
CFIHOS-30000415,differential pressure gauge,CFIHOS-30000415,differential pressure gauge,
CFIHOS-30000416,differential pressure level transmitter,CFIHOS-30000416,differential pressure level transmitter,
CFIHOS-30000417,differential pressure switch,CFIHOS-30000417,differential pressure switch,
CFIHOS-30000418,differential pressure transmitter,CFIHOS-30000418,differential pressure transmitter,
CFIHOS-30000528,diffuser,CFIHOS-30000528,diffuser,
CFIHOS-30001016,direct contact heat exchanger,CFIHOS-30001016,direct contact heat exchanger,Required by owner-operators
CFIHOS-30000819,direct current generator,CFIHOS-30000819,direct current generator,
CFIHOS-30000820,direct current motor,CFIHOS-30000820,direct current motor,
CFIHOS-30000034,displacer level transmitter,CFIHOS-30000034,displacer level transmitter,
CFIHOS-30000035,distillation analyser,CFIHOS-30000035,distillation analyser,
CFIHOS-30000821,distillation column,CFIHOS-30000821,distillation column,
CFIHOS-30000330,distribution board,CFIHOS-30000330,distribution board,
CFIHOS-30000615,diverter,CFIHOS-30000615,diverter,
CFIHOS-30000036,document scanner,CFIHOS-30000036,document scanner,
CFIHOS-30000301,door,CFIHOS-30000301,door,
CFIHOS-30000822,double block and bleed valve,CFIHOS-30000822,double block and bleed valve,
CFIHOS-30001017,double pipe heat exchanger,CFIHOS-30001017,double pipe heat exchanger,Required by owner-operators
CFIHOS-30000294,down hole safety valve,CFIHOS-30000294,down hole safety valve,
CFIHOS-30000887,drain port,CFIHOS-30000887,drain port,
CFIHOS-30000888,drain pot,CFIHOS-30000888,drain pot,
CFIHOS-30000388,drier,CFIHOS-30000388,drier,
CFIHOS-30000037,drilling machine,CFIHOS-30000037,drilling machine,
CFIHOS-30000669,drilling standpipe,CFIHOS-30000496,pipe,
CFIHOS-30000823,dry transformer,CFIHOS-30000823,dry transformer,
CFIHOS-30000967,duct,CFIHOS-30000967,duct,
CFIHOS-30000686,dust detector,CFIHOS-30000686,dust detector,
CFIHOS-30000331,earth busbar,CFIHOS-30000331,earth busbar,
CFIHOS-30000332,earth electrode,CFIHOS-30000332,earth electrode,
CFIHOS-30000333,earth leakage detector,CFIHOS-30000333,earth leakage detector,
CFIHOS-30000334,earth plate,CFIHOS-30000334,earth plate,
CFIHOS-30000335,earthing boss,CFIHOS-30000335,earthing boss,
CFIHOS-30000508,earthing resistor,CFIHOS-30000508,earthing resistor,
CFIHOS-30000824,eccentric rotating disc control valve,CFIHOS-30000824,eccentric rotating disc control valve,
CFIHOS-30000825,eccentric rotating disc valve,CFIHOS-30000825,eccentric rotating disc valve,
CFIHOS-30000038,eductor,CFIHOS-30000038,eductor,
CFIHOS-30000336,electric actuator,CFIHOS-30000336,electric actuator,
CFIHOS-30000337,electric battery,CFIHOS-30000337,electric battery,
CFIHOS-30000338,electric generator,CFIHOS-30000804,alternating current generator,
CFIHOS-30000338,electric generator,CFIHOS-30000819,direct current generator,
CFIHOS-30000338,electric generator,CFIHOS-30000338,electric generator,
CFIHOS-30000339,electric heater,CFIHOS-30000339,electric heater,
CFIHOS-30000340,electric motor,CFIHOS-30000805,alternating current motor,
CFIHOS-30000340,electric motor,CFIHOS-30000820,direct current motor,
CFIHOS-30000826,electric piping purge unit,CFIHOS-30000826,electric piping purge unit,
CFIHOS-30000734,electrical connector,CFIHOS-30000801,adaptor connector,
CFIHOS-30000734,electrical connector,CFIHOS-30000734,electrical connector,
CFIHOS-30000734,electrical connector,CFIHOS-30000870,submersible connector,
CFIHOS-30000889,electrical control panel,CFIHOS-30000889,electrical control panel,
CFIHOS-30000889,electrical control panel,CFIHOS-30000735,electrical distribution unit,
CFIHOS-30000735,electrical distribution unit,CFIHOS-30000735,electrical distribution unit,
CFIHOS-30000727,electrical isolator,CFIHOS-30000727,electrical isolator,
CFIHOS-30000343,electrical motor starter,CFIHOS-30000343,electrical motor starter,
CFIHOS-30000616,electrical reactor,CFIHOS-30000616,electrical reactor,
CFIHOS-30000344,electrical socket,CFIHOS-30000344,electrical socket,
CFIHOS-30000617,electrical switch,CFIHOS-30000617,electrical switch,
CFIHOS-30000040,electromagnetic flow element,CFIHOS-30000040,electromagnetic flow element,
CFIHOS-30000641,electronic circuit board,CFIHOS-30000641,electronic circuit board,
CFIHOS-30000421,electronic controller,CFIHOS-30000421,electronic controller,
CFIHOS-30000345,electronic frequency converter,CFIHOS-30000345,electronic frequency converter,
CFIHOS-30000346,electronic power inverter,CFIHOS-30000346,electronic power inverter,
CFIHOS-30000574,electrostatic precipitator,CFIHOS-30000574,electrostatic precipitator,
CFIHOS-30000598,elevator,CFIHOS-30000598,elevator,
CFIHOS-30000890,emergency grab bag,CFIHOS-30000890,emergency grab bag,
CFIHOS-30000618,emergency position indicating radio beacon,CFIHOS-30000618,emergency position indicating radio beacon,
CFIHOS-30000642,emergency shut down valve,CFIHOS-30000806,ball control valve,
CFIHOS-30000642,emergency shut down valve,CFIHOS-30000809,butterfly control valve,
CFIHOS-30000642,emergency shut down valve,CFIHOS-30000837,gate control valve,
CFIHOS-30000642,emergency shut down valve,CFIHOS-30000681,solenoid valve,
CFIHOS-30000683,engine,CFIHOS-30000527,diesel engine,
CFIHOS-30000683,engine,CFIHOS-30000533,gas engine,
CFIHOS-30000683,engine,CFIHOS-30000544,petrol engine,
CFIHOS-30000968,envelope opening,CFIHOS-30000968,envelope opening,
CFIHOS-30000969,envelope wall,CFIHOS-30000969,envelope wall,
CFIHOS-30000970,equipment room,CFIHOS-30000970,equipment room,
CFIHOS-30000891,evaporator,CFIHOS-30000891,evaporator,
CFIHOS-30000042,exhaust,CFIHOS-30000042,exhaust,
CFIHOS-30000892,expansion device,CFIHOS-30000892,expansion device,
CFIHOS-30000043,expansion joint,CFIHOS-30000043,expansion joint,
CFIHOS-30000531,extruder,CFIHOS-30000531,extruder,
CFIHOS-30000044,eye bath,CFIHOS-30000044,eye bath,
CFIHOS-30001009,eye wash bottle,CFIHOS-30001009,eye wash bottle,
CFIHOS-30000045,fall arrestor block,CFIHOS-30000045,fall arrestor block,
CFIHOS-30000532,fan,CFIHOS-30000532,fan,
CFIHOS-30000046,fax machine,CFIHOS-30000046,fax machine,
CFIHOS-30000566,feeder,CFIHOS-30000566,feeder,
CFIHOS-30000047,fence,CFIHOS-30000047,fence,
CFIHOS-30000599,fender,CFIHOS-30000599,fender,
CFIHOS-30000575,filter,CFIHOS-30000575,filter,
CFIHOS-30000576,filter cartridge,CFIHOS-30000576,filter cartridge,
CFIHOS-30000827,finned tube heat exchanger,CFIHOS-30000827,finned tube heat exchanger,
CFIHOS-30000048,fire blanket,CFIHOS-30000048,fire blanket,
CFIHOS-30000049,fire damper,CFIHOS-30000049,fire damper,
CFIHOS-30000050,fire door,CFIHOS-30000050,fire door,
CFIHOS-30000512,fire extinguisher,CFIHOS-30000512,fire extinguisher,
CFIHOS-30000512,fire extinguisher,CFIHOS-30000931,twin agent skid,
CFIHOS-30000512,fire extinguisher,CFIHOS-30000934,water mist skid,
CFIHOS-30000051,fire fighting vehicle,CFIHOS-30000051,fire fighting vehicle,
CFIHOS-30000052,fire hydrant,CFIHOS-30000052,fire hydrant,
CFIHOS-30000619,fire wall,CFIHOS-30000619,fire wall,
CFIHOS-30000053,fired heater,CFIHOS-30000053,fired heater,
CFIHOS-30000054,firewater monitor,CFIHOS-30000054,firewater monitor,
CFIHOS-30000055,first aid kit,CFIHOS-30000055,first aid kit,
CFIHOS-30000893,fitness equipment,CFIHOS-30000893,fitness equipment,
CFIHOS-30000971,fixture,CFIHOS-30000971,fixture,
CFIHOS-30000056,flame arrestor,CFIHOS-30000056,flame arrestor,
CFIHOS-30000425,flame detector,CFIHOS-30000425,flame detector,
CFIHOS-30000057,flame switch,CFIHOS-30000057,flame switch,
CFIHOS-30000304,flange,CFIHOS-30000304,flange,
CFIHOS-30000058,flare,CFIHOS-30000058,flare,
CFIHOS-30000389,flare tip,CFIHOS-30000389,flare tip,
CFIHOS-30000059,flash drum,CFIHOS-30000059,flash drum,
CFIHOS-30000426,flash point analyser,CFIHOS-30000426,flash point analyser,
CFIHOS-30000828,flexible riser,CFIHOS-30000828,flexible riser,
CFIHOS-30000347,floodlight,CFIHOS-30000347,floodlight,
CFIHOS-30000972,floor,CFIHOS-30000972,floor,
CFIHOS-30000748,flow computer,CFIHOS-30000748,flow computer,
CFIHOS-30000671,flow element,CFIHOS-30000023,coriolis mass flow element,
CFIHOS-30000671,flow element,CFIHOS-30000040,electromagnetic flow element,
CFIHOS-30000671,flow element,CFIHOS-30000858,pitot tube flow meter,
CFIHOS-30000671,flow element,CFIHOS-30000185,positive displacement flow element,
CFIHOS-30000671,flow element,CFIHOS-30000259,thermal flow element,
CFIHOS-30000671,flow element,CFIHOS-30000482,turbine flow meter,
CFIHOS-30000671,flow element,CFIHOS-30000486,venturi tube,
CFIHOS-30000428,flow gauge,CFIHOS-30000428,flow gauge,
CFIHOS-30000063,flow orifice plate,CFIHOS-30000063,flow orifice plate,
CFIHOS-30000429,flow regulator,CFIHOS-30000429,flow regulator,
CFIHOS-30000430,flow switch,CFIHOS-30000430,flow switch,
CFIHOS-30000662,flow totalizer,CFIHOS-30000662,flow totalizer,
CFIHOS-30000643,flow transmitter,CFIHOS-30000406,coriolis mass flow meter,
CFIHOS-30000643,flow transmitter,CFIHOS-30000031,differential pressure flow transmitter,
CFIHOS-30000643,flow transmitter,CFIHOS-30000420,electromagnetic flow transmitter,
CFIHOS-30000643,flow transmitter,CFIHOS-30000450,positive displacement flow transmitter,
CFIHOS-30000643,flow transmitter,CFIHOS-30000465,rotameter flow meter,
CFIHOS-30000643,flow transmitter,CFIHOS-30000260,thermal flow transmitter,
CFIHOS-30000643,flow transmitter,CFIHOS-30000482,turbine flow meter,
CFIHOS-30000643,flow transmitter,CFIHOS-30000264,turbine flow transmitter,
CFIHOS-30000643,flow transmitter,CFIHOS-30000483,ultrasonic flow meter,
CFIHOS-30000643,flow transmitter,CFIHOS-30000265,ultrasonic flow transmitter,
CFIHOS-30000643,flow transmitter,CFIHOS-30000485,v-cone flow meter,
CFIHOS-30000643,flow transmitter,CFIHOS-30000491,vortex flow meter,
CFIHOS-30000643,flow transmitter,CFIHOS-30000277,vortex flow transmitter,
CFIHOS-30000830,flying chemical lead,CFIHOS-30000830,flying chemical lead,
CFIHOS-30000831,flying electrical lead,CFIHOS-30000831,flying electrical lead,
CFIHOS-30000832,flying hydraulic lead,CFIHOS-30000832,flying hydraulic lead,
CFIHOS-30000707,flying lead,CFIHOS-30000830,flying chemical lead,
CFIHOS-30000707,flying lead,CFIHOS-30000831,flying electrical lead,
CFIHOS-30000707,flying lead,CFIHOS-30000832,flying hydraulic lead,
CFIHOS-30000707,flying lead,CFIHOS-30000833,flying optical lead,
CFIHOS-30000833,flying optical lead,CFIHOS-30000833,flying optical lead,
CFIHOS-30000065,fog detector,CFIHOS-30000065,fog detector,
CFIHOS-30000567,forklift truck,CFIHOS-30000567,forklift truck,
CFIHOS-30000973,foul water drainage,CFIHOS-30000973,foul water drainage,
CFIHOS-30000067,foundation,CFIHOS-30000067,foundation,
CFIHOS-30000305,frame,CFIHOS-30000305,frame,
CFIHOS-30000068,freezing point analyser,CFIHOS-30000068,freezing point analyser,
CFIHOS-30000743,frequency generator,CFIHOS-30000743,frequency generator,
CFIHOS-30000431,frequency to current converter,CFIHOS-30000431,frequency to current converter,
CFIHOS-30000070,funnel,CFIHOS-30000070,funnel,
CFIHOS-30000894,furnace,CFIHOS-30000894,furnace,
CFIHOS-30000071,furniture,CFIHOS-30000071,furniture,
CFIHOS-30000348,fuse,CFIHOS-30000348,fuse,
CFIHOS-30000072,fusible plug,CFIHOS-30000072,fusible plug,
CFIHOS-30000644,galley equipment,CFIHOS-30000644,galley equipment,
CFIHOS-30000073,galvanic isolator,CFIHOS-30000073,galvanic isolator,
CFIHOS-30000834,gas chromatograph,CFIHOS-30000834,gas chromatograph,
CFIHOS-30000074,gas composition analyser,CFIHOS-30000074,gas composition analyser,
CFIHOS-30000075,gas cyclone separator,CFIHOS-30000075,gas cyclone separator,
CFIHOS-30000432,gas detector,CFIHOS-30000432,gas detector,
CFIHOS-30000432,gas detector,CFIHOS-30000895,H2S detector,
CFIHOS-30000578,gas distributor,CFIHOS-30000578,gas distributor,
CFIHOS-30000533,gas engine,CFIHOS-30000533,gas engine,
CFIHOS-30000835,gas liquid chromatograph,CFIHOS-30000835,gas liquid chromatograph,
CFIHOS-30000534,gas turbine,CFIHOS-30000534,gas turbine,
CFIHOS-30000836,gas-blast circuit-breaker,CFIHOS-30000836,gas-blast circuit-breaker,
CFIHOS-30000306,gasket,CFIHOS-30000306,gasket,
CFIHOS-30000837,gate control valve,CFIHOS-30000837,gate control valve,
CFIHOS-30000838,gate valve,CFIHOS-30000838,gate valve,
CFIHOS-30000535,gear box,CFIHOS-30000535,gear box,
CFIHOS-30000839,globe control valve,CFIHOS-30000839,globe control valve,
CFIHOS-30000840,globe valve,CFIHOS-30000840,globe valve,
CFIHOS-30000841,gravity separator,CFIHOS-30000841,gravity separator,
CFIHOS-30000077,grease injection unit,CFIHOS-30000077,grease injection unit,
CFIHOS-30000078,grille,CFIHOS-30000078,grille,
CFIHOS-30000079,grinding machine,CFIHOS-30000079,grinding machine,
CFIHOS-30000974,groundwater protection,CFIHOS-30000974,groundwater protection,
CFIHOS-30000080,guide post,CFIHOS-30000080,guide post,
CFIHOS-30000975,gully drain,CFIHOS-30000975,gully drain,
CFIHOS-30000579,gutter,CFIHOS-30000579,gutter,
CFIHOS-30000976,handrail,CFIHOS-30000976,handrail,
CFIHOS-30000081,hard disk,CFIHOS-30000081,hard disk,
CFIHOS-30001018,harmonic filter,CFIHOS-30001018,harmonic filter,Required by owner-operators
CFIHOS-30000580,hatch way door,CFIHOS-30000580,hatch way door,
CFIHOS-30000082,heat and smoke detector,CFIHOS-30000082,heat and smoke detector,
CFIHOS-30001019,heater treater,CFIHOS-30001019,heater treater,Required by owner-operators
CFIHOS-30000349,heating cable,CFIHOS-30000349,heating cable,
CFIHOS-30000896,heating coil,CFIHOS-30000896,heating coil,
CFIHOS-30000600,helideck,CFIHOS-30000600,helideck,
