Source standard document and data requirement CFIHOS unique code,tag class CFIHOS unique code,tag class name,source standard CFIHOS unique code,source standard code,source standard document and data requirement number,source standard document and data requirement title,source standard document and data requirement typical deliverable,source standard document and data requirement description,source standard document and data requirement comment,document and data requirement type code,document and data requirement group code,engineering standard source chapter,discipline CFIHOS unique code,discipline name,document type CFIHOS unique code,document type name,default submit at proposal indicator,default submit for review indicator,default submit at delivery indicator,default issue for review number of weeks,default issue for review reference date,default issue for approval number of weeks,default issue for approval reference date,default for information number of weeks,default for information reference date,default required handover status code,default required translation indicator,deliverable format code
CFIHOS-68000125,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-135,CONCESSION REQUESTS,concession requests,"NOTE - Deviations and concession requests which are identified from the requisition package, post placement of the purchase order and require approval by the User. Based on the User's system for Concession Requests.",,equipment,technical information deliverables,,,,CFIHOS-70000389,technical deviation request,,no,no,,,,,,,AFD,yes,
CFIHOS-68000126,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-137,DESPATCH DOSSIER,index of documents,"NOTE - All necessary documents are provided for shipments and customs. Shall also include items such as the FAT report, punchlist items, items to be shipped loose, transport requirements and presevations requirements etc. User will agree contents list and",,equipment,technical information deliverables,,,,CFIHOS-70000178,index of documents,,no,no,,,,,,,AFD,yes,
CFIHOS-68000127,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-138,MANUFACTURING RECORD BOOK,manufacturer record book (mrb),"NOTE - Record book is a historical record of all sub-components within the PSC-Assembly, associated documentation and routine verification, held by Manufacturer for review by the User during manufacture of the PSC-Assembly. This may contain additional doc",,equipment,technical information deliverables,,,,CFIHOS-70000178,index of documents,,no,no,,,,,,,AFD,yes,
CFIHOS-68000128,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-139,"INSTRUCTION FOR HANDLING, INSTALLATION, OPERATION AND MAINTENANCE","installation manual, operating manual, maintenance manual",NOTE - Initial submission to be index for manuals followed by complete submission following FAT.,,equipment,technical information deliverables,"IEC61349-1, Clause 6.2.2",,,CFIHOS-70000228,operating manual,,no,no,,,,,,,AFD,yes,
CFIHOS-68000129,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-141,"HSE MANAGEMENT SYSTEM (PLANS, POLICY, COMPLIANCE)",,NOTE - HSE plans covers the manufacturing and potentially the installation phase. It covers both User and Manufacturer's representatives in relation to the PSC-Assembly.,,equipment,technical information deliverables,,,,CFIHOS-70000088,design hse case,,no,no,,,,,,,AFD,yes,
CFIHOS-68000130,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-143,MANUFACTURER TAG REGISTER (if applicable),master tag-equipment register,NOTE - Schedule of data for all identified items within the PSC-Assembly. The formal structure of this will be agreed between User and Manufacturer.Requirements should be detailed in the requisition package.,,equipment,technical information deliverables,,,,CFIHOS-70000122,master tag-equipment register,,no,no,,,,,,,AFD,yes,
CFIHOS-68000131,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-84,SUPPLIER DELIVERABLES REGISTER (SDR),master document register,,,equipment,contract management information deliverables,,,,CFIHOS-70000099,master document register,,no,no,,,,,,,AFD,yes,
CFIHOS-68000132,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-85,FABRICATION PRODUCTION SCHEDULE,fabrication schedule,,,equipment,contract management information deliverables,,,,CFIHOS-70000132,fabrication schedule,,no,no,,,,,,,AFD,yes,
CFIHOS-68000133,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-86,PROGRESS REPORT,progress report,,,equipment,contract management information deliverables,,,,CFIHOS-70000300,progress report,,no,no,,,,,,,AFD,yes,
CFIHOS-68000134,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-87,BOUGHT OUT ITEMS LIST,bill of materials,NOTE - Covers Bill of Materials and can be provided as part of the Schematic Wiring Diagrams (3.2),,equipment,contract management information deliverables,,,,CFIHOS-70000028,bill of materials,,no,no,,,,,,,AFD,yes,
CFIHOS-68000135,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-89,PSC ASSEMBLY GENERAL ARRANGEMENT DRAWING,general arrangement diagram,,,equipment,technical information deliverables,,,,CFIHOS-70000153,general arrangement diagram,,no,no,,,,,,,AFD,yes,
CFIHOS-68000136,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-90,INTERFACE AND CONNECTION SCHEDULE,connection diagram,"NOTE - Covers items such as network architecture, field interconnection diagrams etc",,equipment,technical information deliverables,"S-560, Clauses 3.10.4, 8.6.2.2",,,CFIHOS-70000055,connection diagram,,no,no,,,,,,,AFD,yes,
CFIHOS-68000137,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-92,SINGLE LINE ELECTRICAL DIAGRAM,single line diagram,,,equipment,technical information deliverables,,,,CFIHOS-70000371,single line diagram,,no,no,,,,,,,AFD,yes,
CFIHOS-68000138,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-93,FUNCTIONAL UNIT SCHEMATIC DIAGRAM,schematic diagram,,,equipment,technical information deliverables,,,,CFIHOS-70000328,schematic diagram,,no,no,,,,,,,AFD,yes,
CFIHOS-68000139,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-94,UTILITIES SCHEDULE (Absorbed AC / DC power),utility consumption report,,,equipment,technical information deliverables,,,,CFIHOS-70000259,general report,,no,no,,,,,,,AFD,yes,
CFIHOS-68000140,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-95,WEIGHT DATA SHEET,weight calculation,,,equipment,technical information deliverables,"S-560, Clause 7.3",,,CFIHOS-70000357,weight calculation,,no,no,,,,,,,AFD,yes,
CFIHOS-68000141,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-96,EQUIPMENT DATA SHEET,manufacturer datasheet,,,equipment,technical information deliverables,"S-560, Clause 5",,,CFIHOS-70000416,manufacturer datasheet,,no,no,,,,,,,AFD,yes,
CFIHOS-68000142,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-97,DETAILED DESCRIPTION OF OPERATION,functional design specification,NOTE - Details functional interlocking arrangement for PSC-Assembly where required.,,equipment,technical information deliverables,,,,CFIHOS-70000244,functional design specification,,no,no,,,,,,,AFD,yes,
CFIHOS-68000143,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-98,HEAT DISSIPATION DATA,heat dissipation calculation & loads,,,equipment,technical information deliverables,"IEC 61439-1, Clause 10.10.4",,,CFIHOS-70000441,heat dissipation calculation,,no,no,,,,,,,AFD,yes,
CFIHOS-68000144,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000053,IOGP S-560:2016,S560-IR-99,FUNCTIONAL LOGIC DIAGRAM,logic diagram,,,equipment,technical information deliverables,"S-560, Clauses 3.10.11, 8.6.2.3",,,CFIHOS-70000248,logic diagram,,no,no,,,,,,,AFD,yes,
CFIHOS-68000145,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #01,Design verification and validation report,third party design verification report,Design verification and validation report by certification body/agency,,equipment,technical information deliverables,"API 6D, Annex N(i)",,,CFIHOS-70000092,design review report,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000145,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #01,Design verification and validation report,third party design verification report,Design verification and validation report by certification body/agency,,equipment,technical information deliverables,"API 6D, Annex N(i)",,,CFIHOS-70000092,design review report,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000146,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #02,Non-destructive examination procedures,non-destructive examination procedures,"Define method, extent and acceptance levels of all NDE used to verify that materials and / or formed or welded fabrications comply with the Buyer's requirements. To include as applicable visual, radiographic, ultrasonic, magnetic particle, dye penetrant,",,equipment,technical information deliverables,"API 6D, Annex N(s)",,,CFIHOS-70000227,non destructive test procedure,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000146,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #02,Non-destructive examination procedures,non-destructive examination procedures,"Define method, extent and acceptance levels of all NDE used to verify that materials and / or formed or welded fabrications comply with the Buyer's requirements. To include as applicable visual, radiographic, ultrasonic, magnetic particle, dye penetrant,",,equipment,technical information deliverables,"API 6D, Annex N(s)",,,CFIHOS-70000227,non destructive test procedure,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000147,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #03,Weld procedure specification,weld procdure specification,"All Weld Procedure Specification (WPS) documents are required to be issued in a single submission, together with the respective Weld Procedure Qualification Records (WPQR) and a listing register to show status of approval qualification records.",,equipment,technical information deliverables,"API 6D, Annex N(x)",,,CFIHOS-70000408,welding procedure specification,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000147,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #03,Weld procedure specification,weld procdure specification,"All Weld Procedure Specification (WPS) documents are required to be issued in a single submission, together with the respective Weld Procedure Qualification Records (WPQR) and a listing register to show status of approval qualification records.",,equipment,technical information deliverables,"API 6D, Annex N(x)",,,CFIHOS-70000408,welding procedure specification,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000148,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #04,Weld procedure qualification records,weld procedure qualification records,Define all shop and field welding (including cladding / weld overlay) techniques and repair welding procedures in accordance with Code and Buyer's requirements.All Weld Procedure Specification (WPS) documents are required to be issued in a single submiss,,equipment,technical information deliverables,"API 6D, Annex N(u)",,,CFIHOS-70000362,welding procedure qualification,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000148,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #04,Weld procedure qualification records,weld procedure qualification records,Define all shop and field welding (including cladding / weld overlay) techniques and repair welding procedures in accordance with Code and Buyer's requirements.All Weld Procedure Specification (WPS) documents are required to be issued in a single submiss,,equipment,technical information deliverables,"API 6D, Annex N(u)",,,CFIHOS-70000362,welding procedure qualification,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000149,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #05,Welder performance qualification records,welder performance qualification records,"To define parameters, techniques and test results of all suppliers proposed welding procedures in compliance with Buyer's requirements. Suppler to use standard ASME, BS EN or AWS forms. Weld performance qualification records are to be cross-referenced to",,equipment,technical information deliverables,"API 6D, Annex N(y)",,,CFIHOS-70000413,welder qualification certificate,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000149,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #05,Welder performance qualification records,welder performance qualification records,"To define parameters, techniques and test results of all suppliers proposed welding procedures in compliance with Buyer's requirements. Suppler to use standard ASME, BS EN or AWS forms. Weld performance qualification records are to be cross-referenced to",,equipment,technical information deliverables,"API 6D, Annex N(y)",,,CFIHOS-70000413,welder qualification certificate,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000150,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #06,Painting/coating certificates,enp / tungsten carbide hardfacing certification,"Certificate to state the Buyer's PO number; item number, tag number, and is required to verify that painting and / or insulation is in accordance with the Buyer's specifications or the Buyer approved specifications, as applicable, showing intermediate coa",,equipment,technical information deliverables,"API 6D, Annex N(d)",,,CFIHOS-70000239,general certificate,no,yes,yes,,,,,,WPTD,AFD,no,
CFIHOS-68000150,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #06,Painting/coating certificates,enp / tungsten carbide hardfacing certification,"Certificate to state the Buyer's PO number; item number, tag number, and is required to verify that painting and / or insulation is in accordance with the Buyer's specifications or the Buyer approved specifications, as applicable, showing intermediate coa",,equipment,technical information deliverables,"API 6D, Annex N(d)",,,CFIHOS-70000239,general certificate,no,yes,yes,,,,,,WPTD,AFD,no,
CFIHOS-68000151,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #07,Non-destructive examination personnel qualification records,non-destructive examination personnel qualification records,"Copies of Qualification Certificates for the technicians / operators signing certificates are required. NDE Operators are required to be qualified by an authorised qualification body such as PCN, CSWIP according to EN ISO 9712/ISO 9712.",,equipment,technical information deliverables,"API 6D, Annex N(r)",,,CFIHOS-70000437,personnel qualification certificate,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000151,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,API 6D #07,Non-destructive examination personnel qualification records,non-destructive examination personnel qualification records,"Copies of Qualification Certificates for the technicians / operators signing certificates are required. NDE Operators are required to be qualified by an authorised qualification body such as PCN, CSWIP according to EN ISO 9712/ISO 9712.",,equipment,technical information deliverables,"API 6D, Annex N(r)",,,CFIHOS-70000437,personnel qualification certificate,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000152,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,MD#01,Supplier master information schedule,information deliverables list,Schedule of specific information deliverables developed by the manufacturer and accepted by the purchaser to meet the information requirements defined in the agreed Information Requirements Specification (IRS).The schedule typically defines; a) informat,,equipment,contract management information deliverables,Contract Requirement,CFIHOS-20000016,information management,CFIHOS-70000099,master document register,no,no,yes,,WAO,,WAO,,,AFC,no,
CFIHOS-68000152,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,MD#01,Supplier master information schedule,information deliverables list,Schedule of specific information deliverables developed by the manufacturer and accepted by the purchaser to meet the information requirements defined in the agreed Information Requirements Specification (IRS).The schedule typically defines; a) informat,,equipment,contract management information deliverables,Contract Requirement,CFIHOS-20000016,information management,CFIHOS-70000099,master document register,no,no,yes,,WAO,,WAO,,,AFC,no,
CFIHOS-68000153,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,MD#02,Delivery schedule,delivery/production schedule,"Schedule depicting, as applicable to the service or product scope, design, supply, manufacture, inspection, testing and delivery activities to be executed by manufacturer/sub-suppliers.Schedule details typically**  include;.a) Contractual milestonesb)",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000298,procurement schedule,yes,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000153,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,MD#02,Delivery schedule,delivery/production schedule,"Schedule depicting, as applicable to the service or product scope, design, supply, manufacture, inspection, testing and delivery activities to be executed by manufacturer/sub-suppliers.Schedule details typically**  include;.a) Contractual milestonesb)",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000298,procurement schedule,yes,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000154,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,MD#03,Progress report,progress report,"Report detailing activities completed in the period, percent complete against planned, activities planned for the next period, risks/areas of concern, cause of any delays and proposed recovery plans, concessions, internal and outsourced inspection and aud",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000300,progress report,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000154,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,MD#03,Progress report,progress report,"Report detailing activities completed in the period, percent complete against planned, activities planned for the next period, risks/areas of concern, cause of any delays and proposed recovery plans, concessions, internal and outsourced inspection and aud",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000300,progress report,no,yes,yes,,,,,,WAO,AFD,no,
CFIHOS-68000155,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,MD#04,Quality plan,quality plan,"Plan specifying the actions, responsibilities and associated resources to be applied by the manufacturer, and when applicable sub-suppliers or manufacturers, to deliver the services or procured item(s) in conformance with the agreed requirements. ISO9001",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000451,quality plan,,no,no,,,,,,,AFD,yes,
CFIHOS-68000155,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,MD#04,Quality plan,quality plan,"Plan specifying the actions, responsibilities and associated resources to be applied by the manufacturer, and when applicable sub-suppliers or manufacturers, to deliver the services or procured item(s) in conformance with the agreed requirements. ISO9001",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000451,quality plan,,no,no,,,,,,,AFD,yes,
CFIHOS-68000156,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,MD#06,Sub-supplier List,sub-supplier list,"Definition of processes, products or services that will be externally provided and the controls to be applied by the manufacturer to ensure conformance with agreed requirements. The list includes evidence of the basis of capability assessment , quality m",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000455,sub-supplier list,,no,no,,,,,,,AFD,yes,
CFIHOS-68000156,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,MD#06,Sub-supplier List,sub-supplier list,"Definition of processes, products or services that will be externally provided and the controls to be applied by the manufacturer to ensure conformance with agreed requirements. The list includes evidence of the basis of capability assessment , quality m",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000455,sub-supplier list,,no,no,,,,,,,AFD,yes,
CFIHOS-68000157,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,MD#07,Inspection and test plan,inspection and test plan (itp),"Tabular presentation of a quality plan typically used  for process or product applications to define the specific sequence of operational activities, instructions, acceptance criteria records and associated manufacturer, purchaser and independent conformi",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000180,inspection and test plan,,no,no,,,,,,,AFD,yes,
CFIHOS-68000157,CFIHOS-30000807,ball valve,CFIHOS-90000055,IOGP S-562:2019,MD#07,Inspection and test plan,inspection and test plan (itp),"Tabular presentation of a quality plan typically used  for process or product applications to define the specific sequence of operational activities, instructions, acceptance criteria records and associated manufacturer, purchaser and independent conformi",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000180,inspection and test plan,,no,no,,,,,,,AFD,yes,
CFIHOS-68000158,CFIHOS-30000806,ball control valve,CFIHOS-90000055,IOGP S-562:2019,MD#08,"Handling, shipping, storage and preservation procedure","handling, shipping and storage procedure","Definition of practices to be followed during the; storage, transport, lifting and preservation of the equipment and materials included in the scope of supply to maintain their  functionality and guarantees.Procedures typically define:a) Packaging requi",,equipment,contract management information deliverables,Contract Requirement,,,CFIHOS-70000154,"handling, shipping, storage procedure",no,yes,yes,,,,,,WAO,AFC,no,
