CFIHOS unique code,CFIHOS name,CFIHOS description,CFIHOS definition file
CFIHOS-00000051,coding source,"A system that has similarities to CFIHOS, and has been coding the objects relevant to CFIHOS in a different way",entity
CFIHOS-00000052,CFIHOS object equivalent mapping,A code assigned by a coding source to a tag class,entity
CFIHOS-00000054,document type classification,A classification of document types according to their nature,entity
CFIHOS-00000056,asset type,A classification of discipline document types according to the type of asset they refer to,entity
CFIHOS-00000057,document representation type,A classification of the documents according to how they should be represented,entity
CFIHOS-00000058,document format,"A format, or package, that has to be used to provide a given type of document",entity
CFIHOS-00000060,document review type,A type of review that is required for a document,entity
CFIHOS-00000061,source standard,"A standard used to define requirements like engineering, operations, etc",entity
CFIHOS-00000068,life cycle activity class,A classification of activities in the life cycle of a capital asset,entity
CFIHOS-00000069,application condition,A condition under which some document or data requirements have to be applied,entity
CFIHOS-00000070,quantitative property,"A type of feature that (a) is used to distinguish and describe tags, equipments, models or their class (b) is numeric (c) may have an associated unit of measure",entity
CFIHOS-00000071,qualitative property,"A type of feature that (a) is used to distinguish and describe  tags, equipment, models or their class (b) may have defined list of values to select from (c) is non-numeric",entity
CFIHOS-00000072,unit of measure dimension,A grouping of units of measure that relate to the same kind of quantity,entity
CFIHOS-00000073,unit of measure,A unit that qualifies the size of a quantity,entity
CFIHOS-00000074,unit of measure synonym,A synonyms that uniquely identifies or represents a unit of measure,entity
CFIHOS-00000075,measurement system,A collection of units of measure related to each other,entity
CFIHOS-00000078,document revision site reference,A reference to a site that is included in a document revision,entity
CFIHOS-00000079,document revision plant reference,A reference to a plant that is included in a document revision,entity
CFIHOS-00000080,document revision process unit reference,A process unit that is referred to in a document revision,entity
CFIHOS-00000081,document revision plant area reference,A facility area that is referred to in a document revision.,entity
CFIHOS-00000082,document revision tag reference,A tag that is referred to in a document revision,entity
CFIHOS-00000083,document revision equipment reference,An equipment that is referred to in a document revision,entity
CFIHOS-00000084,document revision model part reference,A model part that is referred to in a document revision,entity
CFIHOS-00000085,document revision purchase order reference,A purchase order that is referred to in a document revision,entity
CFIHOS-00000086,document revision cross reference,A reference to a document revision in another document revision,entity
CFIHOS-00000087,document revision project reference,A project that is referred to in a document revision,entity
CFIHOS-00000088,storage media,A type of technology used to store some documents,entity
CFIHOS-00000089,tag or equipment class property application condition,A condition that applies to the capture or supply of a tag or equipment class property,entity
CFIHOS-00000090,tag or equipment class,A tag class or an equipment class,entity
CFIHOS-00000091,tag or equipment class synonym,An alternate name used to designate a tag or equipment class,entity
CFIHOS-00000092,tag or equipment class source standard,A tag or equipment class whose engineering information is documented in a source standard,entity
CFIHOS-00000093,non abstract tag or equipment class,A tag or equipment class that is not marked as abstract,entity
CFIHOS-00000094,tag or equipment class property,"A characteristic, or property, that a tag or equipment class has",entity
CFIHOS-00000096,data type,A classification of data elements according to their nature,entity
CFIHOS-00000097,application condition group,"A grouping of application conditions, that have all to be satisfied to be able to say the condition group is satisfied.",entity
CFIHOS-00000098,comparison operator,An operator that compares one expression with another,entity
CFIHOS-00000099,application condition group member,"An application condition that is used as a component, or member of an application condition group",entity
CFIHOS-00000100,document and data requirement type,A classification of the document and data requirements according to when / by whom the information is generated,entity
CFIHOS-00000101,document and data requirement group,A classification of the document and data requirements according to their nature,entity
CFIHOS-00000102,event type,A classification of events that are used as reference in the handover of information for capital facility projects,entity
CFIHOS-00000103,submission reference date,A reference date or point in time vs which some actions need to be accomplished,entity
CFIHOS-00000104,source standard document and data requirement condition,The application of a given condition to a source standard document and data requirement,entity
CFIHOS-00000105,purchase order item,An item on a purchase order,entity
CFIHOS-00000106,purchase order item tag,"A tag, or part of it, as covered in a purchase order item",entity
CFIHOS-00000107,vendor document,"A document, originating from a vendor",entity
CFIHOS-00000108,purchase order item vendor document and data requirement,A vendor document and data requirement (VDDR) deemed to be appropriate jointly by the purchaser and the vendor for a given purchase order.,entity
CFIHOS-00000109,purchase order item expected event,"An event, other than the purchase or the delivery, that needs to be monitored for the delivery of the requirements",entity
CFIHOS-00000110,purchase order item for model part,A purchase order item for a model or a part,entity
CFIHOS-00000111,purchase order item for bulk,A purchase order item for some goods in bulk,entity
CFIHOS-00000112,purchase order item for tag,A purchase order item that refers to one or more tags,entity
CFIHOS-00000113,process class,A classification of the process activities according to the type of action / operation being performed,entity
CFIHOS-00000114,process class tag class relationship,A tag class that can be used to implement a process activity belonging to a process class,entity
CFIHOS-00000115,process class property,A property that should be specified for process activities related to this process class,entity
CFIHOS-00000116,process activity,"A set of actions by which material, energy or information is transformed, transported or stored",entity
CFIHOS-00000117,process activity tag relationship,A tag that implements (part of) the functional requirements of a process activity,entity
CFIHOS-00000118,process design property,A property that is required by a given process activity,entity
CFIHOS-00000119,stream class,A classification of the process streams according to what is being moved,entity
CFIHOS-00000120,process stream,"A flow of material, energy or information produced by one process activity and consumed by another process activity",entity
CFIHOS-00000121,stream class property,A property that should be specified for process streams related to this stream class,entity
CFIHOS-00000122,process stream property,A property that is required for a process stream,entity
CFIHOS-00000127,process case,A scenario of how processes and streams would perform under some conditions,entity
CFIHOS-00000128,process stream in case,A process stream included in the scope of a case,entity
CFIHOS-00000129,process stream property in case,"A process stream property, in the context of a case",entity
CFIHOS-00000130,process activity in case,A process activity included in the scope of a case,entity
CFIHOS-00000131,process property in case,"A property of a process activity, in the context of a case",entity
CFIHOS-00000132,source standard document and data requirement,"A requirement for document or data, as expressed in a source standard, irrespective of the equipment class",entity
CFIHOS-00000133,handover event,"A phase, a moment, at which handover of information is taking place",entity
CFIHOS-00000134,discipline document type handover requirement,"An indication of the status that a document type should have, if any, at a given handover phase, for a given discipline",entity
CFIHOS-00000135,native file delivery timing,An indication of when the native file should be available,entity
CFIHOS-00000137,deliverable format,A format required to be used by the supplier of information in conformance with JIP33 standard,entity
CFIHOS-00000138,industrial complex,"A number of discrete or interconnected plants, together with the associated buildings.",entity
CFIHOS-00000139,selectable model part for tag,A model part that can be selected for the implementation of a tag,entity
CFIHOS-00000140,property group allowed for purpose,A group of properties that can legitimately be used for a given purpose.,entity
CFIHOS-00000141,property group,A grouping of properties,entity
CFIHOS-00000142,property grouping or decomposition purpose,"The property group to which a property is assigned, when the property is to be grouped for a given purpose.",entity
CFIHOS-00000143,property to group assignment,A reason or purpose for which properties need to be grouped.,entity
CFIHOS-00000144,tag alias,An alternative name under which a tag may be designated,entity
CFIHOS-00000145,tag or equipment class property source standard,A tag or equipment class property that is reported by a source standard in its data sheet,entity
CFIHOS-00000146,tag or equipment class component,A component of what makes a tag or equipment class,entity
CFIHOS-00000147,document return status,A status assigned to a document revision after review,entity
CFIHOS-00000148,component role,The role of the component of the Tag or Equipment Class,entity
CFIHOS-00000149,equipment model part,"A model part, present in a vendor or in a manufacturer catalogue, and that provides the functionalities required by tags",entity
CFIHOS-00000150,spare part,"A part, either non-repairable or repairable, from the associated bill of material used to maintain or repair machinery or equipment",entity
CFIHOS-00000151,kit,"A kit comprises a number of items supplied under a single part number which is used to undertake a manufacturer’s approved repair scheme. A kit may include spare parts, special tools and consumables.",entity
CFIHOS-00000152,special tool,"A tool that is specifically required in conjunction with model parts, for example a tool intended to install a model part.",entity
CFIHOS-00000153,consumable,"Any item which is expendable, may be regularly replaced and generally is not product specific, for example oil, grease, nuts, bolts and screws, gaskets, etc.",entity
CFIHOS-00000154,kit component,Defines the model parts that are included in a kit,entity
CFIHOS-00000155,model part type,Indicates the type of model part for the item in this SPIR,entity
CFIHOS-00000156,spare part interchangeability record,A recommendation from the Vendor or Manufacturer of the spares they think the owner operator should purchase for the equipment supplied.  Also commonly known as a SPIL or RSPL.,entity
CFIHOS-00000157,spare part interchangeability record equipment,List of goods purchased as part of the original purchase order.,entity
CFIHOS-00000158,spare part interchangeability record commercial details,Prices and delivery information for all items.,entity
CFIHOS-00000159,spare part interchangeability record advice,Manufacturer or Vendor recommendations for Owner Operator to buy.,entity
CFIHOS-00000160,unit of measure dimension application,Indicates which unit of measure dimension codes are relevant for a unit of measure,entity
CFIHOS-00000161,property picklist value source standard,Indicates where the standard that specifies the need for the Property Picklist Value.,entity
CFIHOS-10000001,area code,A code that uniquely identifies the area within the plant,entity attribute
CFIHOS-10000002,area name,A name describing the location of an area within the plant,entity attribute
CFIHOS-10000003,site code,A code that uniquely identifies the site,entity attribute
CFIHOS-10000004,site name,A unique name to identify a geographical location,entity attribute
CFIHOS-10000005,plant code,A code that uniquely identifies the plant,entity attribute
CFIHOS-10000006,plant name,The full name of the plant,entity attribute
CFIHOS-10000008,process unit name,A name describing the function of the process unit,entity attribute
CFIHOS-10000009,commissioning unit code,A code that uniquely identifies the commissioning unit within a plant,entity attribute
CFIHOS-10000010,commissioning unit name,The name by which the commission unit is usually designated,entity attribute
CFIHOS-10000013,maintenance unit code,A code that uniquely identifies the maintenance unit at a plant,entity attribute
CFIHOS-10000014,maintenance unit name,The name by which the maintenance unit is usually designated,entity attribute
CFIHOS-10000015,maintenance system code,A code that uniquely identifies the maintenance system within a maintenance unit,entity attribute
CFIHOS-10000016,maintenance system name,The name by which the maintenance system is usually designated,entity attribute
CFIHOS-10000017,maintenance system actual startup date,The date at which the maintenance system has been started for the first time (on a continuous basis),entity attribute
CFIHOS-10000018,corrosion loop code,A code that uniquely identifies the corrosion loop at a plant,entity attribute
CFIHOS-10000019,corrosion loop name,The name by which the corrosion loop is usually designated,entity attribute
CFIHOS-10000020,corrosion loop description,A description of what the corrosion loop is,entity attribute
CFIHOS-10000021,corrosion loop process description,A description of the process performed by the elements of the corrosion loop,entity attribute
CFIHOS-10000022,corrosion type description,A description of the expected effects of the corrosion,entity attribute
CFIHOS-10000023,corrosion loop type code,The type of corrosion loop that classifies this corrosion loop,entity attribute
CFIHOS-10000024,corrosion loop type name,The name by which the corrosion loop type is usually designated,entity attribute
CFIHOS-10000025,tag status,An identification of the engineering phase in which the tag is,entity attribute
CFIHOS-10000026,tag requisition number,A requisition number that has been placed to acquire the tag,entity attribute
CFIHOS-10000027,production critical item indicator,"An indication whether the loss of the functionality provided by the tag would have an immediate cost impact, like a loss of production",entity attribute
CFIHOS-10000028,safety critical item indicator,"An indication whether the tag should be considered as a safety critical element, as per International Standards",entity attribute
CFIHOS-10000029,safety critical item group code,"A code, as per SDE standards, that uniquely identifies the safety item group",entity attribute
CFIHOS-10000030,safety critical item reason awarded,A documentation of the outcome of the SCE assessment,entity attribute
CFIHOS-10000031,equipment code,A code used to identify uniquely the equipment.,entity attribute
CFIHOS-10000032,equipment actual purchase date,The date at which the equipment was actually purchased,entity attribute
CFIHOS-10000033,equipment actual startup date,The date at which the equipment was actually started up,entity attribute
CFIHOS-10000035,equipment warranty end date,The date at which the warrant on the equipment will end,entity attribute
CFIHOS-10000036,manufacturer indicator,An indicator whether the company is a manufacturer or not,entity attribute
CFIHOS-10000037,supplier indicator,An indicator whether the company is a supplier or not,entity attribute
CFIHOS-10000038,company contact person,The name of the person to contact in the company,entity attribute
CFIHOS-10000039,company contact person function,A description of the role of the contact person within the organization of the company.,entity attribute
CFIHOS-10000040,tag class name,The full name of the tag or equipment class,entity attribute
CFIHOS-10000042,abstract class indicator,An indication whether the tag or equipment class is an aggregation of other tag or equipment classes and should not be used for associating properties,entity attribute
CFIHOS-10000045,equipment expected to be installed indicator,An indication whether equipment are expected to be installed for tags that are associated with this tag class,entity attribute
CFIHOS-10000047,equipment class name,The full name of the tag or equipment class,entity attribute
CFIHOS-10000053,source standard code,"A code used to designate the standard used to define requirements like engineering, operations, etc",entity attribute
CFIHOS-10000055,spare part information required indicator,An indication whether spare part information is required for equipment related to this class or not,entity attribute
CFIHOS-10000056,property name,A name that uniquely identifies the property,entity attribute
CFIHOS-10000057,property existence reason description,The reason why the property has been added in CFIHOS,entity attribute
CFIHOS-10000059,property picklist name,The name by which the pick list is designated,entity attribute
CFIHOS-10000060,property picklist value code,A code that uniquely identifies an entry in a pick list,entity attribute
CFIHOS-10000064,document review type code,A code that uniquely identifies a document review type,entity attribute
CFIHOS-10000065,forecast review date,The latest forecast date at which the document is expected to be issued for review,entity attribute
CFIHOS-10000066,actual review date,The date on which the document revision  was actually reviewed,entity attribute
CFIHOS-10000067,forecast approval date,The latest forecast date at which the document is expected to be issued for approval,entity attribute
CFIHOS-10000068,actual approval date,The date at which the document revision has been issued for approval,entity attribute
CFIHOS-10000069,forecast approved for design date,The latest forecast date at which the document is expected to be issued approved for design,entity attribute
CFIHOS-10000070,actual approved for design date,The date at which the document revision has been issued approved for design,entity attribute
CFIHOS-10000071,forecast approved for construction date,The latest forecast date at which the document is expected to be issued approved for construction,entity attribute
CFIHOS-10000072,actual approved for construction date,The date at which the document revision has been issued approved for construction,entity attribute
CFIHOS-10000073,forecast as built date,The latest forecast date at which the document is expected to be issued as-built,entity attribute
CFIHOS-10000074,actual as built date,The date at which the document revision has been issued as-built,entity attribute
CFIHOS-10000075,discipline name,The name by which the discipline is designated,entity attribute
CFIHOS-10000076,document revision date,The date the document was revised,entity attribute
CFIHOS-10000077,originator company,The name of the company who has generated the document revision,entity attribute
CFIHOS-10000078,document revision author,The name of the person who created the document revision,entity attribute
CFIHOS-10000079,document revision approver,The name (or the user ID) of the person who has approved the document revision,entity attribute
CFIHOS-10000080,document revision file name,The name of the electronic file (including the file extension) with the full path,entity attribute
CFIHOS-10000081,originator document revision code,A code used to identify the content of a document at a certain point in time according to the  originator which doesn't necessarily conform to the Owner/Operator's document revision coding scheme,entity attribute
CFIHOS-10000082,originator file name,The name of the file as provided by the manufacturer,entity attribute
CFIHOS-10000083,document status code,A code that uniquely identifies the status of document revisions,entity attribute
CFIHOS-10000084,project name,A unique name used to identify the project,entity attribute
CFIHOS-10000085,document revision comment,Any additional comment / explanation for a document revision,entity attribute
CFIHOS-10000086,export control classification code,A code that uniquely identifies an export control classification,entity attribute
CFIHOS-10000087,transmittal number,The transmittal through which this document revision was communicated,entity attribute
CFIHOS-10000091,document revision recipient,The full name of the recipient of the document. revision,entity attribute
CFIHOS-10000093,document revision physical storage location,The location of a media when not stored as an electronic file,entity attribute
CFIHOS-10000094,storage media code,A code that uniquely identifies the storage media,entity attribute
CFIHOS-10000096,project stage code,A code that uniquely identifies the stage of projects,entity attribute
CFIHOS-10000099,tag number format,An expression that represents the format of the tags belonging to the tag class,entity attribute
CFIHOS-10000100,document type short code,A code that uniquely identifies a document type,entity attribute
CFIHOS-10000101,asset type code,A code that uniquely identifies the type of asset,entity attribute
CFIHOS-10000112,documentation representation type code,A code that uniquely identifies the document representation type,entity attribute
CFIHOS-10000122,discipline document type comment,A comment about this discipline and document type,entity attribute
CFIHOS-10000123,hardcopy document required,An indicator which specifies if documents classified with this document type require a paper hardcopy during project and/or after project,entity attribute
CFIHOS-10000124,translated document required,An indicator which specifies if documents classified with this document type have to be translated in another language during project and/or after project.,entity attribute
CFIHOS-10000126,file title,A description in a short and concise manner of the content of the additional file,entity attribute
CFIHOS-10000127,file name,The unique name of the electronic file (including its extension),entity attribute
CFIHOS-10000128,purchase order number,The purchase order number that contains all specifications for the tag,entity attribute
CFIHOS-10000129,number of media,The number of media provided with the transmittal,entity attribute
CFIHOS-10000130,construction assembly code,A code that uniquely identifies the construction assembly at a plant,entity attribute
CFIHOS-10000131,construction assembly name,A name describing the purpose of a construction assembly,entity attribute
CFIHOS-10000135,property definition,A definition of what the property represents,entity attribute
CFIHOS-10000136,purchase order date,The date the purchase order is issued,entity attribute
CFIHOS-10000142,reason for issue code,A code that uniquely identifies the reason for issue,entity attribute
CFIHOS-10000144,transmittal send date,The date of sending the transmittal,entity attribute
CFIHOS-10000146,CFIHOS unique code,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the tag or equipment class",entity attribute
CFIHOS-10000147,ISO language code,The language that should be used by default for all exchange of information related to that plant,entity attribute
CFIHOS-10000148,document type name,The name by which the document type is designated,entity attribute
CFIHOS-10000149,company address line 1,The first line of the address of the company,entity attribute
CFIHOS-10000150,company name,A name used to uniquely identify the company,entity attribute
CFIHOS-10000151,ISO country code,The country where the company address is located,entity attribute
CFIHOS-10000152,property picklist value description,A description of what the entry in the pick list represents,entity attribute
CFIHOS-10000153,discipline code,A code that  uniquely identifies a discipline,entity attribute
CFIHOS-10000154,document number,The unique identifier for the Document according to the Owner/Operator document numbering scheme,entity attribute
CFIHOS-10000155,company email address,The official email address of the company,entity attribute
CFIHOS-10000156,company fax number,The official fax number of the company,entity attribute
CFIHOS-10000157,process unit code,A code that uniquely identifies the process unit within the plant,entity attribute
CFIHOS-10000158,manufacturer company name,A name used to uniquely identify the company who manufactures the model / part,entity attribute
CFIHOS-10000159,model part name,A unique name to identify the model part of the manufacturer,entity attribute
CFIHOS-10000160,originator document number,The unique identifier for the Document according to the originator document numbering scheme,entity attribute
CFIHOS-10000161,project code,The code that identifies the project the document revision refers to,entity attribute
CFIHOS-10000162,document revision code,A code used to identify the content of a document at a certain point in time,entity attribute
CFIHOS-10000163,equipment manufacturer serial number,A unique identification number for the equipment as prescribed by the manufacturer,entity attribute
CFIHOS-10000164,vendor company name,The name of the company supplying (vendor) the equipment,entity attribute
CFIHOS-10000165,purchase order receiver company name,The name of the company that receives the purchase order,entity attribute
CFIHOS-10000166,tag name,The full name of a tag,entity attribute
CFIHOS-10000167,company telephone number,The official telephone number of the company,entity attribute
CFIHOS-10000168,document title,"A description, in a short and concise manner, of the content of the document",entity attribute
CFIHOS-10000169,equipment actual installation date,The date at which the equipment was actually installed,entity attribute
CFIHOS-10000170,equipment price,"The price of the equipment for accounting, excluding freight, shipping and insurance costs",entity attribute
CFIHOS-10000171,data type code,An indication what are the type of values a data element can take,entity attribute
CFIHOS-10000173,SI unit of measure name,The SI (metric) unit of measure recommended for this property,entity attribute
CFIHOS-10000174,imperial unit of measure name,The Imperial unit of measure recommended for this property,entity attribute
CFIHOS-10000175,parent construction assembly code,A code that uniquely identifies the parent of a construction assembly at a plant,entity attribute
CFIHOS-10000176,parent commissioning unit code,A code that uniquely identifies the parent of the commission unit at the plant,entity attribute
CFIHOS-10000177,tag description,A functional description of the tag,entity attribute
CFIHOS-10000178,parent tag name,An identification of the parentage of the tag,entity attribute
CFIHOS-10000179,designed by company name,The company responsible for the design of the tag,entity attribute
CFIHOS-10000180,purchase order issuer company name,The name of the company issuing the purchase order for the acquisition of the tag,entity attribute
CFIHOS-10000181,from plant code,"The plant the process unit is part of, and to which the originating tag belongs",entity attribute
CFIHOS-10000182,from tag name,The full name of a tag,entity attribute
CFIHOS-10000183,to plant code,"The plant the process unit is part of, and to which the ending tag belongs",entity attribute
CFIHOS-10000184,to tag name,The full name of a tag,entity attribute
CFIHOS-10000185,company address line 2,The second line of the address of the company,entity attribute
CFIHOS-10000186,company address line 3,The third line of the address of the company,entity attribute
CFIHOS-10000187,purchase order description,A description of what is being purchased,entity attribute
CFIHOS-10000188,ISO country name,"The name assigned by ISO to the country, in its 3166-1 standard",entity attribute
CFIHOS-10000189,engineering status code,A code that uniquely identifies an engineering phase or status,entity attribute
CFIHOS-10000190,engineering status description,The description of what the engineering status or phase represents,entity attribute
CFIHOS-10000191,safety critical item group description,A description of what the safety critical item group represents,entity attribute
CFIHOS-10000192,model part description,A description of the main function of the model part,entity attribute
CFIHOS-10000193,ISO currency code,The currency in which the price of the equipment is labelled.,entity attribute
CFIHOS-10000194,ISO currency name,The name that is assigned to the ISO currency,entity attribute
CFIHOS-10000195,regulatory required indicator,An indication whether this document is to be developed to meet regulatory compliance requirements,entity attribute
CFIHOS-10000196,document status description,The description of what the document status represents,entity attribute
CFIHOS-10000197,ISO language name,"The name that ISO assigns to a language, in its ISO639-1 standard",entity attribute
CFIHOS-10000198,export control classification description,A description of what the export control classification represents,entity attribute
CFIHOS-10000200,project stage name,The name of the project stage,entity attribute
CFIHOS-10000201,reason for issue description,A description of what the reason for issue represents,entity attribute
CFIHOS-10000204,coding source code,A code that uniquely identifies the system that has been assigning codes to objects relevant to CFIHOS,entity attribute
CFIHOS-10000205,CFIHOS coding equivalent source description,A description of what that coding source is,entity attribute
CFIHOS-10000206,CFIHOS code equivalent value,"The code, assigned in the coding source, to the object that is equivalent to the CFIHOS object",entity attribute
CFIHOS-10000207,discipline document type short code,At alternate way of identifying uniquely a combination of discipline and document type,entity attribute
CFIHOS-10000208,discipline description,A description of what the discipline covers,entity attribute
CFIHOS-10000209,document type description,The full description of what the document type covers,entity attribute
CFIHOS-10000210,document type classification,A code that uniquely identifies a document type classification,entity attribute
CFIHOS-10000211,document type classification description,A description of what the document type classification represents,entity attribute
CFIHOS-10000212,asset type description,A description of what the asset type represents,entity attribute
CFIHOS-10000213,documentation representation type description,A description of what the document representation type is or represents,entity attribute
CFIHOS-10000214,document format code,A code that uniquely identifies a format that a document can take,entity attribute
CFIHOS-10000215,document format description,A description of what the document format represents,entity attribute
CFIHOS-10000216,document review type description,A description of what the document review type represents,entity attribute
CFIHOS-10000222,source standard description,The description of what that reference standard represents or covers,entity attribute
CFIHOS-10000223,source standard still to be completed indicator,"An indicator whether the source standard is complete, or if it is still evolving and needs to be completed",entity attribute
CFIHOS-10000224,tag or equipment class synonym name,A name that can be used as synonym for a tag or equipment class,entity attribute
CFIHOS-10000230,life cycle activity class code,A code that uniquely identifies a class of activities in the life cycle of a capital asset,entity attribute
CFIHOS-10000231,life cycle activity class description,A description of what the life cycle activity class represents,entity attribute
CFIHOS-10000232,application condition code,A code that uniquely identifies an application condition,entity attribute
CFIHOS-10000233,application condition description,A description of what the application condition represents,entity attribute
CFIHOS-10000234,unit of measure dimension code,A code that uniquely identifies the unit of measure dimension,entity attribute
CFIHOS-10000235,unit of measure dimension name,The name of the unit of measure dimension,entity attribute
CFIHOS-10000236,property data type length,The maximum length that a property value may have in a pick list,entity attribute
CFIHOS-10000237,UNECE code,A code that uniquely identifies the UNECE unit of measure,entity attribute
CFIHOS-10000238,unit of measure name,The unique name which designates the unit,entity attribute
CFIHOS-10000239,unit of measure symbol,The symbol used to represent the unit of measure based on the Energistics UoM standard,entity attribute
CFIHOS-10000240,measurement system code,A code that uniquely identifies the measurement system,entity attribute
CFIHOS-10000241,measurement system name,The name under which the measurement system is known,entity attribute
CFIHOS-10000242,reason for deviating from standard unit of measure,The reason why the unit of measure as prescribed by the source standard as not been used to report the tag property value,entity attribute
CFIHOS-10000243,unit of measure synonym name,The name by which a unit of measure can alternatively be designated,entity attribute
CFIHOS-10000244,source standard section,Indicates the source standard section with the requirement for the property,entity attribute
CFIHOS-10000245,property name in source standard,The name of the property in the source system,entity attribute
CFIHOS-10000246,property relevant for equipment indicator,An indicator whether the property should be provided for a given equipment,entity attribute
CFIHOS-10000247,property relevant for model / part indicator,An indication whether the property must by provided by the EPC (or the manufacturer) for a given model,entity attribute
CFIHOS-10000248,tag property value,The value of the property for that tag,entity attribute
CFIHOS-10000249,model part property value,The value of the property for that model part,entity attribute
CFIHOS-10000250,equipment property value,The value of that property for this equipment.,entity attribute
CFIHOS-10000251,data type name,A description of what the data type code represents,entity attribute
CFIHOS-10000252,sending company name,The name of the company who has sent the transmittal,entity attribute
CFIHOS-10000253,referenced document number,The unique identifier for the 'document' according to the 'owner/operator' document numbering scheme,entity attribute
CFIHOS-10000254,referenced document revision code,A code used to identify the content of a document at a certain point in time,entity attribute
CFIHOS-10000255,storage media description,A description of what the storage media represents,entity attribute
CFIHOS-10000256,tag or equipment class name,The full name of the tag or equipment class,entity attribute
CFIHOS-10000257,parent tag or equipment class name,The full name of the tag or equipment class,entity attribute
CFIHOS-10000258,tag or equipment class definition,A definition of what the tag or equipment class is,entity attribute
CFIHOS-10000259,tag class indicator,An indication that the tag or equipment class is considered as a tag class,entity attribute
CFIHOS-10000260,equipment class indicator,An indication that the tag or equipment class is considered as an equipment class,entity attribute
CFIHOS-10000261,tag or equipment class existence reason description,An explanation of why the tag or equipment class was created / needed,entity attribute
CFIHOS-10000262,property is relevant for tag indicator,An indication that the property is relevant for tags associated with the class,entity attribute
CFIHOS-10000266,tag or equipment class relationship reason for mapping,The underlying reason why the tag class and the equipment class are related,entity attribute
