property group allowed for purpose CFIHOS unique code,property grouping or decomposition purpose CFIHOS unique code,property grouping purpose code,property grouping purpose description,source standard CFIHOS unique code,source standard code,property group CFIHOS unique code,property group code,property group description,property to group assignment CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,property CFIHOS unique code,property name,property sequence number,,,,,,,
CFIHOS-42000452,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000196,S704-FLD-343,Air-to-water heat exchanger,CFIHOS-44000021,CFIHOS-30000805,alternating current motor,CFIHOS-40000906,cold air temperature at rated power,,,,,,,,
CFIHOS-42000479,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000223,S704-FLD-376,Air-to-water heat exchanger,CFIHOS-44000022,CFIHOS-30000805,alternating current motor,CFIHOS-40000906,cold air temperature at rated power,,,,,,,,
CFIHOS-42000387,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000131,S703-FLD-328,General,CFIHOS-44000023,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,,,,,,,,
CFIHOS-42000409,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000153,S703-FLD-351,General,CFIHOS-44000024,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,,,,,,,,
CFIHOS-42000432,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000176,S704-FLD-318,General,CFIHOS-44000025,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,,,,,,,,
CFIHOS-42000459,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000203,S704-FLD-351,General,CFIHOS-44000026,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,,,,,,,,
CFIHOS-42000256,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000234,S733-FLD-243,General information,CFIHOS-44000027,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,,,,,,,,
CFIHOS-42000452,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000196,S704-FLD-343,Air-to-water heat exchanger,CFIHOS-44000028,CFIHOS-30000805,alternating current motor,CFIHOS-40001348,cooling water specification,,,,,,,,
CFIHOS-42000479,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000223,S704-FLD-376,Air-to-water heat exchanger,CFIHOS-44000029,CFIHOS-30000805,alternating current motor,CFIHOS-40001348,cooling water specification,,,,,,,,
CFIHOS-42000405,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000149,S703-FLD-346,Surface protection,CFIHOS-44000030,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,,,,,,,,
CFIHOS-42000426,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000170,S703-FLD-369,Surface protection,CFIHOS-44000031,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,,,,,,,,
CFIHOS-42000454,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000198,S704-FLD-345,Surface protection,CFIHOS-44000032,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,,,,,,,,
CFIHOS-42000481,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000225,S704-FLD-378,Surface protection,CFIHOS-44000033,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,,,,,,,,
CFIHOS-42000502,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000249,S733-FLD-99,Surface protection,CFIHOS-44000034,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,,,,,,,,
CFIHOS-42000254,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000232,S733-FLD-170,Purchaser information,CFIHOS-44000035,CFIHOS-30000805,alternating current motor,CFIHOS-40000929,country region,,,,,,,,
CFIHOS-42000433,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000177,S704-FLD-319,Driven equipment interface,CFIHOS-44000036,CFIHOS-30000805,alternating current motor,CFIHOS-40001358,coupling hub fit,,,,,,,,
CFIHOS-42000460,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000204,S704-FLD-352,Driven equipment interface,CFIHOS-44000037,CFIHOS-30000805,alternating current motor,CFIHOS-40001358,coupling hub fit,,,,,,,,
CFIHOS-42000448,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000192,S704-FLD-337,Bearings (general),CFIHOS-44000038,CFIHOS-30000805,alternating current motor,CFIHOS-40001346,coupling insulation,,,,,,,,
CFIHOS-42000475,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000219,S704-FLD-370,Bearings (general),CFIHOS-44000039,CFIHOS-30000805,alternating current motor,CFIHOS-40001346,coupling insulation,,,,,,,,
CFIHOS-42000433,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000177,S704-FLD-319,Driven equipment interface,CFIHOS-44000040,CFIHOS-30000805,alternating current motor,CFIHOS-40000067,coupling type,,,,,,,,
CFIHOS-42000460,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000204,S704-FLD-352,Driven equipment interface,CFIHOS-44000041,CFIHOS-30000805,alternating current motor,CFIHOS-40000067,coupling type,,,,,,,,
CFIHOS-42000399,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000143,S703-FLD-340,Terminal box,CFIHOS-44000042,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,,,,,,,,
CFIHOS-42000420,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000164,S703-FLD-363,Terminal box,CFIHOS-44000043,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,,,,,,,,
CFIHOS-42000445,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000189,S704-FLD-334,Space heater terminal box,CFIHOS-44000044,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,,,,,,,,
CFIHOS-42000472,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000216,S704-FLD-367,Space heater terminal box,CFIHOS-44000045,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,,,,,,,,
CFIHOS-42000465,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000209,S704-FLD-358,Operating performance,CFIHOS-44000046,CFIHOS-30000805,alternating current motor,CFIHOS-40000916,current at lower limit continuous operating speed at maximum torque,,,,,,,,
CFIHOS-42000465,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000209,S704-FLD-358,Operating performance,CFIHOS-44000047,CFIHOS-30000805,alternating current motor,CFIHOS-40000915,current at upper limit continuous operating speed at maximum torque,,,,,,,,
CFIHOS-42000447,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000191,S704-FLD-336,Differential protection,CFIHOS-44000048,CFIHOS-30000805,alternating current motor,CFIHOS-40001368,current transformer class,,,,,,,,
CFIHOS-42000474,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000218,S704-FLD-369,Differential protection,CFIHOS-44000049,CFIHOS-30000805,alternating current motor,CFIHOS-40001368,current transformer class,,,,,,,,
CFIHOS-42000447,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000191,S704-FLD-336,Differential protection,CFIHOS-44000050,CFIHOS-30000805,alternating current motor,CFIHOS-40001357,current transformer construction type,,,,,,,,
CFIHOS-42000474,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000218,S704-FLD-369,Differential protection,CFIHOS-44000051,CFIHOS-30000805,alternating current motor,CFIHOS-40001357,current transformer construction type,,,,,,,,
CFIHOS-42000447,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000191,S704-FLD-336,Differential protection,CFIHOS-44000052,CFIHOS-30000805,alternating current motor,CFIHOS-40001356,current transformer location,,,,,,,,
CFIHOS-42000474,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000218,S704-FLD-369,Differential protection,CFIHOS-44000053,CFIHOS-30000805,alternating current motor,CFIHOS-40001356,current transformer location,,,,,,,,
CFIHOS-42000447,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000191,S704-FLD-336,Differential protection,CFIHOS-44000054,CFIHOS-30000805,alternating current motor,CFIHOS-40001367,current transformer ratio,,,,,,,,
CFIHOS-42000474,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000218,S704-FLD-369,Differential protection,CFIHOS-44000055,CFIHOS-30000805,alternating current motor,CFIHOS-40001367,current transformer ratio,,,,,,,,
CFIHOS-42000393,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000137,S703-FLD-334,Starting performance,CFIHOS-44000056,CFIHOS-30000805,alternating current motor,CFIHOS-40001321,data for protection setting/power modelling requirements,,,,,,,,
CFIHOS-42000414,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000158,S703-FLD-357,Starting performance,CFIHOS-44000057,CFIHOS-30000805,alternating current motor,CFIHOS-40001321,data for protection setting/power modelling requirements,,,,,,,,
CFIHOS-42000393,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000137,S703-FLD-334,Starting performance,CFIHOS-44000058,CFIHOS-30000805,alternating current motor,CFIHOS-40001320,declared locked rotor current tolerance,,,,,,,,
CFIHOS-42000437,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000181,S704-FLD-324,Starting performance,CFIHOS-44000059,CFIHOS-30000805,alternating current motor,CFIHOS-40001320,declared locked rotor current tolerance,,,,,,,,
CFIHOS-42000393,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000137,S703-FLD-334,Starting performance,CFIHOS-44000060,CFIHOS-30000805,alternating current motor,CFIHOS-40000870,declared locked-rotor current at 100% rated voltage,,,,,,,,
CFIHOS-42000437,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000181,S704-FLD-324,Starting performance,CFIHOS-44000061,CFIHOS-30000805,alternating current motor,CFIHOS-40000870,declared locked-rotor current at 100% rated voltage,,,,,,,,
CFIHOS-42000393,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000137,S703-FLD-334,Starting performance,CFIHOS-44000062,CFIHOS-30000805,alternating current motor,CFIHOS-40000871,declared locked-rotor current at 80% rated voltage,,,,,,,,
CFIHOS-42000437,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000181,S704-FLD-324,Starting performance,CFIHOS-44000063,CFIHOS-30000805,alternating current motor,CFIHOS-40000871,declared locked-rotor current at 80% rated voltage,,,,,,,,
CFIHOS-42000393,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000137,S703-FLD-334,Starting performance,CFIHOS-44000064,CFIHOS-30000805,alternating current motor,CFIHOS-40000872,declared locked-rotor torque at 100% rated voltage,,,,,,,,
CFIHOS-42000393,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000137,S703-FLD-334,Starting performance,CFIHOS-44000065,CFIHOS-30000805,alternating current motor,CFIHOS-40000873,declared locked-rotor torque at 80% rated voltage,,,,,,,,
CFIHOS-42000452,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000196,S704-FLD-343,Air-to-water heat exchanger,CFIHOS-44000066,CFIHOS-30000805,alternating current motor,CFIHOS-40000487,design specification,,,,,,,,
CFIHOS-42000479,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000223,S704-FLD-376,Air-to-water heat exchanger,CFIHOS-44000067,CFIHOS-30000805,alternating current motor,CFIHOS-40000487,design specification,,,,,,,,
CFIHOS-42000447,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000191,S704-FLD-336,Differential protection,CFIHOS-44000068,CFIHOS-30000805,alternating current motor,CFIHOS-40001344,differential protection,,,,,,,,
CFIHOS-42000474,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000218,S704-FLD-369,Differential protection,CFIHOS-44000069,CFIHOS-30000805,alternating current motor,CFIHOS-40001344,differential protection,,,,,,,,
CFIHOS-42000388,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000132,S703-FLD-329,Duty,CFIHOS-44000070,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,,,,,,,,
CFIHOS-42000398,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000142,S703-FLD-339,Fan,CFIHOS-44000071,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,,,,,,,,
CFIHOS-42000410,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000154,S703-FLD-352,Duty,CFIHOS-44000072,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,,,,,,,,
CFIHOS-42000419,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000163,S703-FLD-362,Fan,CFIHOS-44000073,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,,,,,,,,
CFIHOS-42000433,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000177,S704-FLD-319,Driven equipment interface,CFIHOS-44000074,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,,,,,,,,
CFIHOS-42000460,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000204,S704-FLD-352,Driven equipment interface,CFIHOS-44000075,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,,,,,,,,
CFIHOS-42000488,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000235,S733-FLD-81,General,CFIHOS-44000076,CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,,,,,,,,
CFIHOS-42000500,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000247,S733-FLD-96,Mounting,CFIHOS-44000077,CFIHOS-30000805,alternating current motor,CFIHOS-40001375,drip cover requirement,,,,,,,,
CFIHOS-42000448,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000192,S704-FLD-337,Bearings (general),CFIHOS-44000078,CFIHOS-30000805,alternating current motor,CFIHOS-40001345,drive-end bearing insulation,,,,,,,,
CFIHOS-42000475,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000219,S704-FLD-370,Bearings (general),CFIHOS-44000079,CFIHOS-30000805,alternating current motor,CFIHOS-40001345,drive-end bearing insulation,,,,,,,,
CFIHOS-42000448,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000192,S704-FLD-337,Bearings (general),CFIHOS-44000080,CFIHOS-30000805,alternating current motor,CFIHOS-40001365,driven equipment bearing type,,,,,,,,
CFIHOS-42000475,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000219,S704-FLD-370,Bearings (general),CFIHOS-44000081,CFIHOS-30000805,alternating current motor,CFIHOS-40001365,driven equipment bearing type,,,,,,,,
CFIHOS-42000441,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000185,S704-FLD-328,Motor construction,CFIHOS-44000082,CFIHOS-30000805,alternating current motor,CFIHOS-40000494,dry weight,,,,,,,,
CFIHOS-42000468,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000212,S704-FLD-361,Motor construction,CFIHOS-44000083,CFIHOS-30000805,alternating current motor,CFIHOS-40000494,dry weight,,,,,,,,
CFIHOS-42000388,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000132,S703-FLD-329,Duty,CFIHOS-44000084,CFIHOS-30000805,alternating current motor,CFIHOS-40000860,duty point shaft power,,,,,,,,
CFIHOS-42000410,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000154,S703-FLD-352,Duty,CFIHOS-44000085,CFIHOS-30000805,alternating current motor,CFIHOS-40000860,duty point shaft power,,,,,,,,
CFIHOS-42000433,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000177,S704-FLD-319,Driven equipment interface,CFIHOS-44000086,CFIHOS-30000805,alternating current motor,CFIHOS-40000860,duty point shaft power,,,,,,,,
CFIHOS-42000460,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000204,S704-FLD-352,Driven equipment interface,CFIHOS-44000087,CFIHOS-30000805,alternating current motor,CFIHOS-40000860,duty point shaft power,,,,,,,,
CFIHOS-42000394,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000138,S703-FLD-335,Operating performance,CFIHOS-44000088,CFIHOS-30000805,alternating current motor,CFIHOS-40000495,efficiency,,,,,,,,
CFIHOS-42000415,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000159,S703-FLD-358,Operating performance,CFIHOS-44000089,CFIHOS-30000805,alternating current motor,CFIHOS-40000495,efficiency,,,,,,,,
CFIHOS-42000438,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000182,S704-FLD-325,Operating performance,CFIHOS-44000090,CFIHOS-30000805,alternating current motor,CFIHOS-40000495,efficiency,,,,,,,,
CFIHOS-42000394,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000138,S703-FLD-335,Operating performance,CFIHOS-44000091,CFIHOS-30000805,alternating current motor,CFIHOS-40000880,efficiency at 100% rated output,,,,,,,,
CFIHOS-42000415,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000159,S703-FLD-358,Operating performance,CFIHOS-44000092,CFIHOS-30000805,alternating current motor,CFIHOS-40000880,efficiency at 100% rated output,,,,,,,,
CFIHOS-42000493,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000240,S733-FLD-88,Operating performance,CFIHOS-44000093,CFIHOS-30000805,alternating current motor,CFIHOS-40000880,efficiency at 100% rated output,,,,,,,,
