CFIHOS unique code,source standard code,source standard description,source standard still to be completed indicator,
CFIHOS-90000079,ISO 10437:2003,"PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — STEAM TURBINES — SPECIAL-PURPOSE APPLICATIONS",no,
CFIHOS-90000080,ISO 10438-1:2007,"Lubrication, shaft-sealing and control-oil systems and auxiliaries — Part 1: General requirements",yes,
CFIHOS-90000081,ISO 10439-2:2015,"PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — AXIAL AND CENTRIFUGAL COMPRESSORS AND EXPANDER-COMPRESSORS — PART 2: NON-INTEGRALLY GEARED CENTRIFUGAL AND AXIAL COMPRESSORS",no,
CFIHOS-90000082,ISO 10440-1:2007,"Petroleum, petrochemical and natural gas industries — Rotary-type positive-displacement compressors — Part 1: Process compressors",no,
CFIHOS-90000083,ISO 10441:2007,Flexible couplings for mechanical power transmission — Special-purpose applications,yes,
CFIHOS-90000084,ISO 13631:2002,Petroleum and natural gas industries — Packaged reciprocating gas compressors,yes,
CFIHOS-90000085,ISO 13705:2012,Fired heaters for general refinery service,yes,
CFIHOS-90000086,ISO 13706:2011,Air-cooled heat exchangers,yes,
CFIHOS-90000087,ISO 13707:2000,PETROLEUM AND NATURAL GAS INDUSTRIES — RECIPROCATING COMPRESSORS,no,
CFIHOS-90000088,ISO 13709:2009,"Centrifugal pumps for petroleum, petrochemical and natural gas industries",yes,
CFIHOS-90000089,ISO 13880:1999,Content and drafting of a technical specification,yes,
CFIHOS-90000090,ISO 14224:2016,"PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — COLLECTION AND EXCHANGE OF RELIABILITY AND MAINTENANCE DATA FOR EQUIPMENT",no,
CFIHOS-90000091,ISO 15348:2002,PIPEWORK — METAL BELLOWS EXPANSION JOINTS — GENERAL [WITHDRAWN],no,
CFIHOS-90000092,ISO 15547-1:2005,Plate-type heat exchangers — Part 1: Plate-and-frame heat exchangers,yes,
CFIHOS-90000093,ISO 1680:2013,Acoustics — Test code for the measurement of airborne noise emitted by rotating electrical machines,yes,
CFIHOS-90000094,ISO 16812:2019,Shell-and-tube heat exchangers,yes,
CFIHOS-90000095,ISO 19901-5:2016,PETROLEUM AND NATURAL GAS INDUSTRIES — SPECIFIC REQUIREMENTS FOR OFFSHORE STRUCTURES — PART 5: WEIGHT CONTROL DURING ENGINEERING AND CONSTRUCTION,no,
CFIHOS-90000096,ISO 21049:2004,Pumps — Shaft sealing systems for centrifugal and rotary pumps,yes,
CFIHOS-90000097,ISO 23251:2019,"PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — PRESSURE-RELIEVING AND DEPRESSURING SYSTEMS",no,
CFIHOS-90000098,ISO 25457:2008,Flare details for general refinery and petrochemical service,yes,
CFIHOS-90000099,ISO 28300:2008,"PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — VENTING OF ATMOSPHERIC AND LOW-PRESSURE STORAGE TANKS",no,
CFIHOS-90000100,ISO 3046-1:2002,"Reciprocating internal combustion engines — Performance — Part 1: Declarations of power, fuel…",yes,
CFIHOS-90000102,ISO 3183:2019,PETROLEUM AND NATURAL GAS INDUSTRIES — STEEL PIPE FOR PIPELINE TRANSPORTATION SYSTEMS,yes,
CFIHOS-90000103,ISO 8528-1:2018,"RECIPROCATING INTERNAL COMBUSTION ENGINE DRIVEN ALTERNATING CURRENT GENERATING SETS — PART 1: APPLICATION, RATINGS AND PERFORMANCE",no,
CFIHOS-90000106,OCIMF MLA4:2019,Design and Construction Specification for Marine Loading Arms (MLA4),no,
CFIHOS-90000108,API Std 674:2016,Positive Displacement Pumps—Reciprocating,yes,
CFIHOS-90000109,IOGP S-701:2020,AC Uninterruptible Power Systems (UPS),yes,
CFIHOS-90000110,IOGP S-702:2020,DC Uninterruptible Power Systems (UPS),yes,
CFIHOS-90000111,IOGP S-704:2021,High Voltage Three-phase Cage Induction Motors,yes,
CFIHOS-90000112,IOGP S-707:2020,Actuators for On-off Valves,yes,
CFIHOS-90000113,IOGP S-716:2021,Small Bore Tubing and Fittings,yes,
CFIHOS-90000114,IOGP S-720:2020,Transformers,yes,
CFIHOS-90000115,IOGP S-722:2020,Flare Package,yes,
CFIHOS-90000116,IOGP S-723:2020,Electric Process Heaters,yes,
CFIHOS-90000117,IOGP S-724:2021,Subsea Fasteners (Alloy and Carbon Steel Bolting),yes,
CFIHOS-90000118,IOGP S-725:2021,Subsea Fasteners (Corrosion-resistant Bolting),yes,
CFIHOS-90000119,IOGP S-726:2021,Recommended Practice for Application of Subsea Fasteners,yes,
CFIHOS-90000120,IOGP S-728:2021,Reciprocating Positive Displacement Pumps,yes,
CFIHOS-90000121,IOGP S-730:2021,Flanged Steel Pressure-relief Valves,yes,
CFIHOS-90000122,IOGP S-732:2020,Low Voltage Motor Control Centres,yes,
CFIHOS-90000123,IOGP S-734:2020,AC Uninterruptible Power Supply (UPS) System,yes,
CFIHOS-90000124,IOGP S-738:2020,Insulation for Piping and Equipment,yes,
CFIHOS-90000125,IOGP S-740:2020,Batteries (IEC),yes,
CFIHOS-90000126,NFPA 750:2019,Standard on Water Mist Fire Protection Systems for application in the petroleum and natural gas industries.,yes,
CFIHOS-90000128,DIRECTIVE 94/9/EC:1994,Equipment and protective systems intended for use in potentially explosive atmospheres,no,
CFIHOS-90000129,EN 60079-0:2018,Explosive atmospheres - part 0: equipment - general requirements,no,
CFIHOS-90000130,NFPA 70:2020,National electrical code,no,
CFIHOS-90000131,API Recommended Practice 615:2016,Valve selection guide,no,
CFIHOS-90000132,ISO 3977-5:2001,Gas turbines - procurement - part 5: applications for petroleum and natural gas industries,no,
CFIHOS-90000133,ISO 13710:2004,"Petroleum, petrochemical and natural gas industries — reciprocating positive displacement pumps",no,
CFIHOS-90000134,IEC 60076-2:2011,Power transformers – part 2: temperature rise for liquid-immersed transformers,no,
CFIHOS-90000135,EN 60079-14:2016,"Explosive atmospheres part 14: electrical installations design, selection and erection",no,
CFIHOS-90000136,ISO 3166-1:2020,Codes for the representation of names of countries and their subdivisions,no,
CFIHOS-90000137,ISO 639-1:2002,Codes for the representation of names of languages — part 1: alpha-2 code,no,
CFIHOS-90000138,ANSI/CEMA 350-2015,Screw Conveyors For Bulk Materials,no,
CFIHOS-90000139,API Std 614:2007,"Lubrication, Shaft-Sealing and Oil-Control Systems and Auxiliaries",no,
CFIHOS-90000140,API Recommended Practice 13C:2014,Recommended Practice on Drilling Fluid Processing Systems Evaluation,no,
CFIHOS-90000141,API Recommended Practice 7L:1995,"Procedures for Inspection, Maintenance, Repair, and Remanufacture of Drilling Equipment",no,
CFIHOS-90000142,API Recommended Practice 7L:2006,"Procedures for Inspection, Maintenance, Repair, and Remanufacture of Drilling Equipment",no,
CFIHOS-90000143,API Recommended Practice 8B:2014,"Recommended Practice for Procedures for Inspections, Maintenance, Repair, and Remanufacture of Hoisting Equipment",no,
CFIHOS-90000144,API Spec 16F:2017,Specification for Marine Drilling Riser Equipment,no,
CFIHOS-90000145,API Spec 4F:2020,Specification for Drilling and Well Servicing Structures,no,
CFIHOS-90000146,API Spec 7-1:2004,Specification for Rotary Drill Stem Elements,no,
CFIHOS-90000147,ISO 12944-2:2017,Paints and varnishes - Corrosion protection of steel structures by protective paint systems - Part 2: Classification of environments,no,
CFIHOS-90000148,API Std 53:2018,Well Control Equipment Systems for Drilling Wells,no,
CFIHOS-90000149,API Std 64:2017,Diverter Equipment Systems,no,
CFIHOS-90000150,Machinery Directive 2006/42/EC,Machinery Directive,no,
CFIHOS-90000158,BS 436-5:1997,Spur and helical gears - Definitions and allowable values of deviations relevant to radial composite deviations and runout information,no,
CFIHOS-90000159,BS 5950-1:2000,Structural use of steelwork in building - Code of practice for design. Rolled and welded sections,no,
CFIHOS-90000160,BS 7608+A1:2015,Guide to fatigue design and assessment of steel products,no,
CFIHOS-90000161,GCRT5033 Iss 2,"Terminal Tracks - Requirements for Buffer Stops, Arresting Devices and End Impact Walls",no,
CFIHOS-90000162,GIRT7002 Iss 1,"Acceptance of Systems, Equipment and Materials for use in Railtrack Controlled Infrastructure",no,
CFIHOS-90000163,ISO 16368:2010,"Mobile elevating work platforms — Design, calculations, safety requirements and test methods",no,
CFIHOS-90000164,ISO 6707-1:2020,Buildings and civil engineering works — Vocabulary — Part 1: General terms,no,
CFIHOS-90000165,The Ionising Radiations Regulations 2017,The Ionising Radiations Regulations 2017,no,
CFIHOS-90000166,API Recommended Practice 500:2012,"Recommended Practice for Classification of Locations for Electrical Installations at Petroleum Facilities Classified as Class I, Division 1 and Division 2",no,
CFIHOS-90000167,API Spec 7K:2015,Drilling and Well Servicing Equipment,no,
CFIHOS-90000168,IOGP Report 544:2016,Standardization of barrier definitions - Supplement to Report 415,no,
CFIHOS-90000169,API Std 671:2020,"Special-Purpose Couplings for Petroleum, Chemical, and Gas Industry Services",no,
CFIHOS-90000170,API Spec 7-1:2006,Specification for Rotary Drill Stem Elements,no,
CFIHOS-90000171,API Spec 17D:2021,Specification for Subsea Wellhead and Tree Equipment,no,
CFIHOS-90000172,Directive 2014/68/EU,Pressure equipment,no,
CFIHOS-90000173,The Electricity at Work Regulations 1989,The Electricity at Work Regulations 1989,no,
CFIHOS-90000174,PED 2014/68/EU,Pressure Equipment Directive (PED),no,
CFIHOS-90000175,IEC 62550:2017,Spare parts provisioning,yes,
CFIHOS-90000177,CFIHOS,This entry is used to represent data that is either (1) from earlier CFIHOS versions where a source standard justification for the information was not populated (intent is that these will reduce over time as a relevant source standard is identified) or (2) entries for which there is no available source standard but industry practice is recognised by the CFIHOS community.,yes,
CFIHOS-90000178,BS EN 15804:2012+A2:2019,Sustainability of construction works. Environmental product declarations. Core rules for the product category of construction products,no,
CFIHOS-90000179,ISO 21930:2017,Core rules for environmental product declarations of construction products and services,no,
CFIHOS-90000180,Pathfinder Framework Version 2.0,Guidance for the Accounting and Exchange of Product Life Cycle Emissions,no,
CFIHOS-90000181,API Std 685:2022,"Sealless Centrifugal Pumps for Petroleum, Petrochemical, and Gas Industry Process Service",no,
CFIHOS-90000182,ASME B73.3 - 2015,Specification for Sealless Horizontal End Suction Centrifugal Pumps for Chemical Process,no,
CFIHOS-90000183,ANSI/ISA-75.10.01-2013,General Requirements for Clamp or Pinch Valves,no,
CFIHOS-90000184,IEC 62271-111:2019,High-voltage switchgear and controlgear - Part 111: Automatic circuit reclosers for alternating current systems up to and including 38 kV,no,
CFIHOS-90000185,API Std 663:2022,Hairpin Type Heat Exchangers,no,
CFIHOS-90000186,API 6D:2021,Specification for Valves,no,
CFIHOS-90000187,API Spec 11E:2022,Pumping Units,no,
CFIHOS-90000188,ASME BPVC Section VIII-1,"ASME Rules for Construction of Pressure Vessels, Section VIII, Division 1",no,
CFIHOS-90000189,BS 8004:2015+A1:2020,Code of practice for foundations,no,
CFIHOS-90000190,API Std 663:2014,Hairpin Type Heat Exchangers,no,
CFIHOS-90000191,IEEE 1531-2020,IEEE Guide for the Application and Specification of Harmonic Filters,no,
CFIHOS-90000192,IEEE 519-2014,IEEE Recommended Practice and Requirements for Harmonic Control in Electric Power Systems,no,
CFIHOS-90000193,API Spec 12L:2008,Specification for Vertical and Horizontal Emulsion Treaters,no,
CFIHOS-90000194,API Recommended Practice 14C:2017,"Analysis, Design, Installation, and Testing of Safety Systems for Offshore Production Facilities",no,
CFIHOS-90000195,API Std 675:2012,"Positive Displacement Pumps—Controlled Volume for Petroleum, Chemical, and Gas Industry Services",no,
CFIHOS-90000196,API Recommended Practice 576:2017,Inspection of Pressure-relieving Devices,no,
CFIHOS-90000197,API Std 668:2018,Brazed Aluminum Plate-fin Heat Exchangers,no,
CFIHOS-90000198,ISO 7149:1982,Continuous handling equipment,no,
CFIHOS-90000199,ISO/TS 15926-4:2007,Integration of life-cycle data for process plants including oil and gas production facilities,no,
CFIHOS-90000200,ASME PTC 53-2022,Mechanical and Thermal Energy Storage Systems - Performance Test Codes,no,
CFIHOS-90000201,IEC 62282-3-1:2007,Fuel cell technologies - Part 3-1: Stationary fuel cell power systems - Safety,no,
CFIHOS-90000202,API Std 2CCU:2017,"Improved design, manufacture, inspection and testing of Cargo Carrying Units.",no,
CFIHOS-90000203,API Std 612:2020,"Petroleum, Petrochemical, and Natural Gas Industries—Steam Turbines— Special-purpose Applications",no,
CFIHOS-90000204,API Recommended Practice 1631:1997,Interior Lining of Underground Storage Tanks,no,
CFIHOS-90000205,API Std 681:2021,"Liquid Ring Compressors and Vacuum Pumps in Petroleum, Chemical, and Gas Industry Services",no,
CFIHOS-90000206,ISO 1049:1975,Continuous mechanical handling equipment for loose bulk materials,no,
CFIHOS-90000207,UFC 4-152-01,Design: Piers and Wharves,no,
CFIHOS-90000208,ICAO Annex 14 Vol I:2022,Aerodrome Design and Operations,no,
CFIHOS-90000209,ICAO Annex 14 Vol II:2020,Heliports,no,
CFIHOS-90000210,AC 150/5345-27E:2013,Specification for Wind Cone Assemblies,no,
CFIHOS-90000211,IEC 61400-1:2019,Wind energy generation systems - Part 1: Design requirements,no,
CFIHOS-90000212,NFPA 750:2023,Standard On Water Mist Fire Protection Systems.,no,
CFIHOS-90000213,API Std 611:2022,"General-purpose Steam Turbines for Petroleum, Chemical, and Gas Industry Services",no,
CFIHOS-90000214,API Std 537:2017,"Flare Details for Petroleum, Petrochemical, and Natural Gas Industries",no,
CFIHOS-90000215,IEC 62830-5:2021,Semiconductor devices - Semiconductor devices for energy harvesting and generation - Part 5: Test method for measuring generated power from flexible thermoelectric devices,no,
CFIHOS-90000216,IEC 60076-1:2011,Power transformers - Part 1: General,yes,
CFIHOS-90000217,IEC 62040-5-3:2016,Uninterruptible power systems (UPS) - Part 5-3: DC output UPS - Performance and test requirements,yes,
CFIHOS-90000218,IEEE 841:2021,"IEEE Standard for Petroleum and Chemical Industry--Premium-Efficiency, Severe-Duty, Totally Enclosed Squirrel Cage Induction Motors from 0.75 kW to 370 kW (1 hp to 500 hp)",yes,
CFIHOS-90000219,IEEE C37.20.1:2020,"IEEE Standard for Metal-Enclosed Low-Voltage (1000 V ac and below, 3200 V dc and below) Power Circuit Breaker Switchgear - Amendment 1: Control and Secondary Circuits and Devices, and All Wiring",yes,
CFIHOS-90000220,IOGP S-612:2022,Air Compressor – Integrally Geared Centrifugal (API Std 672) – Version 2.0,yes,
CFIHOS-90000221,IOGP S-619:2022,Pressure Vessels – Unfired Fusion Welded – Version 2.0,yes,
CFIHOS-90000222,IOGP S-711:2021,Diesel Engines,yes,
CFIHOS-90000223,IOGP S-718:2022,Basic Process Measurement Instruments,yes,
CFIHOS-90000224,IOGP S-727:2021,Metal-Enclosed LV Power Circuit Breaker Switchgear (IEEE Std C37.20.1),yes,
CFIHOS-90000225,IOGP S-729:2022,Control Valves,yes,
CFIHOS-90000226,IOGP S-731:2021,Operator & Mounting Kits for Subsea Pipeline Valves (API),yes,
CFIHOS-90000227,IOGP S-735:2022,Casing & Tubing (API),yes,
CFIHOS-90000228,IOGP S-736:2021,LV AC Drives (IEC),yes,
CFIHOS-90000229,IOGP S-737:2021,Deluge Skids,yes,
CFIHOS-90000230,IOGP S-739:2022,Pressure Regulators,yes,
CFIHOS-90000231,IOGP S-741:2021,DC UPS And Associated Batteries (NEMA PE5),yes,
CFIHOS-90000232,IOGP S-742:2022,"MV AC Contactors, Controllers, and Control Centers (UL 347)",yes,
CFIHOS-90000233,IOGP S-747:2022,HV AC Drive Systems,yes,
CFIHOS-90000234,IOGP S-750:2023,Extra-high Voltage Gas-insulated Switchgear,yes,
CFIHOS-90000235,IOGP S-753:2023,Battery Energy Storage Systems (BESS),yes,
CFIHOS-90000236,IOGP S-754:2023,ANSI Transformers (IEEE),yes,
CFIHOS-90000237,NEMA PE5:1997,NEMA PE5,yes,
CFIHOS-90000238,PIP ELSAP04:2020,Uninterruptible Power Supply (UPS) System Specification,yes,
CFIHOS-90000239,UL845:2021,UL Standard for Safety Motor Control Centers,yes,
CFIHOS-90000240,IOGP S-560:2022,LV Switchgear & Controlgear to IEC 61439-1&2,yes,
CFIHOS-90000241,IOGP S-561:2023,Subsea Trees (API),yes,
CFIHOS-90000242,IOGP S-620:2022,HV Switchgear and Controlgear,yes,
CFIHOS-90000243,NACE MR0175-2002,Standard Material Requirements - Sulfide Stress Cracking Resistant Metallic Materials For Oilfield Equipment,yes,
CFIHOS-90000244,IEC 60051-1:2016,Direct acting indicating analogue electrical measuring instruments and their accessories - Part 1: Definitions and general requirements common to all parts,no,
CFIHOS-90000245,IEC 62057-1:2023,"Electrical energy meters - Test equipment, techniques and procedures - Part 1: Stationary meter test units (MTUs)",no,
CFIHOS-90000246,IEC TR 61641:2014,Enclosed low-voltage switchgear and controlgear assemblies - Guide for testing under conditions of arcing due to internal fault,no,
CFIHOS-90000247,IEC 62271-1:2017,High-voltage switchgear and controlgear - Part 1: Common specifications for alternating current switchgear and controlgear,no,
CFIHOS-90000248,IEC 62271-3:2015,High-voltage switchgear and controlgear - Part 3: Digital interfaces based on IEC 61850,no,
CFIHOS-90000249,ISO 12944-5:2019,Paints and varnishes - Corrosion protection of steel structures by protective paint systems - Part 5: Protective paint systems,no,
CFIHOS-90000251,Directive 2014/34/EU,Equipment and protective systems intended for use in potentially explosive atmospheres,no,
CFIHOS-90000252,Standards of the Tubular Exchanger Manufacturers Association Tenth Edition,Tubular Exchanger Manufacturers Association (TEMA) Standard 10th Edition (2019),no,
CFIHOS-90000253,ISO/IEC 646:1991,Information technology — ISO 7-bit coded character set for information interchange,no,
CFIHOS-90000254,ASTM D5083-17,Standard Test Method for Tensile Properties of Reinforced Thermosetting Plastics Using Straight-Sided Specimens,no,
CFIHOS-90000255,ASTM B211/B211M-23,"Standard Specification for Aluminum and Aluminum-Alloy Rolled or Cold Finished Bar, Rod, and Wire",no,
CFIHOS-90000256,ASTM A1016/A1016M-23,"Standard Specification for General Requirements for Ferritic Alloy Steel, Austenitic Alloy Steel, and Stainless Steel Tubes",no,
CFIHOS-90000257,ASTM A36/A36M-19,Standard Specification for Carbon Structural Steel,no,
CFIHOS-90000258,ASTM A48/A48M-22,Standard Specification for Gray Iron Castings,no,
CFIHOS-90000259,ASTM A27/A27M-20,"Standard Specification for Steel Castings, Carbon, for General Application",no,
CFIHOS-90000260,ASTM A387/A387M-17a(2023),"Standard Specification for Pressure Vessel Plates, Alloy Steel, Chromium-Molybdenum",no,
CFIHOS-90000261,ASTM A217/A217M-22,"Standard Specification for Steel Castings, Martensitic Stainless and Alloy, for Pressure-Containing Parts, Suitable for High-Temperature Service",no,
CFIHOS-90000262,ASTM A234/A234M-23a,Standard Specification for Piping Fittings of Wrought Carbon Steel and Alloy Steel for Moderate and High Temperature Service,no,
CFIHOS-90000263,ASTM A193/A193M-23,Standard Specification for Alloy-Steel and Stainless Steel Bolting for High Temperature or High Pressure Service and Other Special Purpose Applications,no,
CFIHOS-90000264,ASTM A194/A194M-23,"Standard Specification for Carbon Steel, Alloy Steel, and Stainless Steel Nuts for Bolts for High Pressure or High Temperature Service, or Both",no,
CFIHOS-90000265,ASTM B584-22,Standard Specification for Copper Alloy Sand Castings for General Applications,no,
CFIHOS-90000266,ASTM A536-84(2019)e1,Standard Specification for Ductile Iron Castings,no,
CFIHOS-90000267,ASTM A240/A240M-23a,"Standard Specification for Chromium and Chromium-Nickel Stainless Steel Plate, Sheet, and Strip for Pressure Vessels and for General Applications",no,
CFIHOS-90000268,ASTM A789/A789M-22,Standard Specification for Seamless and Welded Ferritic/Austenitic Stainless Steel Tubing for General Service,no,
