CFIHOS unique code,section,object,entity name,property name,entity attribute name,definition,note / comment,example,identifier / mandatory / optional,format,constraint must be present in,data source,former section (if different from last published version),relationship verb
CFIHOS-10000393,,attribute:,special tool,shelf life,,The shelf life of the model part.,,Example : 1,Optional,NUM,,,,
CFIHOS-10000238,,attribute:,special tool,unit of measure name,shelf life unit of measure name,The unit of measure that uniquely identifies the shelf life duration.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies the value of
CFIHOS-00000153,A.3.20,entity:,consumable,,,"Any item which is expendable, may be regularly replaced and generally is not product specific, for example oil, grease, nuts, bolts and screws, gaskets, etc.",Definition inspired by IEC 62550 Spare parts provisioning.,,,,,Manufacturer/Vendor,,
CFIHOS-10000395,,attribute:,consumable,drawing position number,,Position / Item number of the item on the Manufacturer's Equipment drawing.,,Example : 001,Optional,Integer,,,,
CFIHOS-10000047,,attribute:,consumable,equipment class name,,The full name of the equipment class,,Example : control panel,Mandatory,"Text, max 100 characters",equipment class,,,defines the physical composition of
CFIHOS-10000158,,attribute:,consumable,manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,,Example : Flowserve,Optional,"Text, max 30 characters",model part,,,is subtype of
CFIHOS-10000192,,attribute:,consumable,model part description,,A description of the main function of the model part.,,Example : Control valve (Fieldbus),Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000159,,attribute:,consumable,model part name,,A unique name to identify the model part of the manufacturer,,Example : A4 V726 PN 40,Optional,"Text, max 100 characters",model part,,,is subtype of
CFIHOS-10000394,,attribute:,consumable,original model part manufacturer name,,The original model part manufacturer name if different.,,Example : SKF,Optional,"Text, max 30 characters",model part,,,original manufacturer and part are
CFIHOS-10000400,,attribute:,consumable,original model part name,,The original model part manufacturer part number if different.,,Example : W 619/2 X,Optional,"Text, max 100 characters",model part,,,original manufacturer and part are
CFIHOS-10000393,,attribute:,consumable,shelf life,,The shelf life of the model part.,,Example : 1,Optional,NUM,,,,
CFIHOS-10000238,,attribute:,consumable,unit of measure name,shelf life unit of measure name,The unit of measure that uniquely identifies the shelf life duration.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies the value of
CFIHOS-00000154,A.3.21,entity:,kit component,,,Defines the model parts that are included in a kit.,Definition inspired by IEC 62550 Spare parts provisioning.,,,,,Manufacturer/Vendor,,
CFIHOS-10000406,,attribute:,kit component,kit manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,It is sometimes extracted from maintenance management system. The owner / operator and the EPC company need to align on the name of companies.,Example : Flowserve,Identifier,"Text, max 30 characters",model part,,,is used as
CFIHOS-10000407,,attribute:,kit component,kit model part name,,A unique name to identify the model part of the manufacturer,"If the manufacturer creates a new generation of an existing model that affects the properties of it, and if the manufacturer does not change its model part name, then it should be suffixed here with the model date, to enable the capture of the new properties.",Example : A4 V726 PN 40,Identifier,"Text, max 100 characters",model part,,,is used as
CFIHOS-10000158,,attribute:,kit component,manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,,Example : Flowserve,Identifier,"Text, max 30 characters",kit,,,includes
CFIHOS-10000159,,attribute:,kit component,model part name,,A unique name to identify the model part of the manufacturer,,Example : A4 V726 PN 40,Identifier,"Text, max 100 characters",kit,,,includes
CFIHOS-10000405,,attribute:,kit component,number of items in kit,,The number of the item within the kit.,,Example : 2,Mandatory,Integer,,,,
CFIHOS-00000090,A.4.00,entity:,tag or equipment class,,,A tag class or an equipment class,A tag or equipment class can be at the same time a tag class and an equipment class. The two are not mutually exclusive.,,,,,RDL,,
CFIHOS-10000042,,attribute:,tag or equipment class,abstract class indicator,,An indication whether the tag or equipment class is an aggregation of other tag or equipment classes and should not be used for associating properties,,Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000146,,attribute:,tag or equipment class,CFIHOS unique code,,"A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the tag or equipment class",,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000260,,attribute:,tag or equipment class,equipment class indicator,,An indication that the tag or equipment class is considered as an equipment class,,Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000257,,attribute:,tag or equipment class,parent tag or equipment class name,,The full name of the tag or equipment class,"The parent is actually mandatory for all classes, except the one at the top of the hierarchy.",Example : control panel,Optional,"Text, max 100 characters",tag or equipment class,,,parent class is specialised in child class
CFIHOS-10000259,,attribute:,tag or equipment class,tag class indicator,,An indication that the tag or equipment class is considered as a tag class,,Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000258,,attribute:,tag or equipment class,tag or equipment class definition,,A definition of what the tag or equipment class is,,Example : A panel containing full set of indicating devices and remote control units required for operation of a system or part of it,Mandatory,"Text, max 1026 characters",,,,
CFIHOS-10000261,,attribute:,tag or equipment class,tag or equipment class existence reason description,,An explanation of why the tag or equipment class was created / needed,"RDL management attribute, not shared contractually with contractors.",Example : Class requires maintenance during Operations.,Optional,"Text, max 255 characters",,,,
CFIHOS-10000256,,attribute:,tag or equipment class,tag or equipment class name,,The full name of the tag or equipment class,,Example : control panel,Identifier,"Text, max 100 characters",,,,
CFIHOS-00000034,A.4.01,entity:,tag class,,,A classification of tags according to the functions they are required to perform,The requirements for the tag class are expressed through the tag class properties,,,,,RDL,,
CFIHOS-10000045,,attribute:,tag class,equipment expected to be installed indicator,,An indication whether equipment are expected to be installed for tags that are associated with this tag class,,Example : No,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000040,,attribute:,tag class,tag class name,,The full name of the tag class,The initial set of values will be the CFIHOS unique ids that were assigned to tag classes.,Example : control panel,Identifier,"Text, max 100 characters",tag or equipment class,,,is subtype of
CFIHOS-10000099,,attribute:,tag class,tag number format,,An expression that represents the format of the tags belonging to the tag class,This allows companies to have specific tag formats.,Example : ####-P-####[A-Z],Optional,"Text, max 33 characters",,,,
CFIHOS-00000033,A.4.02,entity:,equipment class,,,"A classification of equipment and equipment models, according to its physical assembly of component(s)",,,,,,RDL,,
CFIHOS-10000047,,attribute:,equipment class,equipment class name,,The full name of the equipment class,,Example : control panel,Identifier,"Text, max 100 characters",tag or equipment class,,,is subtype of
CFIHOS-10000055,,attribute:,equipment class,spare part information required indicator,,An indication whether spare part information is required for equipment related to this class or not,,Example : No,Mandatory,Boolean (Yes/No),,,,
CFIHOS-00000050,A.4.03,entity:,tag class equipment class relationship,,,An equipment class that can be used to implement the function of a tag class,For example a Tag classified as a ''pump'' could have an equipment installed classified as a ''centrifugal pump'' or a ''rotary pump'' but it would not make sense to have a ''flow transmitter'' installed as this technology cannot satisfy the functional requirements of a pump.,,,,,RDL,,
CFIHOS-10000047,,attribute:,tag class equipment class relationship,equipment class name,,The full name of the tag or equipment class,,Example : control panel,Identifier,"Text, max 100 characters",equipment class,,,implements
CFIHOS-10000040,,attribute:,tag class equipment class relationship,tag class name,,The full name of the tag or equipment class,The initial set of values will be the CFIHOS unique ids that were assigned to tag classes.,Example : control panel,Identifier,"Text, max 100 characters",tag class,,,is implemented by
CFIHOS-10000266,,attribute:,tag class equipment class relationship,tag or equipment class relationship reason for mapping,,The underlying reason why the tag class and the equipment class are related,,Example : Types of pumps,Optional,"Text, max 255 characters",,,,
CFIHOS-00000093,A.4.04,entity:,non abstract tag or equipment class,,,A tag or equipment class that is not marked as abstract,,,,,,RDL,,
CFIHOS-10000256,,attribute:,non abstract tag or equipment class,tag or equipment class name,,The full name of the tag or equipment class,,Example : control panel,Identifier,"Text, max 100 characters",tag or equipment class,,,is subtype of
CFIHOS-00000091,A.4.05,entity:,tag or equipment class synonym,,,An alternate name used to designate a tag or equipment class,,,,,,RDL,,
CFIHOS-10000256,,attribute:,tag or equipment class synonym,tag or equipment class name,,The full name of the tag or equipment class,,Example : control panel,Mandatory,"Text, max 100 characters",tag or equipment class,,,may have
CFIHOS-10000224,,attribute:,tag or equipment class synonym,tag or equipment class synonym name,,A name that can be used as synonym for a tag or equipment class,,Example : pressure sensor,Identifier,"Text, max 100 characters",,,,
CFIHOS-00000061,A.4.06,entity:,source standard,,,"A standard used to define requirements like engineering, operations, etc.","In the RDL, this table only contains the entries for public standards.Owners / operators are expected to download them in their database, and then to ''complement'' that list with their own standards.",,,,,RDL,,
CFIHOS-10000053,,attribute:,source standard,source standard code,,"A code used to designate the standard used to define requirements like engineering, operations, etc.",,Example : ISO 13533,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000222,,attribute:,source standard,source standard description,,The description of what that reference standard represents or covers,,Example : drill through equipment,Optional,"Text, max 100 characters",,,,
CFIHOS-10000223,,attribute:,source standard,source standard still to be completed indicator,,"An indicator whether the source standard is complete, or if it is still evolving and needs to be completed",,Example : No,Mandatory,Boolean (Yes/No),,,,
CFIHOS-00000092,A.4.07,entity:,tag or equipment class source standard,,,A tag or equipment class whose engineering information is documented in a source standard,,,,,,RDL,,
CFIHOS-10000284,,attribute:,tag or equipment class source standard,application condition group code,,A code that uniquely identifies a group of application conditions,,Example : 1,Optional,"Text, max 40 characters",application condition group,,,is the condition for mapping
CFIHOS-10000053,,attribute:,tag or equipment class source standard,source standard code,,"A code used to designate the standard used to define requirements like engineering, operations, etc.",,Example : ISO 13533,Identifier,"Text, max 40 characters",source standard,,,engineers
CFIHOS-10000256,,attribute:,tag or equipment class source standard,tag or equipment class name,,The full name of the tag or equipment class,,Example : control panel,Identifier,"Text, max 100 characters",tag or equipment class,,,is engineered by
CFIHOS-00000132,A.4.08,entity:,source standard document and data requirement,,,"A requirement for document or data, as expressed in a source standard, irrespective of the equipment class","These Document and Data Requirements are of two kinds: 1) Design: Information generated during the design activity that has to be approved and reviewed by the purchaser. 2) Equipment: Information generated by the equipment manufacturer. This entity represents how to best manage this data, as all document and data requirements expressed in a standard are independent of the equipment classes the standard is covering. In the RDL, this table only contains the entries for document and data requirements as expressed in public standards. Owners / operators are expected to download them in their database, and then to complement that list with their own document and data requirements for their standards.",,,,,RDL,,
CFIHOS-10000146,,attribute:,source standard document and data requirement,CFIHOS unique code,,A code that uniquely identifies the source standard document and data requirement in CFIHOS.,,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000279,,attribute:,source standard document and data requirement,default for information number of weeks,,"The number of weeks that, by default, should be used by the vendor, vs the reference date, to provide documents containing this VDDR for final issue",,Example : 2,Optional,Integer,,,,
CFIHOS-10000280,,attribute:,source standard document and data requirement,default for information reference date,,A code that uniquely identifies a document submission reference date,,Example : WPTD,Optional,"Text, max 40 characters",submission reference date,,,is the default reference used for sharing the information of
CFIHOS-10000277,,attribute:,source standard document and data requirement,default issue for approval number of weeks,,"The number of weeks that, by default, should be used, by the vendor, vs the reference date, to provide documents containing this VDDR for approval.",,Example : 2,Optional,Integer,,,,
CFIHOS-10000278,,attribute:,source standard document and data requirement,default issue for approval reference date,,The reference date used for the approval,,Example : WPTD,Optional,"Text, max 40 characters",submission reference date,,,is the default reference used for the approval of
CFIHOS-10000275,,attribute:,source standard document and data requirement,default issue for review number of weeks,,"The number of weeks that, by default, should be used, by the vendor, vs the reference date, to provide documents containing this VDDR for review",,Example : 2,Optional,Integer,,,,
CFIHOS-10000276,,attribute:,source standard document and data requirement,default issue for review reference date,,The reference date used for the review,,Example : WPTD,Optional,"Text, max 40 characters",submission reference date,,,is the default reference used for the review of
CFIHOS-10000281,,attribute:,source standard document and data requirement,default required handover status code,,The required status of the document at handover time,,Example : ASB,Optional,"Text, max 40 characters",engineering status,,,is the default status required at hand over for
CFIHOS-10000282,,attribute:,source standard document and data requirement,default required translation indicator,,An indication whether a document needs to be translated (for regulatory reason or operation reasons) or not.,,Example : NO,Optional,Boolean (Yes/No),,,,
CFIHOS-10000274,,attribute:,source standard document and data requirement,default submit at delivery indicator,,An indicator whether document having for content this VDDR shall be delivered by the Vendor at the same time as the delivery of the material or service,,Example : Yes,Optional,Boolean (Yes/No),,,,
CFIHOS-10000272,,attribute:,source standard document and data requirement,default submit at proposal indicator,,An indicator whether documents having for content this VDDR shall be submitted by the Vendor during the ITT process. Or not,,Example : Yes,Optional,Boolean (Yes/No),,,,
CFIHOS-10000273,,attribute:,source standard document and data requirement,default submit for review indicator,,An indication whether documents having for content this requirement shall be submitted by the vendor for review or not.,,Example : Yes,Optional,Boolean (Yes/No),,,,
CFIHOS-10000365,,attribute:,source standard document and data requirement,deliverable format code,,A code that uniquely identifies the format of the deliverable,,Example : PDF,Optional,"Text, max 40 characters",deliverable format,,,is the format required for
CFIHOS-10000153,,attribute:,source standard document and data requirement,discipline code,,A code that uniquely identifies a discipline.,The discipline / document type documented from the RDL could be overwritten by the Owner / Operator.,Example : MP,Optional,"Text, max 2 characters",discipline,,,is used by
CFIHOS-10000291,,attribute:,source standard document and data requirement,document and data requirement group code,,A code that uniquely identifies the group to which a vendor document and data requirement belongs,,Example : Technical,Mandatory,"Text, max 40 characters",document and data requirement group,,,groups
CFIHOS-10000289,,attribute:,source standard document and data requirement,document and data requirement type code,,A code that uniquely identifies the type of document and data requirement,,Example : Design,Optional,"Text, max 40 characters",document and data requirement type,,,classifies
CFIHOS-10000100,,attribute:,source standard document and data requirement,document type short code,,A code that uniquely identifies a document type,,Example : 6067,Optional,"Text, max 4 characters",document type,,,is required for
CFIHOS-10000271,,attribute:,source standard document and data requirement,engineering standard source chapter,,The chapter of the engineering standard from which originates the VDDR,,Example : Annex 11,Optional,"Text, max 255 characters",,,,
CFIHOS-10000053,,attribute:,source standard document and data requirement,source standard code,,"A code used to designate the standard used to define requirements like engineering, operations, etc.",,Example : ISO 13533,Identifier,"Text, max 40 characters",source standard,,,specifies needs for
CFIHOS-10000283,,attribute:,source standard document and data requirement,source standard document and data requirement comment,,A remark that the originator of the document and data requirement for this source standard wanted to capture,,Example : Preliminary with proposal,Optional,"Text, max 255 characters",,,,
CFIHOS-10000270,,attribute:,source standard document and data requirement,source standard document and data requirement description,,"A precise description, as documented in the engineering standard, of the VDDR in term of what the content of the document shall be",,Example : The seal cross-sectional drawing shall include at least the following information:a) all seal components related to the order as well as pump components related to the seal.b) dimensions to properly verify the seal setting position.c) Pump dimensions interfacing with the seal.d) Seal boundary dimensions.e) Seal Chamber and gland-plate connection dimensions.f) Auxiliary system and utility specifications.g) Connecting dimensions for the auxiliary system and utilities.h) [...],Optional,"Text, max 2048 characters",,,,
CFIHOS-10000267,,attribute:,source standard document and data requirement,source standard document and data requirement number,,"A number, assigned sequentially, to associate the VDDR to the engineering standard",,Example : 11,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000268,,attribute:,source standard document and data requirement,source standard document and data requirement title,,"The title, as spelled in the engineering standard, of the VDDR",,Example : Anticipated thermal movements for major connections,Optional,"Text, max 150 characters",,,,
CFIHOS-10000269,,attribute:,source standard document and data requirement,source standard document and data requirement typical deliverable,,A short description of the information deliverable that would typically include this document and data requirement,"This field uses CFIHOS naming as much as possible, and is aligned as much as possible with the JIP33 library of typical deliverable.",Example : Quality Plan,Optional,"Text, max 150 characters",,,,
CFIHOS-00000069,A.4.09,entity:,application condition,,,A condition under which some document or data requirements have to be applied,,,,,,RDL,,
CFIHOS-10000232,,attribute:,application condition,application condition code,,A code that uniquely identifies an application condition,,Example : High Voltage,Identifier,"Text, max 100 characters",,,,
CFIHOS-10000233,,attribute:,application condition,application condition description,,A description of what the application condition represents,,Example : Indicates the voltage required.,Optional,"Text, max 255 characters",,,,
CFIHOS-10000288,,attribute:,application condition,application condition value,,The value against which a property must be compared to know if the application condition is met,,Example : 400,Optional,"Text, max 255 characters",,,,
CFIHOS-10000146,,attribute:,application condition,CFIHOS unique code,,A code that uniquely identifies the application condition in CFIHOS.,,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000286,,attribute:,application condition,comparison operator code,,A code that uniquely identifies the comparison operator,,Example : <=,Optional,"Text, max 2 characters",comparison operator,,,specifies the comparison of
CFIHOS-10000056,,attribute:,application condition,property name,,The name of the property the application condition refers to,,Example : normal operating pressure,Optional,"Text, max 100 characters",tag or equipment class property,,,is the subject of
CFIHOS-10000256,,attribute:,application condition,tag or equipment class name,,The full name of the non abstract tag or equipment class to which the property applies,,Example : control panel,Optional,"Text, max 100 characters",tag or equipment class property,,,is the subject of
CFIHOS-10000238,,attribute:,application condition,unit of measure name,,The unique name which designates the unit.,,Example : metre,Optional,"Text, max 90 characters",unit of measure,,,qualifies the value of
CFIHOS-00000104,A.4.10,entity:,source standard document and data requirement condition,,,The application of a given condition to a source standard document and data requirement,,,,,,RDL,,
CFIHOS-10000232,,attribute:,source standard document and data requirement condition,application condition code,,A code that uniquely identifies an application condition,,Example : High Voltage,Identifier,"Text, max 100 characters",application condition,,,applies to
CFIHOS-10000288,,attribute:,source standard document and data requirement condition,application condition value,,The value the condition must have for the documentation and data requirement to be applicable,,Example : 400,Mandatory,"Text, max 255 characters",,,,
CFIHOS-10000053,,attribute:,source standard document and data requirement condition,source standard code,,"A code used to designate the standard used to define requirements like engineering, operations, etc.",,Example : ISO 13533,Identifier,"Text, max 40 characters",source standard document and data requirement,,,is subject to
CFIHOS-10000293,,attribute:,source standard document and data requirement condition,source standard document and data requirement inclusion indicator,,An indication whether a source standard document and data requirement should be included or excluded of the condition is met,,Example : Yes,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000267,,attribute:,source standard document and data requirement condition,source standard document and data requirement number,,"A number, assigned sequentially, to associate the VDDR to the engineering standard",,Example : 11,Identifier,"Text, max 40 characters",source standard document and data requirement,,,is subject to
CFIHOS-00000100,A.4.11,entity:,document and data requirement type,,,A classification of the document and data requirements according to when / by whom the information is generated,,,,,,RDL Pick list,,
CFIHOS-10000289,,attribute:,document and data requirement type,document and data requirement type code,,A code that uniquely identifies the type of document and data requirement,,Example : Design,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000290,,attribute:,document and data requirement type,document and data requirement type description,,A description of what the document and data requirement represents,,Example : Information generated during the design activity that has to be approved and reviewed by the purchaser.,Mandatory,"Text, max 255 characters",,,,
CFIHOS-00000101,A.4.12,entity:,document and data requirement group,,,A classification of the document and data requirements according to their nature,This classification originates from JIP33.,,,,,RDL Pick list,,
CFIHOS-10000291,,attribute:,document and data requirement group,document and data requirement group code,,A code that uniquely identifies the group to which a vendor document and data requirement belongs,,Example : Technical,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000292,,attribute:,document and data requirement group,document and data requirement group name,,A description of what that group of vendor document and data requirements represents,,Example : Technical Information Deliverables,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000103,A.4.13,entity:,submission reference date,,,A reference date or point in time vs which some actions need to be accomplished,,,,,,RDL,,
CFIHOS-10000146,,attribute:,submission reference date,CFIHOS unique code,,A code that uniquely identifies the submission reference date in CFIHOS,,Example : CFIHOS-30000562,Mandatory,"Text, max 40 characters",,,,
CFIHOS-10000294,,attribute:,submission reference date,event type code,,A code that uniquely identifies the type of event of interest to CFIHOS,,Example : D,Mandatory,"Text, max 2 characters",event type,,,is the basis for
CFIHOS-10000296,,attribute:,submission reference date,submission reference date code,,A code that uniquely identifies a document submission reference date,,Example : WPTD,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000297,,attribute:,submission reference date,submission reference date name,,The name used to designate the submission reference date,,Example : Week Prior To Delivery,Optional,"Text, max 100 characters",,,,
CFIHOS-10000298,,attribute:,submission reference date,submission reference is after event type indicator,,An indicator whether the submission reference date is after the even type or not,,Example : Yes,Optional,Boolean (Yes/No),,,,
CFIHOS-10000238,,attribute:,submission reference date,unit of measure name,time unit of measure name,The unique name which designates the unit.,,Example : metre,Mandatory,"Text, max 90 characters",unit of measure,,,specifies the time unit of
CFIHOS-00000102,A.4.14,entity:,event type,,,A classification of events that are used as reference in the handover of information for capital facility projects,,,,,,RDL Pick list,,
CFIHOS-10000294,,attribute:,event type,event type code,,A code that uniquely identifies the type of event of interest to CFIHOS,,Example : D,Identifier,"Text, max 2 characters",,,,
CFIHOS-10000295,,attribute:,event type,event type name,,"The name, or description of the type of event",,Example : Delivery,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000097,A.4.15,entity:,application condition group,,,"A grouping of application conditions, that have all to be satisfied to be able to say that the condition group is satisfied",An application condition group returns a value true if all the application conditions associated with it are true. The same application condition group can be used for multiple mappings of tag or equipment classes to source standards.,,,,,RDL,,
CFIHOS-10000284,,attribute:,application condition group,application condition group code,,A code that uniquely identifies a group of application conditions,,Example : 1,Identifier,"Text, max 40 characters",,,,
CFIHOS-10000285,,attribute:,application condition group,application condition group description,,A description of what the application condition group represents,,"Example : Low voltage, single speed",Optional,"Text, max 100 characters",,,,
CFIHOS-00000099,A.4.16,entity:,application condition group member,,,"An application condition that is used as a component, or member of an application condition group",,,,,,RDL,,
CFIHOS-10000232,,attribute:,application condition group member,application condition code,,A code that uniquely identifies an application condition that is member of the application condition group,,Example : High Voltage,Identifier,"Text, max 100 characters",application condition,,,is included in
CFIHOS-10000284,,attribute:,application condition group member,application condition group code,,A code that uniquely identifies a group of application conditions this is a member of,,Example : 1,Identifier,"Text, max 40 characters",application condition group,,,includes
CFIHOS-00000098,A.4.17,entity:,comparison operator,,,An operator that compares one expression with another,"The result of the comparison can be True, False, or Unknown. Comparison operators include the typical ones, recognised by all DBMSes, but also entries like ''IN'', to check if the left member of the comparison is present in a list of values, separated by semicolon, in the right member of the comparison.",,,,,RDL Pick list,,
CFIHOS-10000286,,attribute:,comparison operator,comparison operator code,,A code that uniquely identifies the comparison operator,,Example : <=,Identifier,"Text, max 2 characters",,,,
CFIHOS-10000287,,attribute:,comparison operator,comparison operator name,,The description of what the comparison operator represents,,Example : less or equal to,Mandatory,"Text, max 100 characters",,,,
CFIHOS-00000107,A.4.18,entity:,vendor document,,,"A document, originating from a vendor",Alias vendor document schedule.,,,,,EPC,,
CFIHOS-10000305,,attribute:,vendor document,actual final revision date,,The date at which the final revision of the document was actually issued,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000154,,attribute:,vendor document,document number,,The unique identifier for the document according to the Owner/Operator document numbering scheme,,Example : KC01-71-990-KW-T-YP-0002-000,Identifier,"Text, max 40 characters",document master,,,is subtype of
CFIHOS-10000304,,attribute:,vendor document,planned final revision date,,The date at which the final revision of the document is expected to be issued,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000306,,attribute:,vendor document,vendor document update description,,A description of what has changed in the vendor document since its previous document index transmission,,Example : Updated PLANNED_AFC_DATE,Optional,"Text, max 2048 characters",,,,
CFIHOS-00000108,A.4.19,entity:,purchase order item vendor document and data requirement,,,A vendor document and data requirement (VDDR) deemed to be appropriate jointly by the purchaser and the vendor for a given purchase order.,"The Purchaser specifies for each VDDR the dates at which the Vendor shall send the corresponding information to the purchaser (e.g. issue for review date).During the ITT process the Vendor shall review the PO_VDDR and confirm: - The relevance of the VDDR's requested with regard to the equipment being requisitioned. For packages, the Vendor shall take into account all ancillary equipment, e.g. on a pump package there may be pulsation dampers, which may be deemed to be pressure vessels.  -The ability to meet specified VDDR's submittal dates.Following review, the Vendor will make adjustments according to the ITT clarification process regarding the VDDR omissions. The Vendor shall sign the agreed PO_VDDR.After PO award, a revised requisition package will be submitted to the Vendor with a revised PO_VDDR. The Vendor shall sign the revised PO_VDDR.",,,,,Mix Owner/Operator and EPC,,
CFIHOS-10000316,,attribute:,purchase order item vendor document and data requirement,contractor comment,,A comment made by the contractor about this VDDR in this purchase order item,,Example : Contractor reference-001,Optional,"Text, max 1024 characters",,,,
CFIHOS-10000313,,attribute:,purchase order item vendor document and data requirement,date required for approval,,The date agreed with the vendor by which an approved version of this document and data requirement should be available,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000312,,attribute:,purchase order item vendor document and data requirement,date required for final review,,The date agreed with the vendor by which a final review version of this document and data requirement should be available.,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000311,,attribute:,purchase order item vendor document and data requirement,date required for information sharing,,The date agreed with the vendor by which information about this document and data requirement should be shared,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000154,,attribute:,purchase order item vendor document and data requirement,document number,,The unique identifier for the document according to the Owner/Operator document numbering scheme,,Example : KC01-71-990-KW-T-YP-0002-000,Optional,"Text, max 40 characters",vendor document,,,"is, for this purchase order, the status required at hand over"
CFIHOS-10000189,,attribute:,purchase order item vendor document and data requirement,engineering status code,required hand over status code,The required status of the document at handover time,,Example : ASB,Optional,"Text, max 40 characters",engineering status,,,is the status required at hand over for
CFIHOS-10000180,,attribute:,purchase order item vendor document and data requirement,purchase order issuer company name,,The name of the company issuing the purchase order,,Example : Engineering and co Ltd,Identifier,"Text, max 30 characters",purchase order item,,,requires the reception of
CFIHOS-10000299,,attribute:,purchase order item vendor document and data requirement,purchase order item number,,A code that uniquely identifies an item in a purchase order,,Example : 0012,Identifier,Integer,purchase order item,,,requires the reception of
CFIHOS-10000128,,attribute:,purchase order item vendor document and data requirement,purchase order number,,A unique code used to identify the purchase order within the company issuing the purchase order,,Example : 00058,Identifier,"Text, max 50 characters",purchase order item,,,requires the reception of
CFIHOS-10000307,,attribute:,purchase order item vendor document and data requirement,purchase order vendor document and data requirement number,,"A number that uniquely identifies a document and data requirement of a given standard source, in a given purchase order item",,Example : 1,Identifier,Integer,,,,
CFIHOS-10000315,,attribute:,purchase order item vendor document and data requirement,purchaser comment,,A comment made by the purchase issuer about this VDDR in this purchase order item,,Example : Company document number allocated,Optional,"Text, max 1024 characters",,,,
CFIHOS-10000053,,attribute:,purchase order item vendor document and data requirement,source standard code,,"A code used to designate the standard used to define requirements like engineering, operations, etc.",,Example : ISO 13533,Optional,"Text, max 40 characters",source standard document and data requirement,,,is required for
CFIHOS-10000267,,attribute:,purchase order item vendor document and data requirement,source standard document and data requirement number,,"A number, assigned sequentially, to associate the VDDR to the engineering standard",,Example : 11,Optional,"Text, max 40 characters",source standard document and data requirement,,,is required for
CFIHOS-10000310,,attribute:,purchase order item vendor document and data requirement,submit at delivery indicator,,An indication whether document having for content this VDDR shall be delivered by the Vendor at the same time as the delivery of the material or service or not,,Example : Yes,Optional,Boolean (Yes/No),,,,
CFIHOS-10000308,,attribute:,purchase order item vendor document and data requirement,submit at proposal indicator,,An indication whether documents having for content this VDDR shall be submitted by the Vendor during the ITT process or not,,Example : Yes,Optional,Boolean (Yes/No),,,,
CFIHOS-10000309,,attribute:,purchase order item vendor document and data requirement,submit for review indicator,,An indication whether documents having for content this VDDR shall be submitted by the Vendor for review or not,,Example : Yes,Optional,Boolean (Yes/No),,,,
CFIHOS-10000314,,attribute:,purchase order item vendor document and data requirement,translation required indicator,,"An indication whether a document needs to be translated (for regulatory reason or operation reasons), or not.",,Example : No,Mandatory,Boolean (Yes/No),,,,
CFIHOS-10000317,,attribute:,purchase order item vendor document and data requirement,vendor comment,,A comment made by the vendor about this VDDR in this purchase order item,,Example : Vendor reference-001,Optional,"Text, max 1024 characters",,,,
CFIHOS-00000109,A.4.20,entity:,purchase order item expected event,,,"An event, other than the purchase or the delivery, that needs to be monitored for the delivery of the requirements",,,,,,Mix Owner/Operator and EPC,,
CFIHOS-10000294,,attribute:,purchase order item expected event,event type code,,A code that uniquely identifies the type of event of interest to CFIHOS,,Example : D,Identifier,"Text, max 2 characters",event type,,,is occurring for
CFIHOS-10000180,,attribute:,purchase order item expected event,purchase order issuer company name,,The name of the company issuing the purchase order,,Example : Engineering and co Ltd,Identifier,"Text, max 30 characters",purchase order item,,,is subject to
CFIHOS-10000319,,attribute:,purchase order item expected event,purchase order item event latest revised date,,The lates revised date at which the expected event is estimated to take place,,Example : 2022-11-15,Optional,Date,,,,
CFIHOS-10000318,,attribute:,purchase order item expected event,purchase order item event original estimated date,,The date at which the expected event was initially estimated to take place,,Example : 2022-11-15,Optional,Date,,,,
