tag class CFIHOS unique code,tag class name,property CFIHOS unique code,property name,SI unit of measure CFIHOS unique code,SI unit of measure name,imperial unit of measure CFIHOS unique code,imperial unit of measure name
CFIHOS-30000315,accumulator,CFIHOS-40000556,lower limit operating pressure,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000504,lower limit operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000315,accumulator,CFIHOS-40000561,orientation,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000320,pressure equipment category,,,,
CFIHOS-30000315,accumulator,CFIHOS-40000535,upper limit design pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000315,accumulator,CFIHOS-40000536,upper limit design temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000315,accumulator,CFIHOS-40000537,upper limit operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000315,accumulator,CFIHOS-40000538,upper limit operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000607,actuator,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000607,actuator,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000607,actuator,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000607,actuator,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000801,adaptor connector,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000802,adsorber column,CFIHOS-40000026,bottom section normal operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000802,adsorber column,CFIHOS-40000027,bottom section normal operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000802,adsorber column,CFIHOS-40000487,design specification,,,,
CFIHOS-30000802,adsorber column,CFIHOS-40000613,external coating specification,,,,
CFIHOS-30000802,adsorber column,CFIHOS-40000114,external insulation type,,,,
CFIHOS-30000802,adsorber column,CFIHOS-40000132,fluid name,,,,
CFIHOS-30000802,adsorber column,CFIHOS-40000178,insulation code,,,,
CFIHOS-30000802,adsorber column,CFIHOS-40000184,intermediate section normal operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000802,adsorber column,CFIHOS-40000185,intermediate section normal operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000802,adsorber column,CFIHOS-40000420,top section normal operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000802,adsorber column,CFIHOS-40000421,top section normal operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000802,adsorber column,CFIHOS-40000535,upper limit design pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000802,adsorber column,CFIHOS-40000536,upper limit design temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000515,aerator,CFIHOS-40000512,normal operating pressure,CFIHOS-60001431,bar gauge,CFIHOS-60001011,pound per square inch gauge
CFIHOS-30000515,aerator,CFIHOS-40000514,normal operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000102,agitator,CFIHOS-40000487,design specification,,,,
CFIHOS-30000102,agitator,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000102,agitator,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000102,agitator,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000102,agitator,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000102,agitator,CFIHOS-40000132,fluid name,,,,
CFIHOS-30000102,agitator,CFIHOS-40000504,lower limit operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000102,agitator,CFIHOS-40000274,normal operating liquid dynamic viscosity,,,,
CFIHOS-30000102,agitator,CFIHOS-40000309,operation continuous intermittent,,,,
CFIHOS-30000102,agitator,CFIHOS-40000536,upper limit design temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000102,agitator,CFIHOS-40000573,upper limit design volume flow rate,,,,
CFIHOS-30000102,agitator,CFIHOS-40000538,upper limit operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000029,breaking capacity,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000241,nominal current,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000302,number of electrical phases,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000603,operating voltage,,,,
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000521,rated current,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000522,rated frequency,CFIHOS-60001443,hertz,CFIHOS-60001443,hertz
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000331,rated short circuit current,CFIHOS-60001448,kiloampere,CFIHOS-60001448,kiloampere
CFIHOS-30000803,air circuit-breaker,CFIHOS-40000528,rated voltage,CFIHOS-60001423,volt,CFIHOS-60001423,volt
CFIHOS-30000382,air conditioner,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000382,air conditioner,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000382,air conditioner,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000382,air conditioner,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000382,air conditioner,CFIHOS-40000241,nominal current,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000382,air conditioner,CFIHOS-40000602,normal operating power consumption,,,,
CFIHOS-30000382,air conditioner,CFIHOS-40000603,operating voltage,,,,
CFIHOS-30000382,air conditioner,CFIHOS-40000521,rated current,CFIHOS-60001427,ampere,CFIHOS-60001427,ampere
CFIHOS-30000382,air conditioner,CFIHOS-40000524,rated power consumption,CFIHOS-60001458,kilowatt,CFIHOS-60001458,kilowatt
CFIHOS-30000382,air conditioner,CFIHOS-40000528,rated voltage,CFIHOS-60001423,volt,CFIHOS-60001423,volt
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000699,cold side temperature rise,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000613,external coating specification,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000132,fluid name,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000697,heat transfer area,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000698,hot side temperature drop,,,,
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000511,normal operating inlet pressure,CFIHOS-60001430,bar absolute,CFIHOS-60001010,pound per square inch absolute
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000272,normal operating inlet temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000275,normal operating mass flow rate,CFIHOS-60001450,kilogram per hour,CFIHOS-60001478,pound per hour
CFIHOS-30000383,air cooled heat exchanger,CFIHOS-40000282,normal operating outlet temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000104,air handling unit,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000104,air handling unit,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000104,air handling unit,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000104,air handling unit,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000880,aircraft warning light,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000880,aircraft warning light,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000880,aircraft warning light,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000880,aircraft warning light,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000747,alarm unit,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000075,direction of rotation,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000504,lower limit operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000804,alternating current generator,CFIHOS-40000292,normal output power,CFIHOS-60001458,kilowatt,CFIHOS-65000001,electric-horsepower
CFIHOS-30000804,alternating current generator,CFIHOS-40000309,operation continuous intermittent,,,,
CFIHOS-30000804,alternating current generator,CFIHOS-40000528,rated voltage,CFIHOS-60001423,volt,CFIHOS-60001423,volt
CFIHOS-30000804,alternating current generator,CFIHOS-40000538,upper limit operating temperature,CFIHOS-60001435,degree celsius,CFIHOS-60001436,degree fahrenheit
CFIHOS-30000805,alternating current motor,CFIHOS-40001387,adjustable speed drive operation curve requirements,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001350,bearing housing vibration limits,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001372,bearing operating life,CFIHOS-60001445,hour,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001364,bearing type,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000032,cable cross sectional area,CFIHOS-60001470,square millimetre,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001348,cooling water specification,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000929,country region,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001358,coupling hub fit,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001346,coupling insulation,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000067,coupling type,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,CFIHOS-60001470,square millimetre,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001368,current transformer class,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001357,current transformer construction type,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001356,current transformer location,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001367,current transformer ratio,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001321,data for protection setting/power modelling requirements,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001320,declared locked rotor current tolerance,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001344,differential protection,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000075,direction of rotation,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001375,drip cover requirement,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001345,drive-end bearing insulation,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001365,driven equipment bearing type,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000860,duty point shaft power,CFIHOS-60001458,kilowatt,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000495,efficiency,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000099,electric motor cooling method,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000739,elevation over mean sea level,CFIHOS-60001461,metre,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001376,environmental corrosiveness,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000944,environmental location,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001393,equipment protection level,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001333,explosion protected atmosphere,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000108,explosion protection concept,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001361,explosion protection dust group,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000111,explosion protection notified body,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000862,external axial loading on the motor shaft end,CFIHOS-60001474,newton,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000861,external radial loading on the motor shaft end,CFIHOS-60001474,newton,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001390,fan impeller material,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001335,fine balancing above rated speed requirements,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000134,frame size,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001384,grease specification,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001349,heat exchanger tubing material specification,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000951,impact protection,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001193,impeller material,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001362,impulse voltage insulation class,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001363,impulse voltage repetition rate,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000912,impulse voltage rise time,CFIHOS-65001335,microsecond,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000173,ingress protection,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000890,junction box cable entry size,CFIHOS-60001469,millimetre,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001339,junction box cable entry type,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000198,junction box construction material,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001324,junction box location,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001327,junction box required,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001340,line conductor cable type,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001366,line conductor terminal box type,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000502,lower limit allowable rotational speed,CFIHOS-60001480,revolution per minute,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000206,lower limit ambient operating temperature,CFIHOS-60001435,degree celsius,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000551,lower limit design pressure,CFIHOS-65001148,bar,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000503,lower limit design temperature,CFIHOS-60001435,degree celsius,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001395,lower limit operating frequency,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000552,lower limit operating inlet pressure,CFIHOS-65001148,bar,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000908,lower limit operating speed,CFIHOS-60001480,revolution per minute,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000866,lower limit operating voltage,CFIHOS-60001423,volt,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000505,lower limit operating volume flow rate,CFIHOS-60001460,litre per second,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001347,lubrication information plate,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000927,maximum cooling water flow rate,CFIHOS-60001460,litre per second,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001371,maximum cooling water inlet pressure,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000863,moment of inertia of the load,CFIHOS-65001056,kilogram per square metre,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000996,motor condition monitoring,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001377,motor enclosure type,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001386,motor load type,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001385,motor mounting flange type,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001380,motor nameplate 'Oil Mist Lubricated',,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001342,motor surge protection,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001381,"motor temporary tag 'Oil mist ready, do not run without oil'",,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000234,mounting arrangement,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001392,mounting position,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001374,non reverse ratchet,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001382,non-drive end bearing requirement,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000283,normal operating rotational speed,CFIHOS-60001480,revolution per minute,CFIHOS-60001480,revolution per minute
CFIHOS-30000805,alternating current motor,CFIHOS-40000292,normal output power,CFIHOS-60001458,kilowatt,CFIHOS-65000001,electric-horsepower
CFIHOS-30000805,alternating current motor,CFIHOS-40001341,number of cables,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000889,number of junction box cable gland entries,CFIHOS-60000932,piece,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001314,number of magnetic poles,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001354,on-line winding partial discharge measurement,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000309,operation continuous intermittent,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001325,oversized junction box,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001331,paint colour,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001369,partial discharge sensing element type,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000911,peak-to-peak impulse voltage at the impulse voltage repetition rate,CFIHOS-60001456,kilovolt,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000909,peak-to-peak voltage at the fundamental frequency,CFIHOS-60001456,kilovolt,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000910,phase-to-earth jump voltage,CFIHOS-60001456,kilovolt,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001343,portable earth connection point,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001317,power supply quality,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001315,power transfer method,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001334,provision for internet of things hardware installation,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001336,pulsating torque requirement,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001313,purchase order status,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000605,rated input frequency,CFIHOS-60001443,hertz,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000604,rated input voltage,CFIHOS-60001423,volt,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000523,rated output power,CFIHOS-60001458,kilowatt,CFIHOS-65000001,electric-horsepower
CFIHOS-30000805,alternating current motor,CFIHOS-40000733,rated peak withstand current,CFIHOS-60001448,kiloampere,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000332,rated speed,CFIHOS-60001480,revolution per minute,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000527,rated speed at 1/1 load,CFIHOS-60001480,revolution per minute,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001337,rated thermal short circuit current,CFIHOS-60001448,kiloampere,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000528,rated voltage,CFIHOS-60001423,volt,CFIHOS-60001423,volt
CFIHOS-30000805,alternating current motor,CFIHOS-40001355,rotor shaft manufacturing method,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001378,sealed for life anti-friction bearing requirements,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000568,service factor,CFIHOS-60000932,piece,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001351,shaft displacement vibration limits,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001370,shock pulse monitoring connection,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000989,space heater requirement,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000891,specific starting requirement locked rotor current,CFIHOS-60001427,ampere,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001322,stainless steel fixing requirement,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001389,stainless steel hardware required,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001316,standstill period,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001388,starting conditions,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001319,starting designation,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001252,starting method,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001338,stator winding connection,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001352,surface finish,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001330,surface protection durability category,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001360,temperature detector surge arrestors requirement,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000177,thermal insulation class,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001383,type of mounting,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001127,unusual service conditions,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000453,upper limit allowable speed,CFIHOS-60001480,revolution per minute,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000454,upper limit ambient operating temperature,CFIHOS-60001435,degree celsius,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000905,upper limit cooling water differential temperature,CFIHOS-60001435,degree celsius,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000455,upper limit cooling water inlet temperature,CFIHOS-60001435,degree celsius,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000535,upper limit design pressure,CFIHOS-65001148,bar,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000536,upper limit design temperature,CFIHOS-60001435,degree celsius,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000573,upper limit design volume flow rate,CFIHOS-60001460,litre per second,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001394,upper limit operating frequency,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000466,upper limit operating inlet pressure,CFIHOS-65001148,bar,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000865,upper limit operating voltage,CFIHOS-60001423,volt,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000886,upper limit permissible motor sound power level at full load,CFIHOS-60001434,decibel,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000897,upper limit permissible sound pressure level at no load,CFIHOS-60001434,decibel,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000924,upper limit permissible sound pressure level at no load at maximum continuous speed,CFIHOS-60001434,decibel,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000949,upper limit pitching of vessel in dynamic conditions,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000738,upper limit relative humidity,CFIHOS-60000001,percent,,
CFIHOS-30000805,alternating current motor,CFIHOS-40000948,upper limit rolling of vessel in dynamic conditions,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001323,upper limit vibration magnitude,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001379,"vertical motor compliance to API 610, 7.1",,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001373,vertical mounted motor shaft orientation,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001328,vibration condition monitoring,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001391,warning label requirement,,,,
CFIHOS-30000805,alternating current motor,CFIHOS-40001332,winding temperature detection,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000316,amplifier,CFIHOS-40000663,explosion rated item,,,,
CFIHOS-30000105,analyser element,CFIHOS-40000110,explosion protection gas group,,,,
CFIHOS-30000105,analyser element,CFIHOS-40000112,explosion protection temperature class,,,,
CFIHOS-30000105,analyser element,CFIHOS-40000113,explosion protection zone,,,,
CFIHOS-30000105,analyser element,CFIHOS-40000663,explosion rated item,,,,
