discipline document type CFIHOS unique code,discipline CFIHOS unique code,discipline code,discipline name,document type CFIHOS unique code,document type short code,document type name,document type description,discipline document type short code,asset type reference,representation type,native file delivery timing,native document format,authenticated record format,required document status for detailed engineering,required document status for construction,required document status for commissioning,required document status for startup,required document status for operations,review type,discipline document type comment,hardcopy document required,translated document required,document type synonym name
CFIHOS-20000680,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000405,7739,project functional specification,A specification describing scope and objectives of the project and its execution; details to be provided by 'owner operator'.,CX7739,Plant,Text,at handover,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000681,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",CX7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000682,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000244,7770,functional design specification,"A specification that describes the deliverable in terms of form, fit, function, and performance characteristics to satisfy the intended use where interpretation is required.Includes most discipline specifications describing the functionality (e.g., relief and blowdown specification, surface coating, inspection specifications, operating envelopes, etc.).",CX7770,Tag,Text,at handover,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000683,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000264,7880,general specification,A document formally establishing the mandatory limits or parameters which are to be met. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,CX7880,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000684,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000089,8218,design layout study,A document assessing different physical configurations of a set of equipment and explaining the rationale supporting the adoption of a particular layout.,CX8218,Tag,Text,at handover,,,IFD,not specified,not specified,not specified,IFD,not specified,,,,
CFIHOS-20000686,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000010,8268,anchoring study,Includes anchoring of offshore vessels and the interaction of anchor lines with sub-sea pipelines and structures.,CX8268,Plant,Text,at handover,,,IFU,not specified,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000687,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000267,8380,general study,A document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,CX8380,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000688,CFIHOS-20000007,CX,civil engineering,CFIHOS-70000045,8502,clarification request,"Request (e.g., from a Contractor) for clarification of scope, technical details, or assumptions.",CX8502,Tag,Text,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,technical query (tq);request for information (rfi)
CFIHOS-20000690,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000237,0980,block diagram,A schematic diagram which shows the relation between the main functions or the main component in the plant or group of plants.,EA0980,Process_Unit,Intelligent vector drawing (CAD),during project,,,IFD,IFD,not specified,not specified,IFD,not specified,,,,
CFIHOS-20000691,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000238,1380,general calculation,"A document showing inputs, formulas, rationale, and conclusions/mathematical results as required to enhance design or bound activities.",EA1380,Plant,not specified,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000695,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000083,1979,database and data set,Data stored in a proprietary (e.g. SPI Watcom) or neutral (e.g. CSV) format from which multiple information contents can be generated by computer software (e.g. EDW). Includes '3D model'.,EA1979,Plant,Structured Data,at handover,,,IFD,IFC,IFC,not specified,IAB,not specified,,,,
CFIHOS-20000696,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000117,2105,design datasheet,A datasheet which provides precise information about a  tag and compliments equipment specification.,EA2105,Tag,Text,at handover,,,IFD,IFD,IFD,not specified,IAB,not specified,,,,
CFIHOS-20000698,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000017,2305,assembly diagram,A diagram utilized for transient activity during assembly (e.g. sequence of activity) and not finished work.,EA2305,Equipment,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20000700,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000167,2335,hook up diagram,"A diagram which may show the instrument impulse, pneumatic and electronic connections, pipe work, valves, fittings, flanges and support details with associated material take-off list. Used for removal/hook up purposes and modifications.",EA2335,Tag,Intelligent vector drawing (CAD),at handover,,,IFC,IFC,IFC,IFC,IFC,not specified,,,,installation details
CFIHOS-20000702,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000371,2384,single line diagram,"A diagram depicting the main equipment items (switchboards, transformers etc.) and their relationships within the facility electrical distribution system including details of fault levels and current and voltage ratings.",EA2384,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20000703,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000182,2398,heat tracing diagram,"A diagram detailing electrical tracing. Includes anchoring and expansion joint details where applicable. Drawings to indicate thicknesses, specification and limit of application.",EA2398,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20000704,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000328,2580,schematic diagram,"A pictorial representation of the main elements and functions of a control circuit for electrical equipment with input/output sources (switches, relays etc.) and their relationships. Details logic functions of the circuit.",EA2580,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IFC,IFC,not specified,,,,
CFIHOS-20000705,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000034,2901,cable size calculation,Calculations required for sizing of cables.,EA2901,Plant,Structured Data,not applicable,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20000706,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000390,3323,technical note,A communication documenting how an engineering or maintenance issue will be resolved and what the implication of the solution is.,EA3323,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000707,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000181,3328,installation manual,"A document that describes methods of installing a piece of equipment.  Installation refers to the mounting, setting, erection, etc.",EA3328,Tag,not specified,not applicable,,,not specified,IFC,not specified,not specified,IFC,not specified,,,,
CFIHOS-20000711,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000153,4018,general arrangement diagram,A diagram showing the main features and locations of major items. Usually has some dimensions to convey spatial relationships but is generally inadequate for construction.,EA4018,Tag,Intelligent vector drawing (CAD),during project,,,IFD,IFC,not specified,IAB,IAB,not specified,,,,
CFIHOS-20000712,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000196,4024,key plan,A plan view diagram of a plant/group of plants showing the interfaces of layout diagrams of components.  Typically only shows major equipment and infrastructure to provide context and orientation.,EA4024,Plant,Intelligent vector drawing (CAD),at handover,,,IFD,IFD,not specified,IAB,IAB,not specified,,,,
CFIHOS-20000714,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000028,4306,bill of materials,"A list of all parts and sub assemblies that constitute a particular assembly, showing the quantity of each required item. Typically developed from analyzing a drawing.",EA4306,Model_Part,Structured Data,during project,,,not specified,IFC,IFC,not specified,IFC,not specified,,,,
CFIHOS-20000715,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000033,4308,cable schedule,"A collection of values relating to List of all cables, their specifications and end points. Indicates salient features of all cables in Vendor's supply and connecting cables supplied by Principal.",EA4308,Tag,Structured Data,during project,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,cable list
CFIHOS-20000718,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000203,4329,load list,An authoritative collection of electrical loads which the electrical system must accommodate listed against each piece of equipment.  The columns of this collection are specified and controlled.,EA4329,Tag,Structured Data,during project,,,IFD,IFC,IFC,IFC,IFC,not specified,,,,load schedule
CFIHOS-20000719,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000369,4606,short circuit calculation,Calculations necessary to determine the capacity of electrical equipment under fault conditions.,EA4606,Tag,Structured Data,not applicable,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20000720,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000091,5507,design philosophy,"A document outlining the premise and intent for decisions that are to be followed regarding a design. A set of ideas, beliefs, or underlying theory.",EA5507,Tag,Text,at handover,,,IFD,not specified,not specified,not specified,IFD,not specified,,,,
CFIHOS-20000722,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000253,5680,general philosophy,A document outlining the premise and intent for decisions that are to be followed regarding a specific subject. Typically provided as instruction from 'owner operator'.,EA5680,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000724,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000256,6180,general procedure,A document which describes a set of logically sequenced instructions to execute an activity. Not to be used if a more specific document type can be used.  Can be used for singular/speciality deliverables which do not have a unique document type.,EA6180,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000726,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",EA7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000727,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000389,7205,technical deviation request,"A request, approval or rejection of changes to a technical specification. Would typically include justification and reasons for the request, and acceptance or rejection from a purely technical perspective.",EA7205,Tag,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,concession request;change request
CFIHOS-20000728,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000407,7303,requisition,"A request with a brief description of the parts to be ordered, with a statement of the pertinent drawings, specifications, etc., as well as a list of drawings and documents to be provided by the manufacturer/supplier.",EA7303,Tag,Structured Data,not applicable,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000729,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000405,7739,project functional specification,A specification describing scope and objectives of the project and its execution; details to be provided by 'owner operator'.,EA7739,Plant,Text,at handover,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000730,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",EA7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000731,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000244,7770,functional design specification,"A specification that describes the deliverable in terms of form, fit, function, and performance characteristics to satisfy the intended use where interpretation is required.Includes most discipline specifications describing the functionality (e.g., relief and blowdown specification, surface coating, inspection specifications, operating envelopes, etc.).",EA7770,Tag,Text,at handover,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000732,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000399,7771,equipment specification,A specification that describes the physical equipment for the purpose of procurement or fabrication. Compliments the datasheet.,EA7771,Tag,Text,at handover,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000733,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000264,7880,general specification,A document formally establishing the mandatory limits or parameters which are to be met. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,EA7880,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000735,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000322,8251,safe operation study,A study validating electrical systems design will allow for safe operation.,EA8251,Tag,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000736,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000388,8260,system study,"Includes load flows, transient and dynamic stability, short circuit, protection study, co-ordination and setting.",EA8260,Tag,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000737,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000045,8502,clarification request,"Request (e.g., from a Contractor) for clarification of scope, technical details, or assumptions.",EA8502,Tag,Text,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,technical query (tq);request for information (rfi)
CFIHOS-20000738,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000055,8804,connection diagram,"A diagram showing details of cable numbers and terminations point to point (e.g., to/from vendor packages, equipment).",EA8804,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20000739,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000103,8809,earthing diagram,A diagram detailing earthing (grounding) for plant and equipment and between modules and dissimilar structural elements.,EA8809,Tag,Intelligent vector drawing (CAD),at handover,,,IFD,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20000740,CFIHOS-20000008,EA,electrical engineering,CFIHOS-70000268,8880,wiring diagram,"A diagram which depicts an electrical circuit.  It shows the components of the circuit as simplified shapes, and the power and signal connections between devices.",EA8880,Tag,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IAB,IAB,not specified,,,,
CFIHOS-20000741,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000318,0709,risk assessment,An assessment which details the quantitative or qualitative risk related to a specific scenario presented to 'company'.,FA0709,Tag,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000742,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000234,0780,general assessment,"An assessment which details a health check, GAP analysis, etc. both informal and to meet 'project management framework' requirements. Not to be used if a more specific document type can be used. Can be used for singular/specialty deliverables which do not have a unique document type.",FA0780,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000744,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000109,5722,engineering schedule,"A time-based document outlining order in which tasks are to be carried out and the amounts of time allocated to them.  Addresses design phase as well as engineering support during manufacturing, construction, tie-in, test/inspect, shutdown.",FA5722,Plant,Structured Data,not applicable,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000745,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000305,5765,project schedule,A time-based document summarizing all discipline related activities outlining sequence and duration.,FA5765,Plant,Structured Data,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000746,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000333,5780,"testing, inspection schedule",A time-based document outlining order in which tasks are to be carried out and the amounts of time allocated to them to achieve inspection and testing scope.,FA5780,Tag,not specified,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000747,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000365,5792,work breakdown structure specification,A document formally establishing scope of work into smaller manageable blocks to manage cost and schedule control.,FA5792,Plant,not specified,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000748,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000060,5802,construction schedule,A time-based document outlining sequence and duration of activities related to the completion of construction scope.  Construction includes site erection and assembly but not fabrication at third party sites.,FA5802,Plant,Structured Data,not applicable,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000749,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000132,5803,fabrication schedule,A time-based document outlining sequence and duration of activities related to the completion of fabrication scope at third party sites.,FA5803,Plant,Structured Data,not applicable,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000750,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000262,5804,general schedule,A time-based document outlining sequence and duration of activities related to the completion of scope.,FA5804,Plant,Structured Data,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000751,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000298,5805,procurement schedule,"A time-based document outlining sequence and duration of activities related to procurement activities (RFQs, purchase orders, required on site milestones, etc.).",FA5805,Tag,Structured Data,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000752,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000076,6015,cost control procedure,"A procedure for monitoring, controlling and reporting expenditures.",FA6015,Plant,Text,at handover,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000754,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000394,6401,budget proposal,A document which captures a recommended course of action with justifications from technical and/or commercial aspects to allocate money to activities.,FA6401,Plant,Text,not applicable,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000755,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000077,6833,cost report,A report of all costs incurred over a period of time.,FA6833,Plant,Text,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20000756,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000078,6834,cost time resource estimate report,"Estimate of resources (people and money) required to produce certain deliverables, typically associated with scope change. Often becomes the basis for an agreement or a contract.",FA6834,Plant,Structured Data,not applicable,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,ctr report
CFIHOS-20000758,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000025,7179,basis of estimate,"A document outlining the premise for decisions and the resulting principles that are to be followed regarding estimates. This document should be updated with each formal update of the project cost estimate, particularly at each stage gate. As much detail as possible should be provided in the document, relative to the scope definition available for the compilation of the estimate.",FA7179,Plant,Text,not applicable,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000760,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000405,7739,project functional specification,A specification describing scope and objectives of the project and its execution; details to be provided by 'owner operator'.,FA7739,Plant,Text,at handover,,,IFU,IFU,not specified,not specified,IFU,not specified,,,,
CFIHOS-20000761,CFIHOS-20000009,FA,cost and planning management,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",FA7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000762,CFIHOS-20000010,HE,environmental,CFIHOS-70000111,0702,environmental impact assessment,An assessment which details the impact of facility on the surrounding environment.,HE0702,Plant,Text,at handover,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000763,CFIHOS-20000010,HE,environmental,CFIHOS-70000318,0709,risk assessment,An assessment which details the quantitative or qualitative risk related to a specific scenario presented to 'company'.,HE0709,Tag,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000764,CFIHOS-20000010,HE,environmental,CFIHOS-70000015,1904,aspect data,"Data which further describes an element of an organisation's activities, products or services that can interact with the environment. Enhances 'aspect register'.",HE1904,Site,Structured Data,at handover,,,IFI,IFI,IFI,not specified,IFI,not specified,,,,
CFIHOS-20000765,CFIHOS-20000010,HE,environmental,CFIHOS-70000108,1909,emissions report,A report detailing accumulated environmental emissions over a set period of time.,HE1909,Equipment,not specified,not applicable,,,not specified,not specified,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000768,CFIHOS-20000010,HE,environmental,CFIHOS-70000366,3375,work instruction,Step by step instruction for the accomplishment of a task. more detailed than a procedure.,HE3375,Tag,Text,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000769,CFIHOS-20000010,HE,environmental,CFIHOS-70000404,5798,project plan,"A document capturing key discipline execution plans applicable across the project scope (e.g., IM Plan, Execution Plan).",HE5798,Plant,Text,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,project execution plan
CFIHOS-20000771,CFIHOS-20000010,HE,environmental,CFIHOS-70000113,6852,environmental management system description,Shall include a brief description of 'vendor's' documented 'environmental management system' showing how the system is structured and reference to the standard on which it is based (e.g. ISO 14001 or similar).,HE6852,Site,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000772,CFIHOS-20000010,HE,environmental,CFIHOS-70000156,6873,hazard identification report,"A report summarizing all project (HAZID) exercises. Usually includes action lists, follow up, and close out action descriptions and acceptance.",HE6873,Tag,Text,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000773,CFIHOS-20000010,HE,environmental,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",HE7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000774,CFIHOS-20000010,HE,environmental,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",HE7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000775,CFIHOS-20000010,HE,environmental,CFIHOS-70000021,8202,dispersion study,"A document detailing the dispersion of atmospheric releases from flaring, venting, and exhaust from compressors and machinery as well as dispersion of leaks to ground or water.",HE8202,Tag,Text,at handover,,,IFD,IFD,IFD,IFD,IFD,not specified,,,,
CFIHOS-20000777,CFIHOS-20000011,HH,health,CFIHOS-70000164,0705,health impact assessment,An assessment which details the impact of facility on the health of the surrounding populace.,HH0705,Plant,Text,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000778,CFIHOS-20000011,HH,health,CFIHOS-70000318,0709,risk assessment,An assessment which details the quantitative or qualitative risk related to a specific scenario presented to 'company'.,HH0709,Tag,Text,during project,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,
CFIHOS-20000779,CFIHOS-20000011,HH,health,CFIHOS-70000234,0780,general assessment,"An assessment which details a health check, GAP analysis, etc. both informal and to meet 'project management framework' requirements. Not to be used if a more specific document type can be used. Can be used for singular/specialty deliverables which do not have a unique document type.",HH0780,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000780,CFIHOS-20000011,HH,health,CFIHOS-70000404,5798,project plan,"A document capturing key discipline execution plans applicable across the project scope (e.g., IM Plan, Execution Plan).",HH5798,Plant,Text,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,project execution plan
CFIHOS-20000781,CFIHOS-20000011,HH,health,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",HH7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000782,CFIHOS-20000011,HH,health,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",HH7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000783,CFIHOS-20000012,HP,security,CFIHOS-70000404,5798,project plan,"A document capturing key discipline execution plans applicable across the project scope (e.g., IM Plan, Execution Plan).",HP5798,Plant,Text,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,project execution plan
CFIHOS-20000784,CFIHOS-20000012,HP,security,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",HP7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000785,CFIHOS-20000012,HP,security,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",HP7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000786,CFIHOS-20000013,HS,safety,CFIHOS-70000325,1439,safety declaration,"A certificate issued by asset owner to 'regulatory authority' demonstrating compliance with 'regulatory authority' safety  requirements. A 'safety declaration' is a document that describes the nature and scale of hazards of an industrial facility, lays out measures developed to ensure its industrial safety and readiness for emergency response in  man-induced emergency situations.",HS1439,Process_Unit,Text,not applicable,,,not specified,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000787,CFIHOS-20000013,HS,safety,CFIHOS-70000211,2107,safety datasheet,A datasheet which summarizes of physical and chemical properties of the substance - description of its harmful nature including potential impact on the health and safety of personnel and of the environment - precautions necessary to ensure its safe use and eventual disposal.,HS2107,Equipment,Structured Data,at handover,,,not specified,IFD,IFD,not specified,IAB,not specified,,,,
CFIHOS-20000789,CFIHOS-20000013,HS,safety,CFIHOS-70000327,2374,safety zone diagram,A diagram showing the main safety features of the facility. Typically related to toxic zones. e.g. 'H2S zone' diagram.,HS2374,Plant,Intelligent vector drawing (CAD),at handover,,,not specified,IFC,IFC,IFC,IFC,not specified,,,,
CFIHOS-20000790,CFIHOS-20000013,HS,safety,CFIHOS-70000404,5798,project plan,"A document capturing key discipline execution plans applicable across the project scope (e.g., IM Plan, Execution Plan).",HS5798,Plant,Text,not applicable,,,IFU,IFU,IFU,not specified,IFU,not specified,,,,project execution plan
CFIHOS-20000791,CFIHOS-20000013,HS,safety,CFIHOS-70000256,6180,general procedure,A document which describes a set of logically sequenced instructions to execute an activity. Not to be used if a more specific document type can be used.  Can be used for singular/speciality deliverables which do not have a unique document type.,HS6180,Plant,Text,during project,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000792,CFIHOS-20000013,HS,safety,CFIHOS-70000259,7180,general report,"A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.",HS7180,Plant,Text,at handover,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
CFIHOS-20000794,CFIHOS-20000013,HS,safety,CFIHOS-70000331,7753,terms of reference,"A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.",HS7753,Plant,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000795,CFIHOS-20000013,HS,safety,CFIHOS-70000315,8249,"relief, flare and vent study","A study related to the impact on personnel or equipment of lit or unlit relief, flaring and venting events.",HS8249,Equipment,Text,at handover,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000796,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000155,0505,hazard analysis,A report identifying hazards following review exercises.,HX0505,Process_Unit,Text,during project,,,IFU,IFU,IFU,IFU,IFU,not specified,,,,
CFIHOS-20000797,CFIHOS-20000014,HX,"health, safety, environmental and security",CFIHOS-70000233,0580,general analysis,A report documenting  assumptions and method determining objective analysis of a set of data. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.,HX0580,Plant,not specified,not applicable,,,not specified,not specified,not specified,not specified,not specified,not specified,,,,
